Lflavo2a000001P1 lcl|NW_015149102.1_prot_XP_015187713.1_18870
Lflavo2a000164P1 lcl|NW_015149023.1_prot_XP_015181410.1_13228
Lflavo2a000165P1 lcl|NW_015149023.1_prot_XP_015181439.1_13231
Lflavo2a000167P1 lcl|NW_015149023.1_prot_XP_015181332.1_13293
Lflavo2a000168P1 lcl|NW_015149023.1_prot_XP_015181500.1_13294
Lflavo2a000169P1 lcl|NW_015149139.1_prot_XP_015188789.1_19831
Lflavo2a000170P1 lcl|NW_015149139.1_prot_XP_015188784.1_19830
Lflavo2a000172P1 lcl|NW_015149023.1_prot_XP_015181404.1_13223
Lflavo2a000173P1 lcl|NW_015149139.1_prot_XP_015188791.1_19833
Lflavo2a000191P1 lcl|NW_015148978.1_prot_XP_015171660.1_4287
Lflavo2a000192P1 lcl|NW_015149017.1_prot_XP_015180734.1_12490
Lflavo2a000193P1 lcl|NW_015148978.1_prot_XP_015171659.1_4285
Lflavo2a000194P1 lcl|NW_015148978.1_prot_XP_015171698.1_4299
Lflavo2a000196P1 lcl|NW_015148978.1_prot_XP_015171720.1_4284
Lflavo2a000197P1 lcl|NW_015148978.1_prot_XP_015171689.1_4292
Lflavo2a000198P1 lcl|NW_015149017.1_prot_XP_015180732.1_12486
Lflavo2a000199P1 lcl|NW_015149015.1_prot_XP_015180038.1_11975
Lflavo2a000200P1 lcl|NW_015149015.1_prot_XP_015180044.1_11980
Lflavo2a000201P1 lcl|NW_015149015.1_prot_XP_015180033.1_11972
Lflavo2a000204P1 lcl|NW_015148991.1_prot_XP_015175186.1_7445
Lflavo2a000205P1 lcl|NW_015149015.1_prot_XP_015180036.1_11973
Lflavo2a000206P1 lcl|NW_015149015.1_prot_XP_015180045.1_11981
Lflavo2a000207P1 lcl|NW_015148978.1_prot_XP_015171661.1_4288
Lflavo2a000208P2 lcl|NW_015149015.1_prot_XP_015180039.1_11978
Lflavo2a000209P1 lcl|NW_015149017.1_prot_XP_015180572.1_12488
Lflavo2a000211P1 lcl|NW_015148978.1_prot_XP_015171750.1_4302
Lflavo2a000212P1 lcl|NW_015148978.1_prot_XP_015171537.1_4304
Lflavo2a000213P1 lcl|NW_015149185.1_prot_XP_015189490.1_20416
Lflavo2a000214P1 lcl|NW_015149017.1_prot_XP_015180591.1_12556
Lflavo2a000215P1 lcl|NW_015149011.1_prot_XP_015179281.1_11174
Lflavo2a000215P2 lcl|NW_015149011.1_prot_XP_015179276.1_11175
Lflavo2a000216P1 lcl|NW_015148984.1_prot_XP_015173332.1_5838
Lflavo2a000217P1 lcl|NW_015149017.1_prot_XP_015180593.1_12558
Lflavo2a000219P1 lcl|NW_015149079.1_prot_XP_015186415.1_17698
Lflavo2a000220P1 lcl|NW_015149097.1_prot_XP_015187517.1_18676
Lflavo2a000221P2 lcl|NW_015149099.1_prot_XP_015187570.1_18737
Lflavo2a000223P1 lcl|NW_015148990.1_prot_XP_015174854.1_7084
Lflavo2a000224P1 lcl|NW_015149010.1_prot_XP_015178801.1_11046
Lflavo2a000225P1 lcl|NW_015149017.1_prot_XP_015180592.1_12557
Lflavo2a000226P1 lcl|NW_015149079.1_prot_XP_015186423.1_17684
Lflavo2a000227P1 lcl|NW_015149097.1_prot_XP_015187512.1_18672
Lflavo2a000229P2 lcl|NW_015148991.1_prot_XP_015175068.1_7486
Lflavo2a000230P1 lcl|NW_015148984.1_prot_XP_015173242.1_5846
Lflavo2a000232P1 lcl|NW_015148979.1_prot_XP_015171805.1_4694
Lflavo2a000233P1 lcl|NW_015148988.1_prot_XP_015174219.1_6751
Lflavo2a000234P1 lcl|NW_015149017.1_prot_XP_015180575.1_12548
Lflavo2a000236P1 lcl|NW_015148988.1_prot_XP_015174436.1_6749
Lflavo2a000237P3 lcl|NW_015148979.1_prot_XP_015171795.1_4691
Lflavo2a000237P4 lcl|NW_015148979.1_prot_XP_015171796.1_4689
Lflavo2a000237P5 lcl|NW_015148979.1_prot_XP_015171794.1_4688
Lflavo2a000238P1 lcl|NW_015148988.1_prot_XP_015174225.1_6753
Lflavo2a000239P1 lcl|NW_015149099.1_prot_XP_015187539.1_18740
Lflavo2a000240P1 lcl|NW_015148991.1_prot_XP_015175076.1_7480
Lflavo2a000243P1 lcl|NW_015148982.1_prot_XP_015172662.1_5341
Lflavo2a000244P1 lcl|NW_015148991.1_prot_XP_015175073.1_7484
Lflavo2a000245P1 lcl|NW_015148982.1_prot_XP_015172669.1_5343
Lflavo2a000246P1 lcl|NW_015148979.1_prot_XP_015171815.1_4700
Lflavo2a000248P1 lcl|NW_015149010.1_prot_XP_015178791.1_11043
Lflavo2a000249P1 lcl|NW_015148982.1_prot_XP_015172909.1_5506
Lflavo2a000251P1 lcl|NW_015149010.1_prot_XP_015178987.1_11040
Lflavo2a000252P1 lcl|NW_015148988.1_prot_XP_015174221.1_6750
Lflavo2a000253P1 lcl|NW_015149194.1_prot_XP_015189510.1_20462
Lflavo2a000256P1 lcl|NW_015149017.1_prot_XP_015180602.1_12560
Lflavo2a000258P1 lcl|NW_015149128.1_prot_XP_015188554.1_19614
Lflavo2a000260P1 lcl|NW_015148970.1_prot_XP_015191069.1_297
Lflavo2a000261P1 lcl|NW_015148982.1_prot_XP_015172659.1_5340
Lflavo2a000263P1 lcl|NW_015148979.1_prot_XP_015171810.1_4698
Lflavo2a000266P1 lcl|NW_015148978.1_prot_XP_015171507.1_4218
Lflavo2a000267P1 lcl|NW_015148982.1_prot_XP_015172663.1_5339
Lflavo2a000269P1 lcl|NW_015149099.1_prot_XP_015187568.1_18736
Lflavo2a000270P1 lcl|NW_015149099.1_prot_XP_015187566.1_18734
Lflavo2a000271P1 lcl|NW_015149079.1_prot_XP_015186402.1_17683
Lflavo2a000272P1 lcl|NW_015148970.1_prot_XP_015173044.1_292
Lflavo2a000273P1 lcl|NW_015148984.1_prot_XP_015173368.1_5839
Lflavo2a000275P1 lcl|NW_015149051.1_prot_XP_015184382.1_15911
Lflavo2a000275P2 lcl|NW_015149051.1_prot_XP_015184378.1_15908
Lflavo2a000276P1 lcl|NW_015149128.1_prot_XP_015188556.1_19617
Lflavo2a000277P1 lcl|NW_015149017.1_prot_XP_015180595.1_12559
Lflavo2a000278P1 lcl|NW_015148999.1_prot_XP_015176933.1_8885
Lflavo2a000279P1 lcl|NW_015149128.1_prot_XP_015188546.1_19619
Lflavo2a000280P1 lcl|NW_015149128.1_prot_XP_015188549.1_19609
Lflavo2a000281P1 lcl|NW_015148970.1_prot_XP_015191123.1_303
Lflavo2a000283P1 lcl|NW_015149010.1_prot_XP_015178993.1_11041
Lflavo2a000285P1 lcl|NW_015149099.1_prot_XP_015187556.1_18741
Lflavo2a000286P1 lcl|NW_015149097.1_prot_XP_015187469.1_18674
Lflavo2a000287P1 lcl|NW_015149286.1_prot_XP_015189739.1_20659
Lflavo2a000288P1 lcl|NW_015148981.1_prot_XP_015172554.1_5231
Lflavo2a000289P1 lcl|NW_015148970.1_prot_XP_015191143.1_301
Lflavo2a000293P1 lcl|NW_015149007.1_prot_XP_015178216.1_10362
Lflavo2a000294P1 lcl|NW_015149079.1_prot_XP_015186405.1_17689
Lflavo2a000295P1 lcl|NW_015149079.1_prot_XP_015186421.1_17686
Lflavo2a000296P1 lcl|NW_015148970.1_prot_XP_015191101.1_300
Lflavo2a000297P1 lcl|NW_015148999.1_prot_XP_015176931.1_8883
Lflavo2a000298P1 lcl|NW_015149010.1_prot_XP_015178795.1_11047
Lflavo2a000299P1 lcl|NW_015148978.1_prot_XP_015171571.1_4216
Lflavo2a000302P1 lcl|NW_015149017.1_prot_XP_015180596.1_12563
Lflavo2a000304P1 lcl|NW_015148978.1_prot_XP_015171506.1_4219
Lflavo2a000305P1 lcl|NW_015149015.1_prot_XP_015180224.1_11899
Lflavo2a000307P2 lcl|NW_015148979.1_prot_XP_015171804.1_4686
Lflavo2a000307P3 lcl|NW_015148979.1_prot_XP_015171802.1_4684
Lflavo2a000308P1 lcl|NW_015148979.1_prot_XP_015171816.1_4701
Lflavo2a000309P1 lcl|NW_015149084.1_prot_XP_015186808.1_18034
Lflavo2a000310P1 lcl|NW_015149051.1_prot_XP_015184439.1_15912
Lflavo2a000311P3 lcl|NW_015148970.1_prot_XP_015191155.1_305
Lflavo2a000312P1 lcl|NW_015149128.1_prot_XP_015188552.1_19612
Lflavo2a000314P1 lcl|NW_015149099.1_prot_XP_015187554.1_18742
Lflavo2a000314P2 lcl|NW_015149099.1_prot_XP_015187555.1_18743
Lflavo2a000315P1 lcl|NW_015148982.1_prot_XP_015172644.1_5505
Lflavo2a000317P1 lcl|NW_015149128.1_prot_XP_015188548.1_19611
Lflavo2a000318P1 lcl|NW_015148981.1_prot_XP_015172564.1_5232
Lflavo2a000320P1 lcl|NW_015149010.1_prot_XP_015178798.1_11045
Lflavo2a000323P1 lcl|NW_015149128.1_prot_XP_015188551.1_19615
Lflavo2a000324P1 lcl|NW_015148970.1_prot_XP_015191180.1_306
Lflavo2a000325P1 lcl|NW_015148984.1_prot_XP_015173383.1_5845
Lflavo2a000326P1 lcl|NW_015149011.1_prot_XP_015179247.1_11139
Lflavo2a000329P1 lcl|NW_015148997.1_prot_XP_015176250.1_8620
Lflavo2a000331P1 lcl|NW_015148974.1_prot_XP_015190575.1_2973
Lflavo2a000332P1 lcl|NW_015149026.1_prot_XP_015181929.1_13633
Lflavo2a000333P1 lcl|NW_015148984.1_prot_XP_015173244.1_5909
Lflavo2a000334P3 lcl|NW_015149095.1_prot_XP_015187435.1_18568
Lflavo2a000336P1 lcl|NW_015148975.1_prot_XP_015191305.1_3447
Lflavo2a000337P2 lcl|NW_015149070.1_prot_XP_015185928.1_17299
Lflavo2a000339P1 lcl|NW_015149050.1_prot_XP_015184298.1_15794
Lflavo2a000341P1 lcl|NW_015149073.1_prot_XP_015186077.1_17379
Lflavo2a000343P1 lcl|NW_015149143.1_prot_XP_015188855.1_19862
Lflavo2a000344P1 lcl|NW_015149018.1_prot_XP_015180868.1_12700
Lflavo2a000347P1 lcl|NW_015149095.1_prot_XP_015187379.1_18566
Lflavo2a000348P1 lcl|NW_015149006.1_prot_XP_015178021.1_10137
Lflavo2a000349P2 lcl|NW_015148993.1_prot_XP_015175489.1_7887
Lflavo2a000351P1 lcl|NW_015149061.1_prot_XP_015185172.1_16633
Lflavo2a000352P1 lcl|NW_015149095.1_prot_XP_015187386.1_18555
Lflavo2a000353P1 lcl|NW_015148984.1_prot_XP_015173233.1_5894
Lflavo2a000354P1 lcl|NW_015148984.1_prot_XP_015173240.1_5900
Lflavo2a000355P1 lcl|NW_015149018.1_prot_XP_015180832.1_12606
Lflavo2a000356P1 lcl|NW_015149061.1_prot_XP_015185178.1_16632
Lflavo2a000359P1 lcl|NW_015149018.1_prot_XP_015180815.1_12609
Lflavo2a000360P1 lcl|NW_015148974.1_prot_XP_015190565.1_2974
Lflavo2a000361P1 lcl|NW_015149110.1_prot_XP_015187960.1_19054
Lflavo2a000362P1 lcl|NW_015148984.1_prot_XP_015173239.1_5899
Lflavo2a000364P1 lcl|NW_015148979.1_prot_XP_015171787.1_4658
Lflavo2a000366P1 lcl|NW_015148993.1_prot_XP_015175482.1_7881
Lflavo2a000367P1 lcl|NW_015148984.1_prot_XP_015173235.1_5895
Lflavo2a000368P1 lcl|NW_015148974.1_prot_XP_015190713.1_3010
Lflavo2a000369P1 lcl|NW_015148997.1_prot_XP_015176241.1_8621
Lflavo2a000370P1 lcl|NW_015149073.1_prot_XP_015186064.1_17383
Lflavo2a000371P1 lcl|NW_015149110.1_prot_XP_015187963.1_19055
Lflavo2a000372P1 lcl|NW_015149015.1_prot_XP_015180209.1_11985
Lflavo2a000373P3 lcl|NW_015148979.1_prot_XP_015171954.1_4655
Lflavo2a000374P1 lcl|NW_015148984.1_prot_XP_015173238.1_5898
Lflavo2a000375P1 lcl|NW_015149026.1_prot_XP_015181926.1_13638
Lflavo2a000378P1 lcl|NW_015148998.1_prot_XP_015176496.1_8845
Lflavo2a000379P1 lcl|NW_015148997.1_prot_XP_015176362.1_8622
Lflavo2a000381P1 lcl|NW_015148984.1_prot_XP_015173236.1_5896
Lflavo2a000383P1 lcl|NW_015148993.1_prot_XP_015175483.1_7882
Lflavo2a000384P1 lcl|NW_015149018.1_prot_XP_015180818.1_12612
Lflavo2a000386P4 lcl|NW_015149022.1_prot_XP_015181280.1_12993
Lflavo2a000386P5 lcl|NW_015149022.1_prot_XP_015181282.1_12995
Lflavo2a000386P6 lcl|NW_015149022.1_prot_XP_015181281.1_12994
Lflavo2a000387P1 lcl|NW_015148979.1_prot_XP_015171923.1_4595
Lflavo2a000389P1 lcl|NW_015149073.1_prot_XP_015186068.1_17384
Lflavo2a000390P1 lcl|NW_015149054.1_prot_XP_015184647.1_16092
Lflavo2a000391P1 lcl|NW_015149073.1_prot_XP_015186057.1_17386
Lflavo2a000395P1 lcl|NW_015149027.1_prot_XP_015182015.1_13789
Lflavo2a000396P1 lcl|NW_015148984.1_prot_XP_015173237.1_5897
Lflavo2a000398P1 lcl|NW_015148984.1_prot_XP_015173248.1_5902
Lflavo2a000399P1 lcl|NW_015149143.1_prot_XP_015188852.1_19865
Lflavo2a000400P1 lcl|NW_015149095.1_prot_XP_015187380.1_18567
Lflavo2a000401P1 lcl|NW_015148984.1_prot_XP_015173241.1_5901
Lflavo2a000402P1 lcl|NW_015149061.1_prot_XP_015185185.1_16638
Lflavo2a000403P1 lcl|NW_015149054.1_prot_XP_015184681.1_16086
Lflavo2a000403P2 lcl|NW_015149054.1_prot_XP_015184682.1_16085
Lflavo2a000405P1 lcl|NW_015148984.1_prot_XP_015173249.1_5904
Lflavo2a000406P1 lcl|NW_015148979.1_prot_XP_015171953.1_4653
Lflavo2a000408P2 lcl|NW_015148984.1_prot_XP_015173377.1_5906
Lflavo2a000409P1 lcl|NW_015148987.1_prot_XP_015174023.1_6497
Lflavo2a000412P1 lcl|NW_015149054.1_prot_XP_015184624.1_16090
Lflavo2a000414P1 lcl|NW_015148993.1_prot_XP_015175487.1_7886
Lflavo2a000415P1 lcl|NW_015149054.1_prot_XP_015184634.1_16084
Lflavo2a000416P1 lcl|NW_015149026.1_prot_XP_015181930.1_13637
Lflavo2a000417P1 lcl|NW_015149026.1_prot_XP_015181924.1_13635
Lflavo2a000418P1 lcl|NW_015149073.1_prot_XP_015186074.1_17376
Lflavo2a000423P1 lcl|NW_015149018.1_prot_XP_015180833.1_12607
Lflavo2a000424P1 lcl|NW_015149073.1_prot_XP_015186052.1_17385
Lflavo2a000425P1 lcl|NW_015149009.1_prot_XP_015178723.1_10746
Lflavo2a000426P1 lcl|NW_015149026.1_prot_XP_015181895.1_13648
Lflavo2a000427P1 lcl|NW_015149061.1_prot_XP_015185184.1_16635
Lflavo2a000428P1 lcl|NW_015149018.1_prot_XP_015180837.1_12608
Lflavo2a000429P1 lcl|NW_015149054.1_prot_XP_015184655.1_16091
Lflavo2a000433P2 lcl|NW_015149026.1_prot_XP_015181976.1_13645
Lflavo2a000434P1 lcl|NW_015149018.1_prot_XP_015180870.1_12701
Lflavo2a000435P1 lcl|NW_015149054.1_prot_XP_015184621.1_16088
Lflavo2a000436P1 lcl|NW_015149061.1_prot_XP_015185182.1_16636
Lflavo2a000436P2 lcl|NW_015149061.1_prot_XP_015185183.1_16637
Lflavo2a000439P1 lcl|NW_015149143.1_prot_XP_015188854.1_19863
Lflavo2a000440P1 lcl|NW_015149009.1_prot_XP_015178724.1_10747
Lflavo2a000441P1 lcl|NW_015149026.1_prot_XP_015181963.1_13641
Lflavo2a000442P1 lcl|NW_015149061.1_prot_XP_015185255.1_16628
Lflavo2a000443P1 lcl|NW_015148979.1_prot_XP_015171914.1_4598
Lflavo2a000444P1 lcl|NW_015148995.1_prot_XP_015175820.1_8309
Lflavo2a000446P1 lcl|NW_015148974.1_prot_XP_015190568.1_2976
Lflavo2a000447P1 lcl|NW_015148971.1_prot_XP_015179685.1_1280
Lflavo2a000448P1 lcl|NW_015148997.1_prot_XP_015176240.1_8619
Lflavo2a000451P2 lcl|NW_015149006.1_prot_XP_015178020.1_10138
Lflavo2a000452P1 lcl|NW_015148993.1_prot_XP_015175484.1_7885
Lflavo2a000453P1 lcl|NW_015149198.1_prot_XP_015189533.1_20483
Lflavo2a000455P2 lcl|NW_015149198.1_prot_XP_015189539.1_20489
Lflavo2a000458P3 lcl|NW_015149152.1_prot_XP_015189039.1_20046
Lflavo2a000459P1 lcl|NW_015149198.1_prot_XP_015189536.1_20486
Lflavo2a000460P1 lcl|NW_015149198.1_prot_XP_015189535.1_20488
Lflavo2a000461P1 lcl|NW_015149152.1_prot_XP_015189038.1_20049
Lflavo2a000462P1 lcl|NW_015148970.1_prot_XP_015191496.1_312
Lflavo2a000465P1 lcl|NW_015148970.1_prot_XP_015172817.1_307
Lflavo2a000468P4 lcl|NW_015148970.1_prot_XP_015191375.1_314
Lflavo2a000469P1 lcl|NW_015148970.1_prot_XP_015191509.1_310
Lflavo2a000475P1 lcl|NW_015148970.1_prot_XP_015173671.1_428
Lflavo2a000476P1 lcl|NW_015148993.1_prot_XP_015175532.1_7847
Lflavo2a000477P1 lcl|NW_015149125.1_prot_XP_015188477.1_19549
Lflavo2a000478P1 lcl|NW_015148990.1_prot_XP_015174639.1_7221
Lflavo2a000479P1 lcl|NW_015148975.1_prot_XP_015191451.1_3247
Lflavo2a000480P1 lcl|NW_015148978.1_prot_XP_015171553.1_4441
Lflavo2a000481P1 lcl|NW_015148975.1_prot_XP_015191240.1_3315
Lflavo2a000483P1 lcl|NW_015149084.1_prot_XP_015186761.1_17997
Lflavo2a000484P1 lcl|NW_015148973.1_prot_XP_015189243.1_2586
Lflavo2a000488P1 lcl|NW_015149021.1_prot_XP_015181172.1_12929
Lflavo2a000489P1 lcl|NW_015148970.1_prot_XP_015191301.1_506
Lflavo2a000491P1 lcl|NW_015149087.1_prot_XP_015186932.1_18159
Lflavo2a000495P1 lcl|NW_015149010.1_prot_XP_015179048.1_10820
Lflavo2a000496P2 lcl|NW_015149008.1_prot_XP_015178541.1_10573
Lflavo2a000497P1 lcl|NW_015149009.1_prot_XP_015178684.1_10665
Lflavo2a000497P2 lcl|NW_015149009.1_prot_XP_015178678.1_10660
Lflavo2a000498P2 lcl|NW_015149036.1_prot_XP_015182868.1_14482
Lflavo2a000499P1 lcl|NW_015149008.1_prot_XP_015178312.1_10566
Lflavo2a000500P1 lcl|NW_015149084.1_prot_XP_015186760.1_17996
Lflavo2a000502P5 lcl|NW_015148990.1_prot_XP_015174621.1_7218
Lflavo2a000503P1 lcl|NW_015149036.1_prot_XP_015182786.1_14490
Lflavo2a000504P1 lcl|NW_015148975.1_prot_XP_015191452.1_3250
Lflavo2a000505P1 lcl|NW_015149012.1_prot_XP_015179304.1_11327
Lflavo2a000506P1 lcl|NW_015148970.1_prot_XP_015191323.1_499
Lflavo2a000508P1 lcl|NW_015149041.1_prot_XP_015183391.1_15066
Lflavo2a000511P1 lcl|NW_015149021.1_prot_XP_015181129.1_12927
Lflavo2a000512P1 lcl|NW_015148973.1_prot_XP_015188837.1_2596
Lflavo2a000513P1 lcl|NW_015149016.1_prot_XP_015180348.1_12181
Lflavo2a000515P1 lcl|NW_015148990.1_prot_XP_015174553.1_7052
Lflavo2a000518P1 lcl|NW_015148970.1_prot_XP_015173631.1_427
Lflavo2a000520P1 lcl|NW_015148970.1_prot_XP_015173643.1_425
Lflavo2a000522P1 lcl|NW_015148973.1_prot_XP_015188870.1_2599
Lflavo2a000524P1 lcl|NW_015149172.1_prot_XP_015189377.1_20348
Lflavo2a000525P1 lcl|NW_015149125.1_prot_XP_015188481.1_19553
