Lflavo2a000001P1 NP_001014747.1
Lflavo2a000297P1 NP_001262930.1
Lflavo2a000299P3 NP_001260883.1
Lflavo2a000300P1 NP_001285560.1
Lflavo2a000302P1 NP_611463.1
Lflavo2a000304P1 NP_611207.1
Lflavo2a000305P1 NP_573030.2
Lflavo2a000307P1 NP_649876.1
Lflavo2a000308P1 NP_001036756.2
Lflavo2a000309P1 NP_001097319.1
Lflavo2a000313P1 NP_001036660.1
Lflavo2a000314P1 NP_001163602.1
Lflavo2a000320P1 NP_001303415.1
Lflavo2a000323P1 NP_001261386.1
Lflavo2a000324P1 NP_996018.2
Lflavo2a000326P1 NP_001261088.1
Lflavo2a000329P1 NP_612075.1
Lflavo2a000332P1 NP_001015389.1
Lflavo2a000333P1 NP_524022.1
Lflavo2a000334P1 NP_001033973.1
Lflavo2a000336P1 NP_650076.1
Lflavo2a000337P2 NP_511044.1
Lflavo2a000339P1 NP_608885.1
Lflavo2a000341P1 NP_611237.2
Lflavo2a000343P1 NP_001287376.1
Lflavo2a000344P1 NP_001137770.1
Lflavo2a000347P1 NP_610871.1
Lflavo2a000348P1 NP_650210.2
Lflavo2a000352P1 NP_476657.1
Lflavo2a000353P1 NP_001368940.1
Lflavo2a000354P1 NP_001262304.1
Lflavo2a000359P1 NP_727957.1
Lflavo2a000360P1 NP_732637.1
Lflavo2a000361P1 NP_610451.1
Lflavo2a000364P1 NP_001287421.2
Lflavo2a000366P1 NP_609936.1
Lflavo2a000367P1 NP_649628.2
Lflavo2a000368P1 NP_001259992.1
Lflavo2a000369P1 NP_651110.1
Lflavo2a000370P1 NP_001036341.2
Lflavo2a000371P1 NP_652189.1
Lflavo2a000372P1 NP_001163690.1
Lflavo2a000373P2 NP_001262336.1
Lflavo2a000374P1 NP_001287192.1
Lflavo2a000375P1 NP_001259527.1
Lflavo2a000378P1 NP_609586.1
Lflavo2a000379P1 NP_996267.1
Lflavo2a000381P1 NP_649627.1
Lflavo2a000383P1 NP_649580.1
Lflavo2a000384P1 NP_001260250.1
Lflavo2a000386P2 NP_536734.2
Lflavo2a000387P1 NP_647765.1
Lflavo2a000389P1 NP_001356926.1
Lflavo2a000390P1 NP_001014631.3
Lflavo2a000395P1 NP_611952.1
Lflavo2a000396P1 NP_649626.1
Lflavo2a000398P1 NP_649620.2
Lflavo2a000399P1 NP_650958.2
Lflavo2a000401P1 NP_001262303.1
Lflavo2a000408P2 NP_649460.3
Lflavo2a000411P1 NP_726013.2
Lflavo2a000414P1 NP_647729.1
Lflavo2a000415P1 NP_476646.2
Lflavo2a000416P1 NP_001246045.1
Lflavo2a000417P1 NP_609806.1
Lflavo2a000418P1 NP_572434.1
Lflavo2a000423P1 NP_572604.2
Lflavo2a000425P1 NP_651330.1
Lflavo2a000427P1 NP_611345.1
Lflavo2a000428P1 NP_523771.1
Lflavo2a000429P1 NP_001259085.1
Lflavo2a000432P1 NP_995679.1
Lflavo2a000433P2 NP_001260719.1
Lflavo2a000434P1 NP_001285599.1
Lflavo2a000436P2 NP_724893.3
Lflavo2a000438P1 NP_726318.1
Lflavo2a000439P1 NP_524387.1
Lflavo2a000440P1 NP_608779.1
Lflavo2a000442P1 NP_001356973.1
Lflavo2a000443P1 NP_611870.3
Lflavo2a000444P1 NP_723505.2
Lflavo2a000445P1 NP_001097652.1
Lflavo2a000446P1 NP_524435.2
Lflavo2a000447P1 NP_001303365.1
Lflavo2a000448P1 NP_651092.1
Lflavo2a000453P1 NP_647866.2
Lflavo2a000455P2 NP_523920.1
Lflavo2a000458P3 NP_001097786.1
Lflavo2a000459P1 NP_647867.1
Lflavo2a000460P1 NP_652335.1
Lflavo2a000461P1 NP_652334.2
Lflavo2a000462P2 NP_001097740.1
Lflavo2a000468P2 NP_996499.1
Lflavo2a000475P1 NP_001027263.1
Lflavo2a000476P1 NP_001096905.1
Lflavo2a000478P1 NP_730938.1
Lflavo2a000479P1 NP_001261254.1
Lflavo2a000480P1 NP_523573.1
Lflavo2a000481P1 NP_001259928.1
Lflavo2a000483P1 NP_001262199.1
Lflavo2a000484P1 NP_477365.1
Lflavo2a000491P1 NP_001261588.1
Lflavo2a000496P1 NP_724060.1
Lflavo2a000497P1 NP_572352.1
Lflavo2a000497P2 NP_001096897.1
Lflavo2a000499P1 NP_523591.2
Lflavo2a000500P1 NP_609279.1
Lflavo2a000502P5 NP_001036706.2
Lflavo2a000504P1 NP_001138087.1
Lflavo2a000508P1 NP_001286638.1
Lflavo2a000513P1 NP_524784.1
Lflavo2a000515P1 NP_572651.1
Lflavo2a000518P1 NP_001027262.1
Lflavo2a000522P1 NP_609496.1
Lflavo2a000525P1 NP_001285454.1
Lflavo2a000526P1 NP_001163081.1
Lflavo2a000528P1 NP_611114.1
Lflavo2a000531P1 NP_524537.1
Lflavo2a000532P1 NP_608362.2
Lflavo2a000533P1 NP_001286419.1
Lflavo2a000536P1 NP_726481.1
Lflavo2a000537P1 NP_650449.1
Lflavo2a000540P1 NP_732364.1
Lflavo2a000541P1 NP_001188830.1
Lflavo2a000542P1 NP_573063.1
Lflavo2a000544P1 NP_001163490.1
Lflavo2a000545P2 NP_788503.1
Lflavo2a000546P1 NP_572855.1
Lflavo2a000548P1 NP_001261508.1
Lflavo2a000549P1 NP_651454.1
Lflavo2a000551P1 NP_648929.1
Lflavo2a000553P2 NP_648486.1
Lflavo2a000554P2 NP_477414.1
Lflavo2a000555P1 NP_523713.2
Lflavo2a000556P1 NP_001245466.1
Lflavo2a000560P1 NP_647879.1
Lflavo2a000562P1 NP_610042.1
Lflavo2a000563P1 NP_001162782.1
Lflavo2a000566P1 NP_569961.2
Lflavo2a000567P1 NP_001284932.1
Lflavo2a000568P1 NP_001260029.1
Lflavo2a000569P1 NP_651605.1
Lflavo2a000570P1 NP_730996.2
Lflavo2a000571P2 NP_524076.2
Lflavo2a000572P1 NP_609879.1
Lflavo2a000573P1 NP_647804.2
Lflavo2a000576P1 NP_648247.1
Lflavo2a000578P1 NP_001284902.1
Lflavo2a000579P1 NP_001247005.1
Lflavo2a000582P1 NP_536744.2
Lflavo2a000583P1 NP_001286791.1
Lflavo2a000586P1 NP_611267.1
Lflavo2a000587P1 NP_649859.1
Lflavo2a000588P1 NP_523355.2
Lflavo2a000590P1 NP_573181.1
Lflavo2a000592P1 NP_609847.1
Lflavo2a000594P1 NP_001097354.1
Lflavo2a000595P1 NP_523737.1
Lflavo2a000597P1 NP_649090.1
Lflavo2a000604P1 NP_730934.1
Lflavo2a000605P1 NP_732424.1
Lflavo2a000607P1 NP_001262205.1
Lflavo2a000608P1 NP_477296.1
Lflavo2a000610P1 NP_001261720.1
Lflavo2a000611P1 NP_788277.1
Lflavo2a000612P1 NP_724327.1
Lflavo2a000614P1 NP_523567.5
Lflavo2a000616P1 NP_731299.1
Lflavo2a000617P1 NP_001036690.1
Lflavo2a000619P1 NP_001097399.1
Lflavo2a000620P3 NP_524729.2
Lflavo2a000621P1 NP_609301.2
Lflavo2a000622P1 NP_001246149.1
Lflavo2a000623P1 NP_649069.2
Lflavo2a000625P1 NP_001262168.1
Lflavo2a000626P1 NP_648950.1
Lflavo2a000627P1 NP_572384.1
Lflavo2a000633P1 NP_650650.1
Lflavo2a000638P1 NP_477412.1
Lflavo2a000639P1 NP_001246021.1
Lflavo2a000640P1 NP_725044.1
Lflavo2a000641P1 NP_610604.3
Lflavo2a000642P1 NP_609939.1
Lflavo2a000646P1 NP_001287390.1
Lflavo2a000650P1 NP_611086.1
Lflavo2a000658P1 NP_524013.1
Lflavo2a000659P1 NP_649086.2
Lflavo2a000660P1 NP_001036752.1
Lflavo2a000664P1 NP_001189157.1
Lflavo2a000665P1 NP_650375.1
Lflavo2a000666P1 NP_610229.1
Lflavo2a000669P1 NP_001097846.1
Lflavo2a000670P1 NP_001246420.1
Lflavo2a000671P1 NP_729732.1
Lflavo2a000674P1 NP_001097573.1
Lflavo2a000675P1 NP_001356961.1
Lflavo2a000678P1 NP_001034071.1
Lflavo2a000681P1 NP_001286628.1
Lflavo2a000683P1 NP_651717.1
Lflavo2a000684P1 NP_573316.1
Lflavo2a000693P1 NP_647785.3
Lflavo2a000697P1 NP_001286089.1
Lflavo2a000702P1 NP_001261680.1
Lflavo2a000703P1 NP_476982.1
Lflavo2a000704P1 NP_001262025.1
Lflavo2a000705P1 NP_524852.2
Lflavo2a000706P1 NP_001334732.1
Lflavo2a000707P1 NP_731633.2
Lflavo2a000708P1 NP_001262084.1
Lflavo2a000710P1 NP_649813.1
Lflavo2a000713P1 NP_477003.1
Lflavo2a000715P1 NP_001027110.2
Lflavo2a000718P1 NP_650691.1
Lflavo2a000719P1 NP_001246150.1
Lflavo2a000721P1 NP_572758.1
Lflavo2a000722P1 NP_001262614.1
Lflavo2a000723P1 NP_724489.1
Lflavo2a000725P1 NP_001259847.1
Lflavo2a000726P1 NP_524774.1
Lflavo2a000734P1 NP_524381.1
Lflavo2a000735P1 NP_001356918.1
Lflavo2a000738P1 NP_001245420.1
Lflavo2a000739P1 NP_477395.1
Lflavo2a000740P1 NP_001163165.1
Lflavo2a000743P1 NP_608490.1
Lflavo2a000744P1 NP_572216.1
Lflavo2a000745P1 NP_001284784.1
Lflavo2a000747P1 NP_001036433.1
Lflavo2a000748P1 NP_001285109.1
Lflavo2a000749P1 NP_648050.1
Lflavo2a000752P1 NP_477065.3
Lflavo2a000753P1 NP_001033967.1
Lflavo2a000754P1 NP_732413.1
Lflavo2a000755P1 NP_001015167.2
Lflavo2a000760P1 NP_001245516.1
Lflavo2a000761P1 NP_651176.1
Lflavo2a000763P1 NP_609371.2
Lflavo2a000765P1 NP_001262669.1
Lflavo2a000766P1 NP_001285268.1
Lflavo2a000768P1 NP_001263057.1
Lflavo2a000769P1 NP_001303484.1
Lflavo2a000770P1 NP_001247193.1
Lflavo2a000773P1 NP_001285317.1
Lflavo2a000774P1 NP_001287440.1
Lflavo2a000776P1 NP_001285284.1
Lflavo2a000777P1 NP_648731.1
Lflavo2a000778P1 NP_609495.1
Lflavo2a000779P1 NP_001014619.2
Lflavo2a000781P1 NP_608991.2
Lflavo2a000787P3 NP_609449.1
Lflavo2a000789P1 NP_609485.4
Lflavo2a000791P1 NP_001262373.1
Lflavo2a000792P1 NP_001260836.2
Lflavo2a000796P2 NP_001260384.1
Lflavo2a000797P1 NP_001027048.1
Lflavo2a000799P4 NP_001162767.1
Lflavo2a000802P2 NP_001245565.1
Lflavo2a000803P1 NP_723057.1
Lflavo2a000808P1 NP_001259162.1
Lflavo2a000811P1 NP_001189114.1
Lflavo2a000814P2 NP_536745.4
Lflavo2a000815P1 NP_001259272.1
Lflavo2a000818P1 NP_001259803.1
Lflavo2a000828P1 NP_001162667.1
Lflavo2a000829P1 NP_001286614.1
Lflavo2a000832P1 NP_609504.2
Lflavo2a000833P1 NP_572324.1
Lflavo2a000837P1 NP_524330.2
Lflavo2a000839P1 NP_572445.1
Lflavo2a000840P3 NP_477150.1
Lflavo2a000842P1 NP_001162912.1
Lflavo2a000843P1 NP_001262697.1
Lflavo2a000844P1 NP_001189311.1
Lflavo2a000845P1 NP_001097392.1
Lflavo2a000846P1 NP_001285521.1
Lflavo2a000849P2 NP_788708.2
Lflavo2a000850P1 NP_001246894.1
Lflavo2a000851P1 NP_001261244.1
Lflavo2a000853P1 NP_732717.1
Lflavo2a000856P1 NP_610602.2
Lflavo2a000865P1 NP_731065.1
Lflavo2a000866P1 NP_001368993.1
Lflavo2a000867P1 NP_731495.1
Lflavo2a000868P1 NP_523855.1
Lflavo2a000873P1 NP_001287082.1
Lflavo2a000874P1 NP_650453.3
Lflavo2a000876P1 NP_477509.1
Lflavo2a000877P1 NP_001137695.1
Lflavo2a000878P1 NP_650561.1
Lflavo2a000880P1 NP_001027082.1
Lflavo2a000882P1 NP_001245504.1
Lflavo2a000885P1 NP_649641.1
Lflavo2a000886P1 NP_001036355.1
Lflavo2a000890P1 NP_649635.1
Lflavo2a000897P2 NP_001247243.1
Lflavo2a000899P1 NP_001163597.1
Lflavo2a000900P1 NP_611500.1
Lflavo2a000902P1 NP_001137646.1
Lflavo2a000903P1 NP_001369065.1
Lflavo2a000904P1 NP_001189281.1
Lflavo2a000906P1 NP_001262306.1
Lflavo2a000916P3 NP_649868.1
Lflavo2a000919P2 NP_651685.2
Lflavo2a000922P1 NP_610292.2
Lflavo2a000924P1 NP_001263095.1
Lflavo2a000926P1 NP_611945.3
Lflavo2a000927P1 NP_651035.1
Lflavo2a000928P1 NP_001163682.1
Lflavo2a000933P1 NP_001287187.1
Lflavo2a000936P1 NP_001247343.2
Lflavo2a000938P1 NP_001285046.1
Lflavo2a000940P1 NP_001163529.1
Lflavo2a000943P1 NP_648911.1
Lflavo2a000944P2 NP_001189095.1
Lflavo2a000945P2 NP_525099.3
Lflavo2a000946P1 NP_650146.1
Lflavo2a000947P1 NP_649631.1
Lflavo2a000948P1 NP_524275.1
Lflavo2a000953P1 NP_001259349.1
Lflavo2a000955P1 NP_001034058.1
Lflavo2a000956P1 NP_731062.1
Lflavo2a000961P1 NP_610470.1
Lflavo2a000963P1 NP_001287400.1
Lflavo2a000970P1 NP_524031.2
Lflavo2a000971P1 NP_001350856.1
Lflavo2a000972P1 NP_647853.1
Lflavo2a000973P1 NP_651549.1
Lflavo2a000975P1 NP_651439.2
Lflavo2a000976P1 NP_001286811.1
Lflavo2a000979P1 NP_523837.2
Lflavo2a000980P1 NP_610777.1
Lflavo2a000982P1 NP_730600.1
Lflavo2a000983P1 NP_001188648.1
Lflavo2a000984P1 NP_651507.1
Lflavo2a000985P1 NP_523572.1
Lflavo2a000987P1 NP_001245400.1
Lflavo2a000989P1 NP_001286295.1
Lflavo2a000991P1 NP_001138093.1
Lflavo2a000992P1 NP_001097725.2
Lflavo2a000993P2 NP_001286773.1
Lflavo2a000994P1 NP_524815.1
Lflavo2a000996P1 NP_651872.1
Lflavo2a000997P1 NP_651922.1
Lflavo2a000998P1 NP_476902.1
Lflavo2a001003P1 NP_477313.1
Lflavo2a001004P1 NP_650706.1
Lflavo2a001005P1 NP_001261977.1
Lflavo2a001006P1 NP_609075.1
Lflavo2a001007P1 NP_001162710.2
Lflavo2a001008P1 NP_611692.1
Lflavo2a001009P1 NP_477329.1
Lflavo2a001010P1 NP_649866.1
Lflavo2a001011P1 NP_649827.2
Lflavo2a001013P2 NP_477098.1
Lflavo2a001019P4 NP_001246702.1
Lflavo2a001020P1 NP_652462.3
Lflavo2a001021P1 NP_001027234.1
Lflavo2a001023P1 NP_610623.1
Lflavo2a001025P1 NP_001286742.1
Lflavo2a001026P1 NP_001162765.1
Lflavo2a001028P1 NP_001163309.2
Lflavo2a001031P1 NP_001260071.1
Lflavo2a001035P1 NP_001285238.1
Lflavo2a001036P1 NP_651794.2
Lflavo2a001043P1 NP_001261450.1
Lflavo2a001053P1 NP_001036321.2
Lflavo2a001054P1 NP_724071.1
Lflavo2a001056P1 NP_610925.3
Lflavo2a001059P1 NP_476610.2
Lflavo2a001062P1 NP_477133.1
Lflavo2a001064P1 NP_723338.1
Lflavo2a001065P1 NP_001245956.1
Lflavo2a001068P1 NP_788286.1
Lflavo2a001069P1 NP_724163.1
Lflavo2a001072P1 NP_609199.1
Lflavo2a001073P1 NP_725084.2
Lflavo2a001076P1 NP_723044.1
Lflavo2a001077P1 NP_001286701.1
Lflavo2a001078P1 NP_001262519.1
Lflavo2a001079P1 NP_523890.2
Lflavo2a001080P1 NP_001261744.1
Lflavo2a001083P1 NP_611496.1
Lflavo2a001085P1 NP_611426.1
Lflavo2a001089P1 NP_001286565.1
Lflavo2a001091P1 NP_996512.1
Lflavo2a001092P1 NP_001246058.1
Lflavo2a001093P1 NP_001262518.1
Lflavo2a001094P1 NP_001245748.1
Lflavo2a001095P1 NP_001246063.1
Lflavo2a001096P1 NP_001261955.1
Lflavo2a001099P1 NP_523815.2
Lflavo2a001100P2 NP_001259437.1
Lflavo2a001101P1 NP_649127.1
Lflavo2a001102P1 NP_001259387.1
Lflavo2a001104P1 NP_610534.3
Lflavo2a001107P1 NP_611900.1
Lflavo2a001109P1 NP_648665.1
Lflavo2a001111P1 NP_788403.2
Lflavo2a001112P1 NP_651171.1
Lflavo2a001114P1 NP_001286604.1
Lflavo2a001116P1 NP_001262478.1
Lflavo2a001119P1 NP_788907.1
Lflavo2a001121P1 NP_612043.1
Lflavo2a001124P1 NP_651331.1
Lflavo2a001125P2 NP_001369034.1
Lflavo2a001127P1 NP_573209.1
Lflavo2a001130P1 NP_788084.1
Lflavo2a001132P1 NP_001262426.1
Lflavo2a001133P1 NP_001287131.2
Lflavo2a001135P1 NP_648111.1
Lflavo2a001138P2 NP_001284899.1
Lflavo2a001139P1 NP_610202.3
Lflavo2a001144P1 NP_648114.1
Lflavo2a001155P1 NP_001189131.1
Lflavo2a001157P1 NP_001259679.1
Lflavo2a001160P1 NP_731246.2
Lflavo2a001161P1 NP_001285520.1
Lflavo2a001165P1 NP_001262539.1
Lflavo2a001167P1 NP_001014665.1
Lflavo2a001168P1 NP_001261916.1
Lflavo2a001169P1 NP_001356949.1
Lflavo2a001171P1 NP_725583.1
Lflavo2a001175P1 NP_648163.1
Lflavo2a001178P1 NP_001014554.1
Lflavo2a001180P1 NP_001096880.1
Lflavo2a001181P1 NP_726247.1
Lflavo2a001184P1 NP_523773.1
Lflavo2a001186P1 NP_001097320.1
Lflavo2a001196P1 NP_001285859.1
Lflavo2a001218P1 NP_001033874.2
Lflavo2a001220P1 NP_001246321.1
Lflavo2a001221P1 NP_001246673.1
Lflavo2a001222P1 NP_001027286.1
Lflavo2a001223P1 NP_730935.1
Lflavo2a001225P1 NP_001260076.1
Lflavo2a001226P1 NP_730499.1
Lflavo2a001230P1 NP_611437.2
Lflavo2a001232P1 NP_001033875.1
Lflavo2a001233P1 NP_730546.1
Lflavo2a001234P1 NP_732773.1
Lflavo2a001235P1 NP_001027175.1
Lflavo2a001236P1 NP_001027285.1
Lflavo2a001237P1 NP_001287107.1
Lflavo2a001238P2 NP_001287538.1
Lflavo2a001248P1 NP_524836.2
Lflavo2a001251P1 NP_001262696.1
Lflavo2a001253P1 NP_610945.1
Lflavo2a001254P1 NP_650001.2
Lflavo2a001257P1 NP_001287175.1
Lflavo2a001259P1 NP_001284993.1
Lflavo2a001265P1 NP_477360.2
Lflavo2a001266P1 NP_611812.2
Lflavo2a001267P1 NP_651272.1
Lflavo2a001268P1 NP_001162796.1
Lflavo2a001269P1 NP_651181.1
Lflavo2a001272P1 NP_476578.3
Lflavo2a001274P1 NP_788538.2
Lflavo2a001275P1 NP_649831.1
Lflavo2a001277P1 NP_001303439.1
Lflavo2a001278P1 NP_611869.1
Lflavo2a001285P1 NP_001286578.1
Lflavo2a001288P3 NP_001261793.1
Lflavo2a001290P1 NP_001245496.2
Lflavo2a001292P1 NP_611029.3
Lflavo2a001296P1 NP_610095.1
Lflavo2a001304P1 NP_572806.2
Lflavo2a001306P1 NP_608605.1
Lflavo2a001310P1 NP_001285932.1
Lflavo2a001312P1 NP_523566.4
Lflavo2a001322P1 NP_001286410.1
Lflavo2a001323P1 NP_001163354.1
Lflavo2a001324P1 NP_001246498.1
Lflavo2a001326P1 NP_476905.1
Lflavo2a001327P1 NP_001287048.1
Lflavo2a001329P1 NP_001137936.1
Lflavo2a001331P1 NP_001246647.1
Lflavo2a001332P1 NP_649102.3
Lflavo2a001336P1 NP_001246648.1
Lflavo2a001342P1 NP_572402.1
Lflavo2a001344P1 NP_001261809.1
Lflavo2a001346P1 NP_609190.2
Lflavo2a001349P1 NP_523473.2
Lflavo2a001353P1 NP_001163370.1
Lflavo2a001354P1 NP_608616.2
Lflavo2a001355P1 NP_001261582.1
Lflavo2a001358P1 NP_001097134.1
Lflavo2a001363P1 NP_001097156.1
Lflavo2a001364P1 NP_001284872.1
Lflavo2a001365P1 NP_001097315.1
Lflavo2a001368P1 NP_001259918.1
Lflavo2a001371P1 NP_001261494.1
Lflavo2a001375P1 NP_001286566.1
Lflavo2a001376P2 NP_001246059.1
Lflavo2a001378P1 NP_001286671.1
Lflavo2a001384P1 NP_001284863.1
Lflavo2a001386P1 NP_001284744.1
Lflavo2a001387P1 NP_001261264.1
Lflavo2a001391P1 NP_609029.1
Lflavo2a001392P1 NP_001097540.1
Lflavo2a001395P1 NP_001260326.1
Lflavo2a001399P1 NP_609353.1
Lflavo2a001400P1 NP_001188794.1
Lflavo2a001401P1 NP_001262259.1
Lflavo2a001403P1 NP_001284795.1
Lflavo2a001404P3 NP_001262744.1
Lflavo2a001405P1 NP_731565.4
Lflavo2a001408P1 NP_648202.1
Lflavo2a001409P1 NP_001285205.1
Lflavo2a001411P1 NP_649701.2
Lflavo2a001413P2 NP_001014614.1
Lflavo2a001414P1 NP_610362.1
Lflavo2a001421P1 NP_001137946.1
Lflavo2a001425P1 NP_001034051.1
Lflavo2a001429P1 NP_001284939.1
Lflavo2a001430P1 NP_001334673.1
Lflavo2a001436P1 NP_001287529.1
Lflavo2a001437P2 NP_651232.1
Lflavo2a001439P1 NP_001356919.1
Lflavo2a001441P1 NP_001286812.1
Lflavo2a001443P1 NP_524306.3
Lflavo2a001444P1 NP_001262445.1
Lflavo2a001445P1 NP_524364.2
Lflavo2a001446P2 NP_650984.1
Lflavo2a001447P1 NP_511083.1
Lflavo2a001449P1 NP_729364.1
Lflavo2a001457P1 NP_609616.1
Lflavo2a001460P1 NP_001261705.1
Lflavo2a001461P1 NP_001246624.1
Lflavo2a001463P1 NP_573232.1
Lflavo2a001465P1 NP_572674.3
Lflavo2a001468P1 NP_001188935.1
Lflavo2a001469P1 NP_648328.1
Lflavo2a001472P1 NP_723362.1
Lflavo2a001473P1 NP_001286900.1
Lflavo2a001474P1 NP_001259857.1
Lflavo2a001475P1 NP_001262966.1
Lflavo2a001478P1 NP_995670.2
Lflavo2a001480P1 NP_649904.2
Lflavo2a001482P1 NP_001285464.1
Lflavo2a001483P1 NP_001262229.1
Lflavo2a001484P1 NP_001284992.1
Lflavo2a001485P1 NP_524043.1
Lflavo2a001487P1 NP_648100.2
Lflavo2a001489P3 NP_650941.3
Lflavo2a001490P1 NP_001246668.1
