Geneid	gene_name	SRR1519115_1Aligned.sortedByCoord.out.bam	SRR1519109_1Aligned.sortedByCoord.out.bam	SRR1519111_1Aligned.sortedByCoord.out.bam	SRR1519117_1Aligned.sortedByCoord.out.bam	SRR1519113_1Aligned.sortedByCoord.out.bam	SRR1519110_1Aligned.sortedByCoord.out.bam	SRR1519116_1Aligned.sortedByCoord.out.bam	SRR1519108_1Aligned.sortedByCoord.out.bam	SRR1519112_1Aligned.sortedByCoord.out.bam	SRR1519114_1Aligned.sortedByCoord.out.bam
gene-LOC106791081	LOC106791081	147	420	455	519	192	385	529	237	376	190
gene-LOC106791219	LOC106791219	131	218	262	205	87	223	189	121	174	125
gene-LOC106791448	LOC106791448	151	258	163	65	257	344	208	334	137	277
gene-LOC106783578	LOC106783578	0	7	2	1	1	8	0	0	0	0
gene-LOC106792973	LOC106792973	3	0	0	0	1	39	9	10	3	22
gene-LOC106793476	LOC106793476	89	160	174	146	88	191	209	121	121	159
gene-LOC106784213	LOC106784213	0	1	1	0	0	2	1	4	0	1
gene-LOC106793566	LOC106793566	0	53	14	4	6	40	18	8	5	7
gene-LOC106793125	LOC106793125	433	857	1074	828	386	1105	863	422	830	420
gene-LOC106793579	LOC106793579	11	23	41	69	14	33	31	18	38	26
gene-LOC106793338	LOC106793338	85	290	356	487	88	434	334	91	280	153
gene-LOC106793382	LOC106793382	70	1325	287	110	220	1237	293	690	112	477
gene-LOC106784860	LOC106784860	1	2	0	0	1	2	3	2	1	3
gene-LOC106793600	LOC106793600	5	11	9	11	5	4	9	2	2	3
gene-LOC106791695	LOC106791695	2742	3945	4725	5781	2658	3820	4497	2569	5051	2395
gene-LOC106792250	LOC106792250	1113	2073	2386	2439	1095	1884	1880	924	1954	1035
gene-LOC106788382	LOC106788382	38	73	80	156	63	88	102	57	59	58
gene-LOC106788494	LOC106788494	376	494	608	640	392	549	508	444	565	494
gene-LOC106788172	LOC106788172	664	1211	1388	1405	609	1365	1185	693	1056	739
gene-LOC106793518	LOC106793518	46	108	155	114	34	155	122	50	93	56
gene-LOC106785532	LOC106785532	1	0	1	2	0	0	0	0	0	1
gene-LOC106792968	LOC106792968	720	1401	1794	1201	649	1681	1650	690	1210	706
gene-LOC106792980	LOC106792980	159	188	198	154	208	167	143	123	216	222
gene-LOC106785973	LOC106785973	135	226	258	266	132	214	268	160	182	178
gene-LOC106786104	LOC106786104	294	103	113	154	293	16	10	255	146	330
gene-LOC106786163	LOC106786163	60	2	0	6	77	1	2	89	0	87
gene-LOC106785506	LOC106785506	927	1322	1406	1215	727	1056	1119	719	1140	848
gene-LOC106786236	LOC106786236	167	553	603	134	208	634	487	316	162	242
gene-LOC106785575	LOC106785575	28	19	29	32	28	22	19	49	30	29
gene-LOC106785658	LOC106785658	60	40	44	51	51	41	15	102	46	106
gene-LOC106785829	LOC106785829	2481	6294	6011	461	2099	8107	2958	3246	900	2854
gene-LOC106793195	LOC106793195	147	335	460	320	190	341	385	175	374	175
gene-LOC106793224	LOC106793224	29	107	107	72	33	113	98	59	51	39
gene-LOC106789442	LOC106789442	591	1041	1250	1784	413	1147	864	413	1048	523
gene-LOC106789590	LOC106789590	215	410	517	387	184	433	425	178	334	265
gene-LOC106789790	LOC106789790	9	32	32	24	12	27	50	14	33	12
gene-LOC106789660	LOC106789660	10	16	19	26	21	8	8	17	32	27
gene-LOC106793444	LOC106793444	473	960	906	1101	434	892	935	545	772	592
gene-LOC106793556	LOC106793556	188	147	180	139	178	154	131	207	136	205
gene-LOC106793035	LOC106793035	577	1233	1371	1335	562	1320	1267	648	1017	637
gene-LOC106793109	LOC106793109	1670	2230	2552	1546	1932	2193	2177	1558	1837	2133
gene-LOC106793044	LOC106793044	0	1	0	0	0	8	2	3	0	3
gene-LOC106788171	LOC106788171	116	269	229	300	89	241	222	154	183	144
gene-LOC106793118	LOC106793118	378	754	712	647	338	637	691	434	572	453
gene-LOC106791671	LOC106791671	58	87	92	62	80	52	50	102	78	92
gene-LOC106793116	LOC106793116	1869	3435	4546	3754	1564	4996	4011	1868	2175	1650
gene-LOC106793182	LOC106793182	464	634	854	1023	321	1027	694	325	372	374
gene-LOC106793244	LOC106793244	9	3	14	8	5	6	1	8	7	18
gene-LOC106786212	LOC106786212	0	5	1	0	0	0	2	2	0	0
gene-LOC106793368	LOC106793368	355	646	559	463	461	584	425	598	343	506
gene-LOC106786416	LOC106786416	173	194	178	167	213	116	90	288	163	309
gene-LOC106787032	LOC106787032	182	548	642	609	204	511	469	217	463	253
gene-LOC106786365	LOC106786365	1029	1282	1582	1296	835	1446	1473	644	1296	842
gene-LOC106786926	LOC106786926	91	90	84	117	99	24	18	110	79	155
gene-LOC106786487	LOC106786487	2473	4976	5684	4671	2432	5683	5691	2417	4250	2822
gene-LOC106786668	LOC106786668	102	177	243	352	97	105	84	130	237	151
gene-LOC106786302	LOC106786302	54	43	78	159	30	79	70	51	57	25
gene-LOC106786730	LOC106786730	54	20	20	19	63	0	2	62	23	111
gene-LOC106793457	LOC106793457	467	1264	1739	2015	455	1451	1851	511	1444	620
gene-LOC106787258	LOC106787258	366	741	864	661	436	744	742	434	551	569
gene-LOC106787103	LOC106787103	1884	3661	4511	4255	1923	4827	4503	2132	3416	2522
gene-LOC106787324	LOC106787324	1352	3846	4042	3876	1416	4019	4566	1532	3223	1789
gene-LOC106792353	LOC106792353	4	58	33	1	6	5	20	2	1	6
gene-LOC106793307	LOC106793307	168	295	136	108	98	236	514	80	41	91
gene-LOC106793320	LOC106793320	51	85	142	90	79	698	889	22	41	91
gene-LOC106793528	LOC106793528	847	1082	1105	1296	778	1023	1215	625	993	759
gene-LOC106789504	LOC106789504	142	345	380	389	180	353	292	197	317	219
gene-LOC106790271	LOC106790271	1673	4172	6764	5109	2021	5536	4576	2803	3888	2271
gene-LOC106785161	LOC106785161	5	3	7	14	3	4	4	5	8	16
gene-LOC106785014	LOC106785014	0	1	2	3	1	9	11	2	2	0
gene-LOC106784795	LOC106784795	202	390	566	306	260	1076	1269	296	330	500
gene-LOC106784303	LOC106784303	572	2142	1440	876	783	3094	6062	938	641	1024
gene-LOC106784948	LOC106784948	85	306	410	196	109	447	285	124	232	141
gene-LOC106784189	LOC106784189	685	1622	1947	2148	606	1952	1475	611	1171	785
gene-LOC106785084	LOC106785084	2	8	11	8	4	2	3	2	5	2
gene-LOC106793436	LOC106793436	406	792	809	839	426	796	769	605	733	545
gene-LOC106790240	LOC106790240	96	253	239	295	98	276	234	112	255	138
gene-LOC106786836	LOC106786836	0	2	0	1	0	1	0	2	0	0
gene-LOC106787516	LOC106787516	52	158	157	128	43	135	130	52	74	37
gene-LOC106788063	LOC106788063	1130	2019	3738	7327	869	2327	1965	1348	2075	1782
gene-LOC106789267	LOC106789267	948	1708	1636	3017	937	1624	1697	463	730	561
gene-LOC106789867	LOC106789867	499	741	763	893	455	552	621	460	597	620
gene-LOC106790187	LOC106790187	2136	2978	3597	4767	2135	2936	3349	1657	3794	1895
gene-LOC106789993	LOC106789993	205	307	409	321	181	383	291	306	303	304
gene-LOC106790110	LOC106790110	843	2145	2386	2056	784	2819	2498	861	2221	1122
gene-LOC106784433	LOC106784433	606	1191	1332	1065	519	1119	1132	632	1038	717
gene-LOC106784299	LOC106784299	465	436	546	409	395	381	337	367	365	363
gene-LOC106784324	LOC106784324	0	0	0	0	0	0	0	1	1	1
gene-LOC106793608	LOC106793608	2	1	1	3	1	0	0	2	0	2
gene-LOC106784312	LOC106784312	251	593	668	674	284	585	631	296	650	353
gene-LOC106783799	LOC106783799	1522	2346	2455	2330	1387	2500	2188	1562	2050	1405
gene-LOC106783819	LOC106783819	374	424	450	375	330	406	424	357	344	397
gene-LOC106784120	LOC106784120	654	978	1001	619	628	859	820	471	593	654
gene-LOC106784449	LOC106784449	3120	8813	8632	7544	3875	10433	8894	3890	6892	4624
gene-LOC106784456	LOC106784456	601	2642	2753	2960	779	2849	3126	1134	2091	1027
gene-LOC106783663	LOC106783663	1257	2064	2188	1809	1072	2055	2167	820	1403	1345
gene-LOC106783674	LOC106783674	3286	4828	5225	2980	3662	5072	3571	3551	4379	4541
gene-LOC106783691	LOC106783691	293	535	809	987	277	629	705	308	535	288
gene-LOC106783656	LOC106783656	518	1004	1116	894	539	946	1132	470	843	663
gene-LOC106783603	LOC106783603	648	904	812	791	625	723	851	589	753	846
gene-LOC106783637	LOC106783637	432	1071	1275	1332	477	1275	1353	500	1073	577
gene-LOC106783608	LOC106783608	89	177	262	266	91	316	175	105	242	108
gene-LOC106784535	LOC106784535	0	0	0	0	0	1	0	0	0	0
gene-LOC106784462	LOC106784462	143	232	238	245	165	168	177	171	262	217
gene-LOC106784476	LOC106784476	95	181	201	233	103	191	185	94	149	114
gene-LOC106784337	LOC106784337	127	250	325	241	97	268	266	141	230	163
gene-LOC106784328	LOC106784328	118	186	166	215	126	159	159	90	129	110
gene-LOC106784342	LOC106784342	213	170	191	211	294	155	145	292	191	291
gene-LOC106783973	LOC106783973	267	532	730	535	253	616	548	310	521	248
gene-LOC106784516	LOC106784516	104	182	153	36	116	197	75	146	51	61
gene-LOC106784507	LOC106784507	111	285	333	229	128	298	337	100	193	179
gene-LOC106793645	LOC106793645	2000	5821	7920	10128	1890	7817	6455	1944	5190	2093
gene-LOC106793679	LOC106793679	1	21	8	44	4	17	15	5	10	11
gene-LOC106793672	LOC106793672	0	11	4	24	0	1	11	3	17	0
gene-LOC106793612	LOC106793612	5	15	12	7	3	11	13	7	0	1
gene-LOC106784169	LOC106784169	20	8	13	18	27	21	13	11	9	8
gene-LOC106784157	LOC106784157	209	514	609	515	182	486	443	280	477	262
gene-LOC106784176	LOC106784176	1686	2283	2654	1926	1541	2401	2390	1431	2029	1675
gene-LOC106783885	LOC106783885	84	204	234	223	86	200	184	115	176	84
gene-LOC106783872	LOC106783872	1559	3855	3151	4130	1711	3619	3300	1740	2783	1627
gene-LOC106793616	LOC106793616	0	6	4	5	2	4	10	0	2	1
gene-LOC106784524	LOC106784524	261	482	440	332	239	450	424	264	334	421
gene-LOC106783791	LOC106783791	3275	5127	4999	4381	3716	4285	5171	2990	4212	3796
gene-LOC106783781	LOC106783781	249	299	450	394	257	262	246	411	404	336
gene-LOC106783767	LOC106783767	366	990	989	469	555	781	659	351	606	545
gene-LOC106784184	LOC106784184	72	524	429	431	211	720	646	171	176	169
gene-LOC106784207	LOC106784207	55	62	79	70	39	67	79	63	59	49
gene-LOC106784218	LOC106784218	691	1739	1866	1574	881	2058	2069	955	1418	1032
gene-LOC106783745	LOC106783745	222	334	416	387	257	425	394	250	350	224
gene-LOC106783703	LOC106783703	194	409	380	158	216	576	553	293	140	241
gene-LOC106783719	LOC106783719	50	72	69	60	61	50	77	50	65	61
gene-LOC106783712	LOC106783712	153	353	450	553	191	369	395	227	359	247
gene-LOC106783756	LOC106783756	1657	2378	4789	6543	1201	2861	2676	1692	3227	1762
gene-LOC106793732	LOC106793732	0	3	1	3	3	8	2	0	1	0
gene-LOC106793820	LOC106793820	76	219	243	162	93	210	187	118	168	125
gene-LOC106793761	LOC106793761	255	309	351	304	207	344	346	223	323	265
gene-LOC106793755	LOC106793755	320	427	363	329	313	254	277	435	395	425
gene-LOC106793827	LOC106793827	117	167	152	172	164	152	132	196	182	196
gene-LOC106793802	LOC106793802	20	219	183	102	54	265	207	107	54	53
gene-LOC106793740	LOC106793740	296	705	659	178	346	639	900	422	293	395
gene-LOC106793836	LOC106793836	98	228	7	1	81	979	63	85	0	265
gene-LOC106793842	LOC106793842	1	8	13	3	12	6	4	1	4	6
gene-LOC106793768	LOC106793768	2449	4322	4659	3944	2051	4209	4190	1523	2918	2086
gene-LOC106783863	LOC106783863	728	895	857	531	617	1080	1138	576	542	686
gene-LOC106783831	LOC106783831	340	764	1178	585	432	953	1120	421	646	454
gene-LOC106793618	LOC106793618	24	105	47	10	37	94	260	25	28	60
gene-LOC106793847	LOC106793847	4109	4932	5280	702	3934	7610	11979	322	271	2577
gene-LOC106793854	LOC106793854	914	2091	2343	1077	876	2090	1800	980	1483	1083
gene-LOC106793884	LOC106793884	729	1167	1373	726	643	1029	1035	611	1143	841
gene-LOC106793899	LOC106793899	562	1073	1356	1636	641	1141	1176	627	1449	844
gene-LOC106793929	LOC106793929	213	70	76	87	205	5	3	266	65	285
gene-LOC106793911	LOC106793911	1015	1621	1301	899	949	1827	3249	840	906	1247
gene-LOC106793938	LOC106793938	1	5	6	0	0	20	10	2	0	6
gene-LOC106793622	LOC106793622	341	693	904	334	366	905	665	266	401	420
gene-LOC106784530	LOC106784530	291	573	555	399	358	553	612	315	437	342
gene-LOC106784040	LOC106784040	258	386	443	370	263	345	283	347	320	352
gene-LOC106784048	LOC106784048	988	2015	2207	1996	1017	2274	2389	857	1752	1070
gene-LOC106793627	LOC106793627	5	17	25	11	9	12	17	14	6	13
gene-LOC106793632	LOC106793632	0	0	0	0	0	0	0	0	0	0
gene-LOC106793638	LOC106793638	0	0	0	0	0	0	0	0	0	0
gene-LOC106783967	LOC106783967	0	45	88	4	24	87	62	17	49	14
gene-LOC106783959	LOC106783959	376	956	838	584	495	1031	1007	507	667	395
gene-LOC106784007	LOC106784007	317	1435	592	544	634	1116	1441	508	458	500
gene-LOC106784022	LOC106784022	445	935	1034	992	423	931	1054	537	874	502
gene-LOC106783916	LOC106783916	3247	5203	6508	6808	2630	6651	5330	2704	5306	2986
gene-LOC106784350	LOC106784350	1659	3170	3658	2811	1861	3135	2772	1335	2667	1886
gene-LOC106784358	LOC106784358	275	848	993	867	302	851	846	331	825	397
gene-LOC106784233	LOC106784233	1475	1245	1278	1198	1978	1059	1040	1468	1343	1237
gene-LOC106784224	LOC106784224	1371	5364	5428	5242	1563	5565	7408	1927	4470	2155
gene-LOC106784380	LOC106784380	102	164	214	293	99	191	158	105	172	81
gene-LOC106784405	LOC106784405	8	5	13	14	9	4	7	14	14	13
gene-LOC106784396	LOC106784396	443	791	1045	985	466	947	1184	413	803	442
gene-LOC106784526	LOC106784526	307	622	562	464	315	526	669	236	570	267
gene-LOC106794049	LOC106794049	1253	1218	1277	1375	934	982	1295	619	965	898
gene-LOC106794043	LOC106794043	1674	3515	4059	3880	1850	3559	4084	1693	3665	2117
gene-LOC106794088	LOC106794088	420	1086	1167	764	497	1352	1447	574	741	603
gene-LOC106794074	LOC106794074	112	232	229	160	138	256	246	112	129	158
gene-LOC106783584	LOC106783584	4	2	2	1	4	3	2	0	0	10
gene-LOC106794062	LOC106794062	421	755	776	1085	379	665	721	473	785	486
gene-LOC106783598	LOC106783598	0	9	24	18	9	4	12	0	7	8
gene-LOC106793696	LOC106793696	2	16	19	21	0	22	17	2	16	2
gene-LOC106784542	LOC106784542	7	2	5	2	0	0	4	0	0	8
gene-LOC106784555	LOC106784555	0	3	11	10	3	2	3	2	4	7
gene-LOC106784546	LOC106784546	94	42	49	75	116	16	2	125	58	125
gene-LOC106784410	LOC106784410	797	1364	1516	1437	708	1202	1198	739	1224	791
gene-LOC106784422	LOC106784422	4	26	39	25	6	22	25	11	17	16
gene-LOC106784138	LOC106784138	1089	1762	2138	2581	1087	2032	2172	1114	1670	1057
gene-LOC106784146	LOC106784146	285	369	337	453	303	329	358	317	322	370
gene-LOC106784266	LOC106784266	328	1028	1090	961	338	1277	1197	463	956	552
gene-LOC106793687	LOC106793687	716	1141	1351	1781	731	1085	1294	755	1499	781
gene-LOC106784373	LOC106784373	332	507	649	625	302	457	508	414	562	373
gene-LOC106793714	LOC106793714	96	274	272	205	131	245	216	160	222	149
gene-LOC106784492	LOC106784492	144	317	287	236	187	268	293	194	209	184
gene-LOC106784488	LOC106784488	147	398	423	469	183	376	397	198	319	206
gene-LOC106784477	LOC106784477	309	538	647	592	343	516	475	415	547	418
gene-LOC106793719	LOC106793719	12	37	16	11	30	17	11	26	14	8
gene-LOC106783890	LOC106783890	605	1132	1262	1312	556	973	922	640	1078	731
gene-LOC106783905	LOC106783905	172	239	303	343	144	220	188	263	247	256
gene-LOC106783911	LOC106783911	727	1534	1768	1665	774	1656	1920	669	1307	873
gene-LOC106793727	LOC106793727	0	2	7	0	0	5	1	0	1	0
gene-LOC106794017	LOC106794017	661	801	785	1143	553	378	372	695	781	615
gene-LOC106794031	LOC106794031	92	134	174	162	94	175	138	96	147	139
gene-LOC106794039	LOC106794039	8	33	36	35	17	17	20	24	17	43
gene-LOC106794022	LOC106794022	284	671	620	224	471	874	706	452	403	573
gene-LOC106794002	LOC106794002	201	203	163	242	217	105	98	289	235	499
gene-LOC106793984	LOC106793984	12	39	28	16	21	76	48	11	16	7
gene-LOC106793945	LOC106793945	2077	3217	3418	3592	1868	3166	3370	1575	2523	1840
gene-LOC106784077	LOC106784077	491	1576	1742	860	558	1903	964	686	1071	737
gene-LOC106784100	LOC106784100	151	430	415	391	246	399	450	223	357	227
gene-LOC106784113	LOC106784113	133	52	88	25	116	159	71	73	45	205
gene-LOC106793704	LOC106793704	48	150	111	19	109	252	440	38	9	112
gene-LOC106784246	LOC106784246	277	626	1047	742	260	903	699	201	482	362
gene-LOC106784068	LOC106784068	3513	5479	7365	7684	3415	6270	8036	3069	6148	4314
gene-LOC106785032	LOC106785032	713	1261	1705	1507	473	1243	1620	433	1168	645
gene-LOC106785281	LOC106785281	130	328	321	42	196	457	325	200	270	165
gene-LOC106785297	LOC106785297	187	460	484	337	257	762	556	201	286	217
gene-LOC106784559	LOC106784559	9	31	36	36	11	62	46	24	30	14
gene-LOC106784566	LOC106784566	0	0	0	0	0	0	0	0	0	0
gene-LOC106784743	LOC106784743	0	0	0	0	0	0	0	0	0	0
gene-LOC106784568	LOC106784568	0	0	0	1	0	0	0	0	0	0
gene-LOC106784714	LOC106784714	110	18	17	16	23	2	1	1	0	6
gene-LOC106784576	LOC106784576	0	0	0	0	0	0	0	0	0	0
gene-LOC106784586	LOC106784586	0	0	0	0	0	0	0	0	0	1
gene-LOC106784592	LOC106784592	0	0	0	0	1	0	0	0	0	0
gene-LOC106784600	LOC106784600	0	0	0	0	0	0	0	0	0	0
gene-LOC106784608	LOC106784608	0	0	0	0	0	0	0	0	0	0
gene-LOC106784612	LOC106784612	0	0	0	0	0	0	0	0	0	0
gene-LOC106784619	LOC106784619	0	0	1	0	0	0	1	0	0	0
gene-LOC106784629	LOC106784629	0	0	0	0	0	0	0	0	0	0
gene-LOC106784634	LOC106784634	0	0	0	0	0	0	0	0	0	0
gene-LOC106784641	LOC106784641	0	0	0	0	0	0	0	0	0	0
gene-LOC106784646	LOC106784646	0	0	0	0	0	0	0	0	0	0
gene-LOC106784653	LOC106784653	0	0	0	0	0	0	0	0	0	0
gene-LOC106784658	LOC106784658	0	0	0	0	0	0	0	0	0	0
gene-LOC106784665	LOC106784665	2	0	0	0	2	1	2	0	1	0
gene-LOC106784754	LOC106784754	2	6	7	0	1	4	3	3	0	5
gene-LOC106785680	LOC106785680	107	103	83	60	92	52	64	76	105	164
gene-LOC106785311	LOC106785311	63	117	163	120	101	120	99	113	183	129
gene-LOC106785315	LOC106785315	214	394	596	560	223	383	448	179	404	251
gene-LOC106785320	LOC106785320	413	1014	1205	1378	420	1201	1402	438	1040	552
gene-LOC106785236	LOC106785236	40	51	154	114	48	43	55	22	42	29
gene-LOC106785218	LOC106785218	474	588	573	878	418	362	335	430	515	474
gene-LOC106785228	LOC106785228	145	375	374	309	161	424	331	195	286	216
gene-LOC106785207	LOC106785207	5060	6760	7499	6369	7518	7319	8161	4778	6101	4663
gene-LOC106784690	LOC106784690	129	296	307	350	207	282	358	176	264	209
gene-LOC106785490	LOC106785490	257	155	149	260	284	119	86	418	187	312
gene-LOC106785411	LOC106785411	483	526	536	653	382	418	328	734	559	720
gene-LOC106785633	LOC106785633	44	148	193	104	53	201	157	59	156	106
gene-LOC106784735	LOC106784735	47	110	171	223	27	139	157	82	119	71
gene-LOC106784702	LOC106784702	260	461	564	738	249	477	530	221	497	264
gene-LOC106785659	LOC106785659	1230	4870	5145	4778	1487	5684	4604	2248	4005	1922
gene-LOC106785428	LOC106785428	1142	1147	1430	1763	1027	870	928	774	1302	899
gene-LOC106785510	LOC106785510	250	267	371	218	243	261	201	246	279	310
gene-LOC106785522	LOC106785522	43	38	37	51	48	31	36	56	39	65
gene-LOC106785614	LOC106785614	435	455	485	441	318	342	421	251	281	274
gene-LOC106785422	LOC106785422	558	779	920	419	539	657	502	573	1114	593
gene-LOC106784727	LOC106784727	11	8	1	13	23	1	3	1	1	0
gene-LOC106785030	LOC106785030	1880	2672	3617	4003	1452	2541	3014	1520	4014	1738
gene-LOC106784898	LOC106784898	2428	3465	4559	4538	1919	3978	4099	1612	3380	1855
gene-LOC106784933	LOC106784933	105	126	120	154	153	164	142	153	156	165
gene-LOC106784904	LOC106784904	1219	3220	3673	3021	1241	3489	3495	1296	2835	1655
gene-LOC106784911	LOC106784911	250	620	699	700	301	787	849	318	595	428
gene-LOC106784916	LOC106784916	221	683	731	667	247	756	705	233	601	364
gene-LOC106784941	LOC106784941	396	327	381	399	381	261	235	432	366	515
gene-LOC106785577	LOC106785577	143	275	261	316	172	270	243	206	238	199
