KAF7411105.1,Vvulg1g00010
KAF7411126.1,Vvulg1g00250
KAF7411126.1,Vvulg1g00250
KAF7411126.1,Vvulg1g00250
KAF7411126.1,Vvulg1g00250
KAF7411127.1,Vvulg1g00260
KAF7411127.1,Vvulg1g00260
KAF7411127.1,Vvulg1g00260
KAF7411127.1,Vvulg1g00260
KAF7411127.1,Vvulg1g00260
KAF7411127.1,Vvulg1g00260
KAF7411127.1,Vvulg1g00260
KAF7411128.1,Vvulg1g00261
KAF7411128.1,Vvulg1g00261
KAF7411128.1,Vvulg1g00261
KAF7411128.1,Vvulg1g00261
KAF7411129.1,Vvulg1g00270
KAF7411129.1,Vvulg1g00270
KAF7411129.1,Vvulg1g00270
KAF7411129.1,Vvulg1g00270
KAF7411129.1,Vvulg1g00270
KAF7411129.1,Vvulg1g00270
KAF7411129.1,Vvulg1g00270
KAF7411129.1,Vvulg1g00270
KAF7411130.1,Vvulg1g00280
KAF7411130.1,Vvulg1g00280
KAF7411130.1,Vvulg1g00280
KAF7411131.1,Vvulg1g00281
KAF7411131.1,Vvulg1g00281
KAF7411131.1,Vvulg1g00281
KAF7411131.1,Vvulg1g00281
KAF7411131.1,Vvulg1g00281
KAF7411131.1,Vvulg1g00281
KAF7411131.1,Vvulg1g00281
KAF7411131.1,Vvulg1g00281
KAF7411132.1,Vvulg1g00291
KAF7411132.1,Vvulg1g00291
KAF7411132.1,Vvulg1g00291
KAF7411132.1,Vvulg1g00291
KAF7411132.1,Vvulg1g00291
KAF7411133.1,Vvulg1g00290
KAF7411133.1,Vvulg1g00290
KAF7411133.1,Vvulg1g00290
KAF7411133.1,Vvulg1g00290
KAF7411133.1,Vvulg1g00290
KAF7411134.1,Vvulg1g00292
KAF7411135.1,Vvulg1g00300
KAF7411136.1,Vvulg1g00310
KAF7411136.1,Vvulg1g00310
KAF7411136.1,Vvulg1g00310
KAF7411137.1,Vvulg1g00330
KAF7411137.1,Vvulg1g00330
KAF7411137.1,Vvulg1g00330
KAF7411138.1,Vvulg1g00340
KAF7411138.1,Vvulg1g00340
KAF7411139.1,Vvulg1g00360
KAF7411139.1,Vvulg1g00360
KAF7411139.1,Vvulg1g00360
KAF7411140.1,Vvulg1g00370
KAF7411140.1,Vvulg1g00370
KAF7411140.1,Vvulg1g00370
KAF7411140.1,Vvulg1g00370
KAF7411141.1,Vvulg1g00380
KAF7411141.1,Vvulg1g00380
KAF7411141.1,Vvulg1g00380
KAF7411142.1,Vvulg1g00390
KAF7411142.1,Vvulg1g00390
KAF7411142.1,Vvulg1g00390
KAF7411142.1,Vvulg1g00390
KAF7411142.1,Vvulg1g00390
KAF7411142.1,Vvulg1g00390
KAF7411142.1,Vvulg1g00390
KAF7411142.1,Vvulg1g00390
KAF7411142.1,Vvulg1g00390
KAF7411142.1,Vvulg1g00390
KAF7411142.1,Vvulg1g00390
KAF7411142.1,Vvulg1g00390
KAF7411142.1,Vvulg1g00390
KAF7411142.1,Vvulg1g00390
KAF7411143.1,Vvulg1g00400
KAF7411143.1,Vvulg1g00400
KAF7411144.1,Vvulg1g00401
KAF7411144.1,Vvulg1g00401
KAF7411145.1,Vvulg1g00410
KAF7411145.1,Vvulg1g00410
KAF7411146.1,Vvulg1g00420
KAF7411146.1,Vvulg1g00420
KAF7411146.1,Vvulg1g00420
KAF7411146.1,Vvulg1g00420
KAF7411146.1,Vvulg1g00420
KAF7411146.1,Vvulg1g00420
KAF7411147.1,Vvulg1g00421
KAF7411147.1,Vvulg1g00421
KAF7411148.1,Vvulg1g00430
KAF7411149.1,Vvulg1g00440
KAF7411150.1,Vvulg1g00450
KAF7411150.1,Vvulg1g00450
KAF7411150.1,Vvulg1g00450
KAF7411151.1,Vvulg1g00460
KAF7411151.1,Vvulg1g00460
KAF7411151.1,Vvulg1g00460
KAF7411152.1,Vvulg1g00480
KAF7411152.1,Vvulg1g00480
KAF7411152.1,Vvulg1g00480
KAF7411153.1,Vvulg1g00490
KAF7411153.1,Vvulg1g00490
KAF7411153.1,Vvulg1g00490
KAF7411153.1,Vvulg1g00490
KAF7411153.1,Vvulg1g00490
KAF7411153.1,Vvulg1g00490
KAF7411154.1,Vvulg1g00500
KAF7411154.1,Vvulg1g00500
KAF7411154.1,Vvulg1g00500
KAF7411154.1,Vvulg1g00500
KAF7411154.1,Vvulg1g00500
KAF7411154.1,Vvulg1g00500
KAF7411154.1,Vvulg1g00500
KAF7411154.1,Vvulg1g00500
KAF7411154.1,Vvulg1g00500
KAF7411154.1,Vvulg1g00500
KAF7411154.1,Vvulg1g00500
KAF7411154.1,Vvulg1g00500
KAF7411154.1,Vvulg1g00500
KAF7411154.1,Vvulg1g00500
KAF7411155.1,Vvulg1g00510
KAF7411155.1,Vvulg1g00510
KAF7411155.1,Vvulg1g00510
KAF7411155.1,Vvulg1g00510
KAF7411155.1,Vvulg1g00510
KAF7411155.1,Vvulg1g00510
KAF7411155.1,Vvulg1g00510
KAF7411155.1,Vvulg1g00510
KAF7411155.1,Vvulg1g00510
KAF7411155.1,Vvulg1g00510
KAF7411155.1,Vvulg1g00510
KAF7411155.1,Vvulg1g00510
KAF7411156.1,Vvulg1g00520
KAF7411156.1,Vvulg1g00520
KAF7411157.1,Vvulg1g00530
KAF7411157.1,Vvulg1g00530
KAF7411157.1,Vvulg1g00530
KAF7411157.1,Vvulg1g00530
KAF7411157.1,Vvulg1g00530
KAF7411157.1,Vvulg1g00530
KAF7411157.1,Vvulg1g00530
KAF7411157.1,Vvulg1g00530
KAF7411157.1,Vvulg1g00530
KAF7411157.1,Vvulg1g00530
KAF7411157.1,Vvulg1g00530
KAF7411158.1,Vvulg1g00540
KAF7411158.1,Vvulg1g00540
KAF7411158.1,Vvulg1g00540
KAF7411158.1,Vvulg1g00540
KAF7411158.1,Vvulg1g00540
KAF7411159.1,Vvulg1g00550
KAF7411159.1,Vvulg1g00550
KAF7411159.1,Vvulg1g00550
KAF7411159.1,Vvulg1g00550
KAF7411159.1,Vvulg1g00550
KAF7411159.1,Vvulg1g00550
KAF7411160.1,Vvulg1g00560
KAF7411160.1,Vvulg1g00560
KAF7411160.1,Vvulg1g00560
KAF7411160.1,Vvulg1g00560
KAF7411160.1,Vvulg1g00560
KAF7411161.1,Vvulg1g00561
KAF7411161.1,Vvulg1g00561
KAF7411161.1,Vvulg1g00561
KAF7411161.1,Vvulg1g00561
KAF7411162.1,Vvulg1g00570
KAF7411162.1,Vvulg1g00570
KAF7411162.1,Vvulg1g00570
KAF7411162.1,Vvulg1g00570
KAF7411162.1,Vvulg1g00570
KAF7411162.1,Vvulg1g00570
KAF7411162.1,Vvulg1g00570
KAF7411162.1,Vvulg1g00570
KAF7411162.1,Vvulg1g00570
KAF7411162.1,Vvulg1g00570
KAF7411163.1,Vvulg1g00580
KAF7411163.1,Vvulg1g00580
KAF7411163.1,Vvulg1g00580
KAF7411164.1,Vvulg1g00581
KAF7411165.1,Vvulg1g00590
KAF7411165.1,Vvulg1g00590
KAF7411165.1,Vvulg1g00590
KAF7411165.1,Vvulg1g00590
KAF7411165.1,Vvulg1g00590
KAF7411165.1,Vvulg1g00590
KAF7411165.1,Vvulg1g00590
KAF7411165.1,Vvulg1g00590
KAF7411166.1,Vvulg1g00600
KAF7411166.1,Vvulg1g00600
KAF7411166.1,Vvulg1g00600
KAF7411166.1,Vvulg1g00600
KAF7411166.1,Vvulg1g00600
KAF7411166.1,Vvulg1g00600
KAF7411166.1,Vvulg1g00600
KAF7411166.1,Vvulg1g00600
KAF7411166.1,Vvulg1g00600
KAF7411166.1,Vvulg1g00600
KAF7411167.1,Vvulg1g00620
KAF7411167.1,Vvulg1g00620
KAF7411167.1,Vvulg1g00620
KAF7411167.1,Vvulg1g00620
KAF7411167.1,Vvulg1g00620
KAF7411167.1,Vvulg1g00620
KAF7411167.1,Vvulg1g00620
KAF7411167.1,Vvulg1g00620
KAF7411168.1,Vvulg1g00621
KAF7411169.1,Vvulg1g00630
KAF7411169.1,Vvulg1g00630
KAF7411169.1,Vvulg1g00630
KAF7411169.1,Vvulg1g00630
KAF7411169.1,Vvulg1g00630
KAF7411170.1,Vvulg1g00640
KAF7411170.1,Vvulg1g00640
KAF7411170.1,Vvulg1g00640
KAF7411170.1,Vvulg1g00640
KAF7411170.1,Vvulg1g00640
KAF7411170.1,Vvulg1g00640
KAF7411170.1,Vvulg1g00640
KAF7411170.1,Vvulg1g00640
KAF7411171.1,Vvulg1g00650
KAF7411171.1,Vvulg1g00650
KAF7411171.1,Vvulg1g00650
KAF7411172.1,Vvulg1g00660
KAF7411172.1,Vvulg1g00660
KAF7411172.1,Vvulg1g00660
KAF7411173.1,Vvulg1g00670
KAF7411173.1,Vvulg1g00670
KAF7411173.1,Vvulg1g00670
KAF7411174.1,Vvulg1g00690
KAF7411174.1,Vvulg1g00690
KAF7411174.1,Vvulg1g00690
KAF7411174.1,Vvulg1g00690
KAF7411174.1,Vvulg1g00690
KAF7411175.1,Vvulg1g00700
KAF7411175.1,Vvulg1g00700
KAF7411175.1,Vvulg1g00700
KAF7411175.1,Vvulg1g00700
KAF7411175.1,Vvulg1g00700
KAF7411176.1,Vvulg1g00711
KAF7411176.1,Vvulg1g00711
KAF7411176.1,Vvulg1g00711
KAF7411176.1,Vvulg1g00711
KAF7411176.1,Vvulg1g00711
KAF7411176.1,Vvulg1g00711
KAF7411176.1,Vvulg1g00711
KAF7411176.1,Vvulg1g00711
KAF7411176.1,Vvulg1g00711
KAF7411177.1,Vvulg1g00720
KAF7411177.1,Vvulg1g00720
KAF7411177.1,Vvulg1g00720
KAF7411178.1,Vvulg1g00740
KAF7411178.1,Vvulg1g00740
KAF7411179.1,Vvulg1g00750
KAF7411179.1,Vvulg1g00750
KAF7411179.1,Vvulg1g00750
KAF7411180.1,Vvulg1g00760
KAF7411180.1,Vvulg1g00760
KAF7411180.1,Vvulg1g00760
KAF7411181.1,Vvulg1g00770
KAF7411181.1,Vvulg1g00770
KAF7411181.1,Vvulg1g00770
KAF7411182.1,Vvulg1g00780
KAF7411182.1,Vvulg1g00780
KAF7411182.1,Vvulg1g00780
KAF7411182.1,Vvulg1g00780
KAF7411183.1,Vvulg1g00790
KAF7411183.1,Vvulg1g00790
KAF7411183.1,Vvulg1g00790
KAF7411184.1,Vvulg1g00800
KAF7411184.1,Vvulg1g00800
KAF7411185.1,Vvulg1g00811
KAF7411185.1,Vvulg1g00811
KAF7411186.1,Vvulg1g00821
KAF7411186.1,Vvulg1g00821
KAF7411186.1,Vvulg1g00821
KAF7411186.1,Vvulg1g00821
KAF7411186.1,Vvulg1g00821
KAF7411186.1,Vvulg1g00821
KAF7411186.1,Vvulg1g00821
KAF7411187.1,Vvulg1g00831
KAF7411187.1,Vvulg1g00831
KAF7411187.1,Vvulg1g00831
KAF7411187.1,Vvulg1g00831
KAF7411187.1,Vvulg1g00831
KAF7411187.1,Vvulg1g00831
KAF7411187.1,Vvulg1g00831
KAF7411187.1,Vvulg1g00831
KAF7411188.1,Vvulg1g00820
KAF7411188.1,Vvulg1g00820
KAF7411188.1,Vvulg1g00820
KAF7411188.1,Vvulg1g00820
KAF7411188.1,Vvulg1g00820
KAF7411189.1,Vvulg1g00840
KAF7411189.1,Vvulg1g00840
KAF7411189.1,Vvulg1g00840
KAF7411189.1,Vvulg1g00840
KAF7411189.1,Vvulg1g00840
KAF7411189.1,Vvulg1g00840
KAF7411189.1,Vvulg1g00840
KAF7411189.1,Vvulg1g00840
KAF7411189.1,Vvulg1g00840
KAF7411189.1,Vvulg1g00840
KAF7411189.1,Vvulg1g00840
KAF7411189.1,Vvulg1g00840
KAF7411189.1,Vvulg1g00840
KAF7411189.1,Vvulg1g00840
KAF7411189.1,Vvulg1g00840
KAF7411189.1,Vvulg1g00840
KAF7411189.1,Vvulg1g00840
KAF7411189.1,Vvulg1g00840
KAF7411189.1,Vvulg1g00840
KAF7411189.1,Vvulg1g00840
KAF7411189.1,Vvulg1g00840
KAF7411190.1,Vvulg1g00850
KAF7411190.1,Vvulg1g00850
KAF7411190.1,Vvulg1g00850
KAF7411190.1,Vvulg1g00850
KAF7411190.1,Vvulg1g00850
KAF7411190.1,Vvulg1g00850
KAF7411190.1,Vvulg1g00850
KAF7411190.1,Vvulg1g00850
KAF7411191.1,Vvulg1g00860
KAF7411191.1,Vvulg1g00860
KAF7411191.1,Vvulg1g00860
KAF7411191.1,Vvulg1g00860
KAF7411191.1,Vvulg1g00860
KAF7411192.1,Vvulg1g00870
KAF7411192.1,Vvulg1g00870
KAF7411192.1,Vvulg1g00870
KAF7411192.1,Vvulg1g00870
KAF7411193.1,Vvulg1g00890
KAF7411193.1,Vvulg1g00890
KAF7411193.1,Vvulg1g00890
KAF7411193.1,Vvulg1g00890
KAF7411193.1,Vvulg1g00890
KAF7411193.1,Vvulg1g00890
KAF7411194.1,Vvulg1g00900
KAF7411194.1,Vvulg1g00900
KAF7411194.1,Vvulg1g00900
KAF7411194.1,Vvulg1g00900
KAF7411194.1,Vvulg1g00900
KAF7411194.1,Vvulg1g00900
KAF7411195.1,Vvulg1g00910
KAF7411195.1,Vvulg1g00910
KAF7411195.1,Vvulg1g00910
KAF7411195.1,Vvulg1g00910
KAF7411195.1,Vvulg1g00910
KAF7411195.1,Vvulg1g00910
KAF7411195.1,Vvulg1g00910
KAF7411195.1,Vvulg1g00910
KAF7411195.1,Vvulg1g00910
KAF7411195.1,Vvulg1g00910
KAF7411195.1,Vvulg1g00910
KAF7411195.1,Vvulg1g00910
KAF7411195.1,Vvulg1g00910
KAF7411196.1,Vvulg1g00920
KAF7411196.1,Vvulg1g00920
KAF7411196.1,Vvulg1g00920
KAF7411196.1,Vvulg1g00920
KAF7411196.1,Vvulg1g00920
KAF7411196.1,Vvulg1g00920
KAF7411196.1,Vvulg1g00920
KAF7411196.1,Vvulg1g00920
KAF7411196.1,Vvulg1g00920
KAF7411196.1,Vvulg1g00920
KAF7411196.1,Vvulg1g00920
KAF7411196.1,Vvulg1g00920
KAF7411196.1,Vvulg1g00920
KAF7411196.1,Vvulg1g00920
KAF7411196.1,Vvulg1g00920
KAF7411196.1,Vvulg1g00920
KAF7411196.1,Vvulg1g00920
KAF7411197.1,Vvulg1g00930
KAF7411197.1,Vvulg1g00930
KAF7411197.1,Vvulg1g00930
KAF7411197.1,Vvulg1g00930
KAF7411197.1,Vvulg1g00930
KAF7411197.1,Vvulg1g00930
KAF7411197.1,Vvulg1g00930
KAF7411197.1,Vvulg1g00930
KAF7411197.1,Vvulg1g00930
KAF7411198.1,Vvulg1g00940
KAF7411198.1,Vvulg1g00940
KAF7411198.1,Vvulg1g00940
KAF7411198.1,Vvulg1g00940
KAF7411198.1,Vvulg1g00940
KAF7411198.1,Vvulg1g00940
KAF7411198.1,Vvulg1g00940
KAF7411199.1,Vvulg1g00941
KAF7411199.1,Vvulg1g00941
KAF7411200.1,Vvulg1g00950
KAF7411200.1,Vvulg1g00950
KAF7411201.1,Vvulg1g00970
KAF7411201.1,Vvulg1g00970
KAF7411201.1,Vvulg1g00970
KAF7411201.1,Vvulg1g00970
KAF7411201.1,Vvulg1g00970
KAF7411201.1,Vvulg1g00970
KAF7411201.1,Vvulg1g00970
KAF7411201.1,Vvulg1g00970
KAF7411201.1,Vvulg1g00970
KAF7411201.1,Vvulg1g00970
KAF7411201.1,Vvulg1g00970
KAF7411201.1,Vvulg1g00970
KAF7411202.1,Vvulg1g00980
KAF7411202.1,Vvulg1g00980
KAF7411202.1,Vvulg1g00980
KAF7411202.1,Vvulg1g00980
KAF7411202.1,Vvulg1g00980
KAF7411202.1,Vvulg1g00980
KAF7411202.1,Vvulg1g00980
KAF7411202.1,Vvulg1g00980
KAF7411202.1,Vvulg1g00980
KAF7411202.1,Vvulg1g00980
KAF7411202.1,Vvulg1g00980
KAF7411202.1,Vvulg1g00980
KAF7411203.1,Vvulg1g00990
KAF7411203.1,Vvulg1g00990
KAF7411203.1,Vvulg1g00990
KAF7411203.1,Vvulg1g00990
KAF7411204.1,Vvulg1g01001
KAF7411204.1,Vvulg1g01001
KAF7411204.1,Vvulg1g01001
KAF7411205.1,Vvulg1g01010
KAF7411205.1,Vvulg1g01010
KAF7411205.1,Vvulg1g01010
KAF7411206.1,Vvulg1g01051
KAF7411206.1,Vvulg1g01051
KAF7411206.1,Vvulg1g01051
KAF7411207.1,Vvulg1g01050
KAF7411207.1,Vvulg1g01050
KAF7411207.1,Vvulg1g01050
KAF7411207.1,Vvulg1g01050
KAF7411207.1,Vvulg1g01050
KAF7411207.1,Vvulg1g01050
KAF7411207.1,Vvulg1g01050
KAF7411207.1,Vvulg1g01050
KAF7411207.1,Vvulg1g01050
KAF7411207.1,Vvulg1g01050
KAF7411207.1,Vvulg1g01050
KAF7411207.1,Vvulg1g01050
KAF7411207.1,Vvulg1g01050
KAF7411208.1,Vvulg1g01060
KAF7411208.1,Vvulg1g01060
KAF7411209.1,Vvulg1g01070
KAF7411209.1,Vvulg1g01070
KAF7411209.1,Vvulg1g01070
KAF7411209.1,Vvulg1g01070
KAF7411209.1,Vvulg1g01070
KAF7411209.1,Vvulg1g01070
KAF7411210.1,Vvulg1g01080
KAF7411210.1,Vvulg1g01080
KAF7411210.1,Vvulg1g01080
KAF7411210.1,Vvulg1g01080
KAF7411210.1,Vvulg1g01080
KAF7411210.1,Vvulg1g01080
KAF7411211.1,Vvulg1g01090
KAF7411211.1,Vvulg1g01090
KAF7411211.1,Vvulg1g01090
KAF7411211.1,Vvulg1g01090
KAF7411211.1,Vvulg1g01090
KAF7411211.1,Vvulg1g01090
KAF7411211.1,Vvulg1g01090
KAF7411211.1,Vvulg1g01090
KAF7411211.1,Vvulg1g01090
KAF7411211.1,Vvulg1g01090
KAF7411211.1,Vvulg1g01090
KAF7411211.1,Vvulg1g01090
KAF7411211.1,Vvulg1g01090
KAF7411211.1,Vvulg1g01090
KAF7411212.1,Vvulg1g01100
KAF7411212.1,Vvulg1g01100
KAF7411212.1,Vvulg1g01100
KAF7411212.1,Vvulg1g01100
KAF7411212.1,Vvulg1g01100
KAF7411213.1,Vvulg1g01121
KAF7411213.1,Vvulg1g01121
KAF7411214.1,Vvulg1g01131
KAF7411214.1,Vvulg1g01131
KAF7411215.1,Vvulg1g01120
KAF7411215.1,Vvulg1g01120
KAF7411215.1,Vvulg1g01120
KAF7411216.1,Vvulg1g01122
KAF7411217.1,Vvulg1g01130
KAF7411217.1,Vvulg1g01130
KAF7411217.1,Vvulg1g01130
KAF7411218.1,Vvulg1g01132
KAF7411219.1,Vvulg1g01142
KAF7411219.1,Vvulg1g01142
KAF7411220.1,Vvulg1g01140
KAF7411220.1,Vvulg1g01140
KAF7411220.1,Vvulg1g01140
KAF7411220.1,Vvulg1g01140
KAF7411221.1,Vvulg1g01150
KAF7411221.1,Vvulg1g01150
KAF7411221.1,Vvulg1g01150
KAF7411221.1,Vvulg1g01150
KAF7411222.1,Vvulg1g01160
KAF7411222.1,Vvulg1g01160
KAF7411222.1,Vvulg1g01160
KAF7411223.1,Vvulg1g01170
KAF7411223.1,Vvulg1g01170
KAF7411223.1,Vvulg1g01170
KAF7411223.1,Vvulg1g01170
KAF7411224.1,Vvulg1g01180
KAF7411224.1,Vvulg1g01180
KAF7411225.1,Vvulg1g01190
KAF7411225.1,Vvulg1g01190
KAF7411226.1,Vvulg1g01200
KAF7411226.1,Vvulg1g01200
KAF7411226.1,Vvulg1g01200
KAF7411226.1,Vvulg1g01200
KAF7411226.1,Vvulg1g01200
KAF7411227.1,Vvulg1g01210
KAF7411227.1,Vvulg1g01210
KAF7411227.1,Vvulg1g01210
KAF7411227.1,Vvulg1g01210
KAF7411228.1,Vvulg1g01230
KAF7411228.1,Vvulg1g01230
KAF7411228.1,Vvulg1g01230
KAF7411228.1,Vvulg1g01230
KAF7411228.1,Vvulg1g01230
KAF7411229.1,Vvulg1g01251
KAF7411229.1,Vvulg1g01251
KAF7411230.1,Vvulg1g01260
KAF7411230.1,Vvulg1g01260
KAF7411231.1,Vvulg1g01270
KAF7411231.1,Vvulg1g01270
KAF7411231.1,Vvulg1g01270
KAF7411232.1,Vvulg1g01280
KAF7411232.1,Vvulg1g01280
KAF7411232.1,Vvulg1g01280
KAF7411233.1,Vvulg1g01290
KAF7411233.1,Vvulg1g01290
KAF7411233.1,Vvulg1g01290
KAF7411234.1,Vvulg1g01310
KAF7411234.1,Vvulg1g01310
KAF7411235.1,Vvulg1g01320
KAF7411235.1,Vvulg1g01320
KAF7411235.1,Vvulg1g01320
KAF7411236.1,Vvulg1g01330
KAF7411236.1,Vvulg1g01330
KAF7411236.1,Vvulg1g01330
KAF7411236.1,Vvulg1g01330
KAF7411237.1,Vvulg1g01340
KAF7411237.1,Vvulg1g01340
KAF7411237.1,Vvulg1g01340
KAF7411237.1,Vvulg1g01340
KAF7411237.1,Vvulg1g01340
KAF7411237.1,Vvulg1g01340
KAF7411237.1,Vvulg1g01340
KAF7411237.1,Vvulg1g01340
KAF7411237.1,Vvulg1g01340
KAF7411238.1,Vvulg1g01350
KAF7411238.1,Vvulg1g01350
KAF7411239.1,Vvulg1g01351
KAF7411239.1,Vvulg1g01351
KAF7411239.1,Vvulg1g01351
KAF7411239.1,Vvulg1g01351
KAF7411239.1,Vvulg1g01351
KAF7411240.1,Vvulg1g01360
KAF7411240.1,Vvulg1g01360
KAF7411241.1,Vvulg1g01370
KAF7411241.1,Vvulg1g01370
KAF7411241.1,Vvulg1g01370
KAF7411241.1,Vvulg1g01370
KAF7411241.1,Vvulg1g01370
KAF7411241.1,Vvulg1g01370
KAF7411241.1,Vvulg1g01370
KAF7411241.1,Vvulg1g01370
KAF7411242.1,Vvulg1g01380
KAF7411242.1,Vvulg1g01380
KAF7411242.1,Vvulg1g01380
KAF7411242.1,Vvulg1g01380
KAF7411243.1,Vvulg1g01390
KAF7411243.1,Vvulg1g01390
KAF7411243.1,Vvulg1g01390
KAF7411243.1,Vvulg1g01390
KAF7411244.1,Vvulg1g01400
KAF7411244.1,Vvulg1g01400
KAF7411244.1,Vvulg1g01400
KAF7411245.1,Vvulg1g01410
KAF7411245.1,Vvulg1g01410
KAF7411245.1,Vvulg1g01410
KAF7411245.1,Vvulg1g01410
KAF7411245.1,Vvulg1g01410
KAF7411245.1,Vvulg1g01410
KAF7411245.1,Vvulg1g01410
KAF7411246.1,Vvulg1g01420
KAF7411246.1,Vvulg1g01420
KAF7411246.1,Vvulg1g01420
KAF7411246.1,Vvulg1g01420
KAF7411247.1,Vvulg1g01440
KAF7411247.1,Vvulg1g01440
KAF7411247.1,Vvulg1g01440
KAF7411247.1,Vvulg1g01440
KAF7411247.1,Vvulg1g01440
KAF7411247.1,Vvulg1g01440
KAF7411247.1,Vvulg1g01440
KAF7411247.1,Vvulg1g01440
KAF7411247.1,Vvulg1g01440
KAF7411247.1,Vvulg1g01440
KAF7411247.1,Vvulg1g01440
KAF7411247.1,Vvulg1g01440
KAF7411247.1,Vvulg1g01440
KAF7411247.1,Vvulg1g01440
KAF7411248.1,Vvulg1g01450
KAF7411248.1,Vvulg1g01450
KAF7411248.1,Vvulg1g01450
KAF7411248.1,Vvulg1g01450
KAF7411248.1,Vvulg1g01450
KAF7411249.1,Vvulg1g01460
KAF7411249.1,Vvulg1g01460
KAF7411249.1,Vvulg1g01460
KAF7411249.1,Vvulg1g01460
KAF7411249.1,Vvulg1g01460
KAF7411249.1,Vvulg1g01460
KAF7411249.1,Vvulg1g01460
KAF7411249.1,Vvulg1g01460
KAF7411250.1,Vvulg1g01470
KAF7411251.1,Vvulg1g01480
KAF7411252.1,Vvulg1g01490
KAF7411253.1,Vvulg1g01500
KAF7411253.1,Vvulg1g01500
KAF7411254.1,Vvulg1g01510
KAF7411255.1,Vvulg1g01520
KAF7411256.1,Vvulg1g01530
KAF7411257.1,Vvulg1g01531
KAF7411258.1,Vvulg1g01541
KAF7411259.1,Vvulg1g01540
