"Liostenogaster_flavolineata","Polistes_dominula"
"Lflavo2a000148","gene1844"
"Lflavo2a000149","gene9327"
"Lflavo2a000150","gene1802"
"Lflavo2a000151","gene9330"
"Lflavo2a000156","gene6891"
"Lflavo2a000157","gene10523"
"Lflavo2a000158","gene6892"
"Lflavo2a000159","gene6894"
"Lflavo2a000160","gene9128"
"Lflavo2a000163","gene6893"
"Lflavo2a000164","gene6855"
"Lflavo2a000165","gene6856"
"Lflavo2a000167","gene6895"
"Lflavo2a000168","gene6896"
"Lflavo2a000169","gene10520"
"Lflavo2a000170","gene10519"
"Lflavo2a000172","gene6854"
"Lflavo2a000173","gene10521"
"Lflavo2a000191","gene2179"
"Lflavo2a000192","gene6457"
"Lflavo2a000193","gene2178"
"Lflavo2a000194","gene2182"
"Lflavo2a000196","gene2177"
"Lflavo2a000197","gene2181"
"Lflavo2a000198","gene6455"
"Lflavo2a000199","gene6229"
"Lflavo2a000200","gene6232"
"Lflavo2a000201","gene6227"
"Lflavo2a000204","gene3731"
"Lflavo2a000205","gene6228"
"Lflavo2a000206","gene6233"
"Lflavo2a000207","gene2180"
"Lflavo2a000208","gene6231"
"Lflavo2a000209","gene6456"
"Lflavo2a000211","gene2183"
"Lflavo2a000212","gene2184"
"Lflavo2a000213","gene10896"
"Lflavo2a000214","gene6495"
"Lflavo2a000215","gene5773"
"Lflavo2a000216","gene2936"
"Lflavo2a000217","gene6497"
"Lflavo2a000219","gene9369"
"Lflavo2a000220","gene9865"
"Lflavo2a000221","gene9901"
"Lflavo2a000223","gene3565"
"Lflavo2a000224","gene5689"
"Lflavo2a000225","gene6496"
"Lflavo2a000226","gene9363"
"Lflavo2a000227","gene9863"
"Lflavo2a000229","gene3761"
"Lflavo2a000230","gene2939"
"Lflavo2a000232","gene2403"
"Lflavo2a000233","gene3394"
"Lflavo2a000234","gene6492"
"Lflavo2a000236","gene3392"
"Lflavo2a000237","gene2402"
"Lflavo2a000238","gene3397"
"Lflavo2a000239","gene9902"
"Lflavo2a000240","gene3757"
"Lflavo2a000243","gene2713"
"Lflavo2a000244","gene3759"
"Lflavo2a000245","gene2715"
"Lflavo2a000246","gene2405"
"Lflavo2a000248","gene5686"
"Lflavo2a000249","gene2796"
"Lflavo2a000251","gene5684"
"Lflavo2a000252","gene3393"
"Lflavo2a000253","gene10927"
"Lflavo2a000256","gene6499"
"Lflavo2a000258","gene10375"
"Lflavo2a000260","gene148"
"Lflavo2a000261","gene2712"
"Lflavo2a000263","gene2404"
"Lflavo2a000266","gene2127"
"Lflavo2a000267","gene2711"
"Lflavo2a000269","gene9900"
"Lflavo2a000270","gene9899"
"Lflavo2a000271","gene9362"
"Lflavo2a000272","gene147"
"Lflavo2a000273","gene2937"
"Lflavo2a000275","gene8333"
"Lflavo2a000276","gene10378"
"Lflavo2a000277","gene6498"
"Lflavo2a000278","gene4514"
"Lflavo2a000279","gene10379"
"Lflavo2a000280","gene10371"
"Lflavo2a000281","gene151"
"Lflavo2a000283","gene5685"
"Lflavo2a000285","gene9904"
"Lflavo2a000286","gene9864"
"Lflavo2a000287","gene11080"
"Lflavo2a000288","gene2655"
"Lflavo2a000289","gene150"
"Lflavo2a000293","gene5332"
"Lflavo2a000294","gene9368"
"Lflavo2a000295","gene9367"
"Lflavo2a000296","gene149"
"Lflavo2a000297","gene4513"
"Lflavo2a000298","gene5690"
"Lflavo2a000299","gene2125"
"Lflavo2a000302","gene6500"
"Lflavo2a000304","gene2128"
"Lflavo2a000305","gene6179"
"Lflavo2a000307","gene2401"
"Lflavo2a000308","gene2406"
"Lflavo2a000309","gene9544"
"Lflavo2a000310","gene8334"
"Lflavo2a000311","gene152"
"Lflavo2a000312","gene10374"
"Lflavo2a000314","gene9905"
"Lflavo2a000315","gene2794"
"Lflavo2a000317","gene10373"
"Lflavo2a000318","gene2656"
"Lflavo2a000320","gene5688"
"Lflavo2a000323","gene10376"
"Lflavo2a000324","gene153"
"Lflavo2a000325","gene2938"
"Lflavo2a000326","gene5750"
"Lflavo2a000329","gene4369"
"Lflavo2a000331","gene1450"
"Lflavo2a000332","gene7064"
"Lflavo2a000333","gene2985"
"Lflavo2a000334","gene9805"
"Lflavo2a000336","gene1717"
"Lflavo2a000337","gene9135"
"Lflavo2a000339","gene8272"
"Lflavo2a000341","gene9194"
"Lflavo2a000343","gene10539"
"Lflavo2a000344","gene6556"
"Lflavo2a000347","gene9802"
"Lflavo2a000349","gene3992"
"Lflavo2a000351","gene8777"
"Lflavo2a000352","gene9791"
"Lflavo2a000353","gene2974"
"Lflavo2a000354","gene2980"
"Lflavo2a000355","gene6516"
"Lflavo2a000356","gene8775"
"Lflavo2a000359","gene6519"
"Lflavo2a000360","gene1451"
"Lflavo2a000361","gene10052"
"Lflavo2a000362","gene2979"
"Lflavo2a000364","gene2388"
"Lflavo2a000366","gene3988"
"Lflavo2a000367","gene2975"
"Lflavo2a000368","gene1470"
"Lflavo2a000369","gene4370"
"Lflavo2a000370","gene9195"
"Lflavo2a000371","gene10053"
"Lflavo2a000372","gene6236"
"Lflavo2a000373","gene2387"
"Lflavo2a000374","gene2978"
"Lflavo2a000375","gene7067"
"Lflavo2a000378","gene4496"
"Lflavo2a000379","gene4371"
"Lflavo2a000381","gene2976"
"Lflavo2a000383","gene3989"
"Lflavo2a000384","gene6520"
"Lflavo2a000386","gene6726"
"Lflavo2a000387","gene2352"
"Lflavo2a000389","gene9196"
"Lflavo2a000390","gene8449"
"Lflavo2a000391","gene9198"
"Lflavo2a000395","gene7139"
"Lflavo2a000396","gene2977"
"Lflavo2a000398","gene2982"
"Lflavo2a000399","gene10541"
"Lflavo2a000400","gene9803"
"Lflavo2a000401","gene2981"
"Lflavo2a000402","gene8781"
"Lflavo2a000403","gene8444"
"Lflavo2a000405","gene2983"
"Lflavo2a000406","gene2386"
"Lflavo2a000408","gene2984"
"Lflavo2a000409","gene3283"
"Lflavo2a000412","gene8447"
"Lflavo2a000414","gene3991"
"Lflavo2a000415","gene8443"
"Lflavo2a000416","gene7066"
"Lflavo2a000417","gene7065"
"Lflavo2a000418","gene9193"
"Lflavo2a000423","gene6517"
"Lflavo2a000424","gene9197"
"Lflavo2a000425","gene5540"
"Lflavo2a000426","gene7073"
"Lflavo2a000427","gene8778"
"Lflavo2a000428","gene6518"
"Lflavo2a000429","gene8448"
"Lflavo2a000433","gene7070"
"Lflavo2a000434","gene6557"
"Lflavo2a000435","gene8445"
"Lflavo2a000436","gene8780"
"Lflavo2a000439","gene10540"
"Lflavo2a000440","gene5541"
"Lflavo2a000441","gene7068"
"Lflavo2a000442","gene8774"
"Lflavo2a000443","gene2353"
"Lflavo2a000444","gene4206"
"Lflavo2a000446","gene1452"
"Lflavo2a000447","gene674"
"Lflavo2a000448","gene4368"
"Lflavo2a000452","gene3990"
"Lflavo2a000453","gene10942"
"Lflavo2a000455","gene10946"
"Lflavo2a000458","gene10657"
"Lflavo2a000459","gene10943"
"Lflavo2a000460","gene10944"
"Lflavo2a000461","gene10658"
"Lflavo2a000462","gene156"
"Lflavo2a000465","gene154"
"Lflavo2a000468","gene157"
"Lflavo2a000469","gene155"
"Lflavo2a000475","gene230"
"Lflavo2a000476","gene3970"
"Lflavo2a000477","gene10346"
"Lflavo2a000478","gene3630"
"Lflavo2a000479","gene1603"
"Lflavo2a000480","gene2263"
"Lflavo2a000481","gene1642"
"Lflavo2a000483","gene9521"
"Lflavo2a000484","gene1279"
"Lflavo2a000488","gene6690"
"Lflavo2a000489","gene267"
"Lflavo2a000491","gene9598"
"Lflavo2a000495","gene5575"
"Lflavo2a000496","gene5438"
"Lflavo2a000497","gene5481"
"Lflavo2a000498","gene7559"
"Lflavo2a000499","gene5435"
"Lflavo2a000500","gene9520"
"Lflavo2a000502","gene3629"
"Lflavo2a000503","gene7560"
"Lflavo2a000504","gene1605"
"Lflavo2a000505","gene5841"
"Lflavo2a000506","gene266"
"Lflavo2a000508","gene7880"
"Lflavo2a000511","gene6687"
"Lflavo2a000512","gene1283"
"Lflavo2a000513","gene6339"
"Lflavo2a000515","gene3548"
"Lflavo2a000518","gene229"
"Lflavo2a000520","gene227"
"Lflavo2a000522","gene1285"
"Lflavo2a000524","gene10836"
"Lflavo2a000525","gene10349"
"Lflavo2a000526","gene265"
"Lflavo2a000528","gene1282"
"Lflavo2a000530","gene1280"
"Lflavo2a000531","gene1277"
"Lflavo2a000532","gene2261"
"Lflavo2a000533","gene269"
"Lflavo2a000536","gene231"
"Lflavo2a000537","gene4742"
"Lflavo2a000540","gene3435"
"Lflavo2a000541","gene5433"
"Lflavo2a000542","gene3546"
"Lflavo2a000543","gene5437"
"Lflavo2a000544","gene9344"
"Lflavo2a000545","gene1643"
"Lflavo2a000546","gene5576"
"Lflavo2a000548","gene52"
"Lflavo2a000549","gene8031"
"Lflavo2a000551","gene9844"
"Lflavo2a000553","gene232"
"Lflavo2a000554","gene2262"
"Lflavo2a000555","gene3628"
"Lflavo2a000556","gene1278"
"Lflavo2a000560","gene2260"
"Lflavo2a000561","gene10985"
"Lflavo2a000562","gene8032"
"Lflavo2a000563","gene3547"
"Lflavo2a000566","gene3549"
"Lflavo2a000567","gene6691"
"Lflavo2a000568","gene5577"
"Lflavo2a000569","gene6689"
"Lflavo2a000570","gene273"
"Lflavo2a000571","gene5439"
"Lflavo2a000572","gene10348"
"Lflavo2a000573","gene2264"
"Lflavo2a000576","gene1601"
"Lflavo2a000578","gene9343"
"Lflavo2a000579","gene9599"
"Lflavo2a000581","gene10347"
"Lflavo2a000582","gene6915"
"Lflavo2a000583","gene9845"
"Lflavo2a000586","gene1604"
"Lflavo2a000587","gene6322"
"Lflavo2a000588","gene9842"
"Lflavo2a000590","gene53"
"Lflavo2a000591","gene11027"
"Lflavo2a000592","gene5436"
"Lflavo2a000594","gene5440"
"Lflavo2a000595","gene225"
"Lflavo2a000597","gene3631"
"Lflavo2a000598","gene272"
"Lflavo2a000603","gene1286"
"Lflavo2a000604","gene4537"
"Lflavo2a000605","gene4741"
"Lflavo2a000606","gene9291"
"Lflavo2a000607","gene270"
"Lflavo2a000608","gene228"
"Lflavo2a000609","gene1281"
"Lflavo2a000610","gene10547"
"Lflavo2a000611","gene9158"
"Lflavo2a000612","gene2725"
"Lflavo2a000614","gene2788"
"Lflavo2a000615","gene2721"
"Lflavo2a000616","gene9159"
"Lflavo2a000618","gene6671"
"Lflavo2a000619","gene5042"
"Lflavo2a000620","gene7860"
"Lflavo2a000621","gene4694"
"Lflavo2a000622","gene4788"
"Lflavo2a000623","gene5852"
"Lflavo2a000625","gene1847"
"Lflavo2a000626","gene5048"
"Lflavo2a000627","gene8880"
"Lflavo2a000628","gene5850"
"Lflavo2a000633","gene2722"
"Lflavo2a000634","gene5050"
"Lflavo2a000638","gene5040"
"Lflavo2a000639","gene10543"
"Lflavo2a000640","gene5053"
"Lflavo2a000641","gene10545"
"Lflavo2a000642","gene4559"
"Lflavo2a000645","gene1848"
"Lflavo2a000646","gene3692"
"Lflavo2a000648","gene3530"
"Lflavo2a000650","gene6344"
"Lflavo2a000652","gene8881"
"Lflavo2a000655","gene5047"
"Lflavo2a000656","gene4689"
"Lflavo2a000658","gene7859"
"Lflavo2a000659","gene3532"
"Lflavo2a000660","gene7856"
"Lflavo2a000661","gene3693"
"Lflavo2a000663","gene3531"
"Lflavo2a000664","gene6345"
"Lflavo2a000665","gene4789"
"Lflavo2a000666","gene4781"
"Lflavo2a000669","gene5043"
"Lflavo2a000670","gene9743"
"Lflavo2a000671","gene10546"
"Lflavo2a000673","gene9160"
"Lflavo2a000675","gene7151"
"Lflavo2a000677","gene4691"
"Lflavo2a000678","gene4688"
"Lflavo2a000679","gene5849"
"Lflavo2a000681","gene6670"
"Lflavo2a000682","gene2724"
"Lflavo2a000683","gene2786"
"Lflavo2a000684","gene3533"
"Lflavo2a000692","gene5046"
"Lflavo2a000693","gene6275"
"Lflavo2a000696","gene4690"
"Lflavo2a000697","gene10542"
"Lflavo2a000701","gene4787"
"Lflavo2a000703","gene3462"
"Lflavo2a000704","gene5848"
"Lflavo2a000705","gene5041"
"Lflavo2a000707","gene8276"
"Lflavo2a000708","gene5045"
"Lflavo2a000710","gene7861"
"Lflavo2a000713","gene9247"
"Lflavo2a000715","gene2787"
"Lflavo2a000719","gene4782"
"Lflavo2a000721","gene6273"
"Lflavo2a000722","gene9156"
"Lflavo2a000723","gene4785"
"Lflavo2a000725","gene6274"
"Lflavo2a000726","gene5049"
"Lflavo2a000734","gene679"
"Lflavo2a000735","gene10645"
"Lflavo2a000736","gene3231"
"Lflavo2a000738","gene3232"
"Lflavo2a000739","gene3233"
"Lflavo2a000740","gene3230"
"Lflavo2a000743","gene3160"
"Lflavo2a000744","gene7624"
"Lflavo2a000745","gene5672"
"Lflavo2a000747","gene5670"
"Lflavo2a000749","gene7631"
"Lflavo2a000750","gene10643"
"Lflavo2a000752","gene7045"
"Lflavo2a000753","gene4703"
"Lflavo2a000754","gene3301"
"Lflavo2a000755","gene10607"
"Lflavo2a000756","gene4701"
"Lflavo2a000760","gene3303"
"Lflavo2a000761","gene7040"
"Lflavo2a000763","gene3767"
"Lflavo2a000765","gene4702"
"Lflavo2a000766","gene5864"
"Lflavo2a000767","gene7109"
"Lflavo2a000768","gene7396"
"Lflavo2a000769","gene611"
"Lflavo2a000770","gene3300"
"Lflavo2a000771","gene6530"
"Lflavo2a000773","gene7044"
"Lflavo2a000774","gene7108"
"Lflavo2a000776","gene4700"
"Lflavo2a000777","gene7042"
"Lflavo2a000778","gene9592"
"Lflavo2a000779","gene3302"
"Lflavo2a000781","gene7110"
"Lflavo2a000782","gene607"
"Lflavo2a000784","gene7046"
"Lflavo2a000785","gene3304"
"Lflavo2a000787","gene6532"
"Lflavo2a000788","gene1385"
"Lflavo2a000789","gene5868"
"Lflavo2a000791","gene7398"
"Lflavo2a000792","gene7043"
"Lflavo2a000794","gene4756"
"Lflavo2a000796","gene2850"
"Lflavo2a000797","gene1614"
"Lflavo2a000799","gene8874"
"Lflavo2a000800","gene1616"
"Lflavo2a000802","gene4749"
"Lflavo2a000803","gene9384"
"Lflavo2a000804","gene9379"
"Lflavo2a000808","gene8872"
"Lflavo2a000811","gene1618"
"Lflavo2a000814","gene1615"
"Lflavo2a000815","gene8873"
"Lflavo2a000818","gene9382"
"Lflavo2a000822","gene1617"
"Lflavo2a000828","gene4747"
"Lflavo2a000829","gene9383"
"Lflavo2a000830","gene9380"
"Lflavo2a000832","gene2849"
"Lflavo2a000833","gene4757"
"Lflavo2a000835","gene4752"
"Lflavo2a000837","gene4755"
"Lflavo2a000839","gene9381"
"Lflavo2a000840","gene8875"
"Lflavo2a000842","gene8876"
"Lflavo2a000843","gene9378"
"Lflavo2a000844","gene8602"
"Lflavo2a000845","gene5916"
"Lflavo2a000846","gene5904"
"Lflavo2a000848","gene2969"
"Lflavo2a000849","gene8601"
"Lflavo2a000850","gene8611"
"Lflavo2a000851","gene841"
"Lflavo2a000853","gene8599"
"Lflavo2a000856","gene8604"
"Lflavo2a000857","gene5554"
"Lflavo2a000865","gene2968"
"Lflavo2a000866","gene2973"
"Lflavo2a000867","gene5504"
"Lflavo2a000868","gene10247"
"Lflavo2a000871","gene6204"
"Lflavo2a000874","gene1381"
"Lflavo2a000876","gene840"
"Lflavo2a000877","gene6206"
"Lflavo2a000878","gene10234"
"Lflavo2a000879","gene5899"
"Lflavo2a000880","gene6205"
"Lflavo2a000882","gene5908"
"Lflavo2a000883","gene843"
"Lflavo2a000885","gene2963"
"Lflavo2a000886","gene849"
"Lflavo2a000890","gene2970"
"Lflavo2a000895","gene2965"
"Lflavo2a000897","gene851"
"Lflavo2a000899","gene5902"
"Lflavo2a000900","gene850"
"Lflavo2a000901","gene5914"
"Lflavo2a000902","gene10246"
"Lflavo2a000903","gene7801"
"Lflavo2a000904","gene852"
"Lflavo2a000906","gene2966"
"Lflavo2a000907","gene838"
"Lflavo2a000913","gene2972"
"Lflavo2a000914","gene8603"
"Lflavo2a000916","gene10249"
"Lflavo2a000917","gene6208"
"Lflavo2a000919","gene5907"
"Lflavo2a000920","gene10251"
"Lflavo2a000921","gene846"
"Lflavo2a000922","gene3562"
"Lflavo2a000924","gene5900"
"Lflavo2a000926","gene9851"
"Lflavo2a000927","gene837"
"Lflavo2a000928","gene10364"
"Lflavo2a000932","gene839"
"Lflavo2a000933","gene10252"
"Lflavo2a000936","gene5903"
"Lflavo2a000938","gene139"
"Lflavo2a000940","gene2964"
"Lflavo2a000941","gene5505"
"Lflavo2a000942","gene5820"
"Lflavo2a000943","gene10248"
"Lflavo2a000944","gene5553"
"Lflavo2a000945","gene847"
"Lflavo2a000946","gene5918"
"Lflavo2a000947","gene2971"
"Lflavo2a000948","gene8600"
"Lflavo2a000952","gene8638"
"Lflavo2a000953","gene8606"
"Lflavo2a000955","gene848"
"Lflavo2a000957","gene8610"
"Lflavo2a000959","gene5906"
"Lflavo2a000961","gene5905"
"Lflavo2a000963","gene5917"
"Lflavo2a000965","gene842"
"Lflavo2a000966","gene8609"
"Lflavo2a000969","gene4765"
"Lflavo2a000970","gene6305"
"Lflavo2a000971","gene6294"
"Lflavo2a000972","gene6297"
"Lflavo2a000973","gene4760"
"Lflavo2a000975","gene3213"
"Lflavo2a000976","gene9998"
"Lflavo2a000978","gene8738"
"Lflavo2a000979","gene3211"
"Lflavo2a000981","gene6302"
"Lflavo2a000982","gene6306"
"Lflavo2a000983","gene8740"
"Lflavo2a000984","gene2679"
"Lflavo2a000985","gene2677"
"Lflavo2a000986","gene4766"
"Lflavo2a000987","gene2678"
"Lflavo2a000988","gene6303"
"Lflavo2a000989","gene3210"
"Lflavo2a000992","gene7347"
"Lflavo2a000993","gene4763"
"Lflavo2a000994","gene3212"
"Lflavo2a000996","gene9999"
"Lflavo2a000997","gene2680"
"Lflavo2a000998","gene3777"
"Lflavo2a000999","gene6301"
"Lflavo2a001002","gene3778"
"Lflavo2a001003","gene1014"
"Lflavo2a001004","gene6298"
"Lflavo2a001005","gene6300"
"Lflavo2a001006","gene4761"
"Lflavo2a001007","gene402"
"Lflavo2a001008","gene2681"
"Lflavo2a001009","gene7348"
"Lflavo2a001011","gene3779"
"Lflavo2a001013","gene4240"
"Lflavo2a001019","gene524"
"Lflavo2a001020","gene1081"
"Lflavo2a001021","gene5087"
"Lflavo2a001023","gene2868"
"Lflavo2a001025","gene2867"
"Lflavo2a001026","gene8133"
"Lflavo2a001027","gene5093"
"Lflavo2a001028","gene5092"
"Lflavo2a001029","gene1096"
"Lflavo2a001031","gene5731"
"Lflavo2a001032","gene7650"
"Lflavo2a001034","gene6767"
"Lflavo2a001035","gene5733"
"Lflavo2a001036","gene7977"
"Lflavo2a001037","gene1097"
"Lflavo2a001038","gene5817"
"Lflavo2a001039","gene5736"
"Lflavo2a001041","gene5740"
"Lflavo2a001043","gene5105"
"Lflavo2a001053","gene797"
"Lflavo2a001054","gene5734"
"Lflavo2a001055","gene5742"
"Lflavo2a001056","gene8131"
"Lflavo2a001059","gene5091"
"Lflavo2a001061","gene5086"
"Lflavo2a001062","gene7651"
"Lflavo2a001063","gene5738"
"Lflavo2a001064","gene339"
"Lflavo2a001065","gene1037"
"Lflavo2a001068","gene9597"
"Lflavo2a001069","gene5737"
"Lflavo2a001072","gene1082"
"Lflavo2a001073","gene1084"
"Lflavo2a001074","gene10983"
"Lflavo2a001075","gene11230"
"Lflavo2a001076","gene5732"
"Lflavo2a001077","gene10002"
"Lflavo2a001078","gene10003"
"Lflavo2a001079","gene8135"
"Lflavo2a001080","gene798"
"Lflavo2a001083","gene2865"
"Lflavo2a001085","gene8132"
"Lflavo2a001089","gene6017"
"Lflavo2a001090","gene5643"
"Lflavo2a001091","gene1727"
"Lflavo2a001092","gene8533"
"Lflavo2a001093","gene10004"
"Lflavo2a001094","gene7649"
"Lflavo2a001095","gene8138"
"Lflavo2a001096","gene4273"
"Lflavo2a001097","gene7790"
"Lflavo2a001099","gene340"
"Lflavo2a001100","gene5089"
"Lflavo2a001101","gene4274"
"Lflavo2a001102","gene8134"
"Lflavo2a001103","gene8136"
"Lflavo2a001104","gene5644"
"Lflavo2a001106","gene480"
"Lflavo2a001107","gene5465"
"Lflavo2a001109","gene1062"
"Lflavo2a001111","gene8810"
"Lflavo2a001112","gene1459"
"Lflavo2a001113","gene1063"
"Lflavo2a001114","gene8812"
"Lflavo2a001116","gene4205"
"Lflavo2a001119","gene8834"
"Lflavo2a001121","gene2528"
"Lflavo2a001124","gene1463"
"Lflavo2a001125","gene8835"
"Lflavo2a001127","gene1458"
"Lflavo2a001130","gene1383"
"Lflavo2a001131","gene10627"
"Lflavo2a001132","gene5374"
"Lflavo2a001133","gene4203"
"Lflavo2a001134","gene4456"
"Lflavo2a001135","gene10127"
"Lflavo2a001138","gene8267"
"Lflavo2a001139","gene5463"
"Lflavo2a001142","gene477"
"Lflavo2a001144","gene5466"
"Lflavo2a001146","gene475"
"Lflavo2a001155","gene3952"
"Lflavo2a001157","gene4201"
"Lflavo2a001160","gene9661"
"Lflavo2a001161","gene8266"
"Lflavo2a001162","gene478"
"Lflavo2a001163","gene476"
"Lflavo2a001165","gene472"
"Lflavo2a001167","gene2525"
"Lflavo2a001168","gene10647"
"Lflavo2a001169","gene1047"
"Lflavo2a001171","gene4202"
"Lflavo2a001175","gene8836"
"Lflavo2a001176","gene473"
"Lflavo2a001178","gene5462"
"Lflavo2a001179","gene4200"
"Lflavo2a001180","gene2529"
"Lflavo2a001181","gene4204"
"Lflavo2a001184","gene2526"
"Lflavo2a001186","gene1462"
"Lflavo2a001196","gene3067"
"Lflavo2a001220","gene8286"
"Lflavo2a001221","gene8278"
"Lflavo2a001223","gene8280"
"Lflavo2a001226","gene8285"
"Lflavo2a001229","gene244"
"Lflavo2a001230","gene8287"
"Lflavo2a001231","gene5814"
"Lflavo2a001233","gene8288"
"Lflavo2a001234","gene6764"
"Lflavo2a001235","gene8279"
"Lflavo2a001236","gene359"
"Lflavo2a001237","gene8284"
"Lflavo2a001238","gene8281"
"Lflavo2a001246","gene1058"
"Lflavo2a001248","gene8924"
"Lflavo2a001251","gene10636"
"Lflavo2a001253","gene10634"
"Lflavo2a001254","gene8702"
"Lflavo2a001257","gene2029"
"Lflavo2a001259","gene2030"
"Lflavo2a001260","gene8923"
"Lflavo2a001263","gene8926"
"Lflavo2a001265","gene2035"
"Lflavo2a001266","gene8927"
"Lflavo2a001267","gene2037"
"Lflavo2a001268","gene10637"
"Lflavo2a001269","gene2034"
"Lflavo2a001272","gene8703"
"Lflavo2a001274","gene2031"
"Lflavo2a001275","gene10574"
"Lflavo2a001277","gene2033"
"Lflavo2a001278","gene8701"
"Lflavo2a001285","gene8018"
"Lflavo2a001287","gene8017"
"Lflavo2a001288","gene8014"
"Lflavo2a001290","gene8015"
"Lflavo2a001292","gene10737"
"Lflavo2a001295","gene8016"
"Lflavo2a001296","gene5288"
"Lflavo2a001297","gene9881"
"Lflavo2a001298","gene8249"
"Lflavo2a001304","gene7211"
"Lflavo2a001306","gene7212"
"Lflavo2a001310","gene8998"
"Lflavo2a001312","gene8995"
"Lflavo2a001322","gene6868"
"Lflavo2a001323","gene7386"
"Lflavo2a001324","gene3398"
"Lflavo2a001326","gene3399"
"Lflavo2a001327","gene3402"
"Lflavo2a001329","gene3401"
"Lflavo2a001331","gene7393"
"Lflavo2a001332","gene10332"
"Lflavo2a001336","gene7392"
"Lflavo2a001337","gene4698"
"Lflavo2a001338","gene7391"
"Lflavo2a001341","gene7406"
"Lflavo2a001342","gene10337"
"Lflavo2a001344","gene4697"
"Lflavo2a001346","gene1596"
"Lflavo2a001349","gene10702"
"Lflavo2a001351","gene10330"
"Lflavo2a001352","gene10333"
"Lflavo2a001353","gene10334"
"Lflavo2a001354","gene10701"
"Lflavo2a001355","gene3400"
"Lflavo2a001358","gene10336"
"Lflavo2a001360","gene4452"
"Lflavo2a001363","gene9787"
"Lflavo2a001364","gene9786"
"Lflavo2a001365","gene5815"
"Lflavo2a001368","gene9785"
"Lflavo2a001370","gene9788"
"Lflavo2a001371","gene10411"
"Lflavo2a001375","gene8396"
"Lflavo2a001376","gene7707"
"Lflavo2a001378","gene8395"
"Lflavo2a001384","gene10874"
"Lflavo2a001386","gene1517"
"Lflavo2a001387","gene1350"
"Lflavo2a001388","gene1340"
"Lflavo2a001391","gene6633"
"Lflavo2a001392","gene10112"
"Lflavo2a001395","gene6418"
"Lflavo2a001399","gene10533"
"Lflavo2a001400","gene6631"
"Lflavo2a001401","gene1349"
"Lflavo2a001403","gene1515"
"Lflavo2a001404","gene5262"
"Lflavo2a001407","gene1342"
"Lflavo2a001408","gene4418"
"Lflavo2a001409","gene1516"
"Lflavo2a001411","gene1514"
"Lflavo2a001413","gene1347"
