Orthogroup	Liostenogaster_flavolineata	Drosophila_melanogaster
OG0000015	Lflavo2a007470P1, Lflavo2a007470P2, Lflavo2a007470P3, Lflavo2a007470P4	NP_732555.1, NP_732559.1, NP_732558.2, NP_001097849.1, NP_001262776.1, NP_001262781.1, NP_001262784.1, NP_001097848.2, NP_650913.2, NP_001262777.1, NP_001262783.1, NP_732556.1, NP_001262778.1, NP_001262779.1, NP_001262780.1, NP_001262782.1, NP_001356920.1, NP_001356921.1, NP_001356922.1, NP_732557.2
OG0000017	Lflavo2a009956P9, Lflavo2a009956P20, Lflavo2a009956P19, Lflavo2a009956P21, Lflavo2a009956P27, Lflavo2a009956P4, Lflavo2a009956P24, Lflavo2a009956P2, Lflavo2a009956P23, Lflavo2a009956P22, Lflavo2a009956P25, Lflavo2a009956P10, Lflavo2a009956P12, Lflavo2a009956P18, Lflavo2a009956P26, Lflavo2a009956P28, Lflavo2a009956P14, Lflavo2a009956P15, Lflavo2a009956P1, Lflavo2a009956P16, Lflavo2a009956P8, Lflavo2a009956P13, Lflavo2a009956P5, Lflavo2a009956P3, Lflavo2a009956P17, Lflavo2a009956P11, Lflavo2a009956P7, Lflavo2a009956P6	NP_001163208.1, NP_001163209.1, NP_001163211.1, NP_995893.1, NP_995899.2, NP_001014542.1, NP_001014540.2, NP_001163210.1, NP_995894.2, NP_995900.1
OG0000018	Lflavo2a007270P15, Lflavo2a007270P9, Lflavo2a007270P7, Lflavo2a007270P13, Lflavo2a007270P14, Lflavo2a007270P3, Lflavo2a007270P20, Lflavo2a007270P11, Lflavo2a007270P8, Lflavo2a007270P16, Lflavo2a007270P19, Lflavo2a007270P1, Lflavo2a007270P18, Lflavo2a007270P2, Lflavo2a007270P6, Lflavo2a007270P10, Lflavo2a007270P5, Lflavo2a007270P21, Lflavo2a007270P17, Lflavo2a007270P4, Lflavo2a007270P12	NP_001261439.1, NP_729057.3, NP_001163350.1, NP_001261438.1, NP_729055.1, NP_729056.1, NP_001246636.1, NP_729054.3
OG0000019	Lflavo2a003118P12, Lflavo2a003118P14, Lflavo2a003118P4, Lflavo2a003118P10, Lflavo2a003118P2, Lflavo2a003118P15, Lflavo2a003118P18, Lflavo2a003118P11, Lflavo2a003118P16, Lflavo2a003118P1, Lflavo2a003118P8, Lflavo2a003118P19, Lflavo2a003118P6, Lflavo2a003118P7, Lflavo2a003118P9, Lflavo2a003118P13, Lflavo2a003118P5, Lflavo2a003118P17, Lflavo2a003118P3	NP_523701.3, NP_001097270.1, NP_001260898.1, NP_001260899.1
OG0000020	Lflavo2a010481P1, Lflavo2a013254P1, Lflavo2a010369P1	NP_608917.3, NP_608916.1, NP_608918.1, NP_610472.1, NP_524828.1, NP_610473.1
OG0000022	Lflavo2a003232P1	NP_001014652.1, NP_001014663.1, NP_001014664.1, NP_001014655.1, NP_001014662.1, NP_524486.2, NP_001262925.1, NP_001014657.1, NP_001014654.1, NP_733029.1, NP_001014656.1, NP_001014658.1, NP_001014659.1, NP_001014661.2, NP_001163712.1, NP_001262924.1, NP_001014651.1, NP_001014660.1, NP_996289.1, NP_001262927.1, NP_001262928.1, NP_001262926.1, NP_001014653.1
OG0000023	Lflavo2a012513P1, Lflavo2a012513P2	NP_001097726.1, NP_001247011.1, NP_001303501.1
OG0000024	Lflavo2a011600P1	NP_001163791.1, NP_001163792.1, NP_001163793.1, NP_524703.1, NP_001163789.1, NP_001097993.1, NP_788776.2, NP_001287630.1, NP_001097994.1, NP_001163788.1, NP_001163794.1, NP_733460.1, NP_733461.2, NP_788773.1, NP_788774.1, NP_788775.1, NP_788777.1, NP_788778.1, NP_788779.1, NP_001163787.1, NP_001163790.1, NP_788780.1, NP_001097992.1, NP_001247398.1, NP_001247399.1
OG0000025	Lflavo2a006559P16, Lflavo2a006559P25, Lflavo2a006559P18, Lflavo2a006559P24, Lflavo2a006559P8, Lflavo2a006559P5, Lflavo2a006559P15, Lflavo2a006559P27, Lflavo2a006559P23, Lflavo2a006559P22, Lflavo2a006559P1, Lflavo2a006559P4, Lflavo2a006559P7, Lflavo2a006559P6, Lflavo2a006559P10, Lflavo2a006559P14, Lflavo2a006559P9, Lflavo2a006559P28, Lflavo2a006559P26, Lflavo2a006559P17, Lflavo2a006559P19, Lflavo2a006559P2, Lflavo2a006559P12, Lflavo2a006559P3, Lflavo2a006559P21, Lflavo2a006559P11, Lflavo2a006559P13, Lflavo2a006559P20	NP_001245993.1, NP_001260393.1, NP_477243.1, NP_001260390.1, NP_477244.1, NP_001260391.1, NP_723687.1, NP_001260392.1, NP_477245.1
OG0000026	Lflavo2a006244P7, Lflavo2a006244P17, Lflavo2a006244P34, Lflavo2a006244P16, Lflavo2a006244P10, Lflavo2a006244P8, Lflavo2a006244P40, Lflavo2a006244P31, Lflavo2a006244P43, Lflavo2a006244P6, Lflavo2a006244P11, Lflavo2a006244P5, Lflavo2a006244P3, Lflavo2a006244P48, Lflavo2a006244P4, Lflavo2a006244P47, Lflavo2a006244P41, Lflavo2a006244P42, Lflavo2a006244P21, Lflavo2a006244P15, Lflavo2a006244P36, Lflavo2a006244P37, Lflavo2a006244P46, Lflavo2a006244P35, Lflavo2a006244P27, Lflavo2a006244P32, Lflavo2a006244P19, Lflavo2a006244P20, Lflavo2a006244P22, Lflavo2a006244P1, Lflavo2a006244P33, Lflavo2a006244P39, Lflavo2a006244P30, Lflavo2a006244P12, Lflavo2a006244P24, Lflavo2a006244P14, Lflavo2a006244P45, Lflavo2a006244P18, Lflavo2a006244P13, Lflavo2a006244P44	NP_001189293.1, NP_524514.2, NP_733133.1, NP_733134.1, NP_733135.1, NP_001189294.1, NP_001247309.1, NP_996298.1, NP_001287539.1, NP_001262981.1
OG0000027	Lflavo2a004115P5, Lflavo2a004115P3, Lflavo2a004115P7, Lflavo2a004115P2, Lflavo2a004115P6, Lflavo2a004115P1, Lflavo2a004115P4, Lflavo2a004115P12, Lflavo2a004115P15, Lflavo2a004115P8, Lflavo2a004115P18, Lflavo2a004115P11, Lflavo2a004115P14, Lflavo2a004115P13, Lflavo2a004115P9, Lflavo2a004115P17, Lflavo2a004115P10, Lflavo2a004115P16	NP_649744.3, NP_731191.2, NP_996180.2, NP_001262350.1, NP_001097705.1, NP_001097706.1, NP_731192.2, NP_001163541.1
OG0000028	Lflavo2a001284P1, Lflavo2a001290P1	NP_001027033.3, NP_001245500.2, NP_001284823.1, NP_001096869.3, NP_001245497.2, NP_001245494.2, NP_001027035.3, NP_001027037.3, NP_001245499.2, NP_001245493.2, NP_001027038.3, NP_001245491.2, NP_001162648.3, NP_001284825.1, NP_001027034.2, NP_001245495.2, NP_001245498.2, NP_001284822.1, NP_001245492.2, NP_001245496.2, NP_001368970.1
OG0000030	Lflavo2a011367P1, Lflavo2a011455P1	NP_001286441.1, NP_611020.1, NP_477331.1, NP_650219.2, NP_001246131.1, NP_610138.4, NP_001247307.1, NP_733128.1, NP_650218.3, NP_608776.1, NP_649229.1
OG0000030	Lflavo2a006907P1, Lflavo2a010641P1	NP_001285811.1, NP_523540.1, NP_001260357.1, NP_609425.1, NP_609419.1, NP_001260356.1, NP_001188785.1, NP_609418.1, NP_001285807.1, NP_609428.1, NP_609420.1, NP_723607.1
OG0000031	Lflavo2a013919P8, Lflavo2a013919P9, Lflavo2a013919P5, Lflavo2a013919P6, Lflavo2a013919P2, Lflavo2a013919P3, Lflavo2a013919P4, Lflavo2a013919P7	NP_001369036.1, NP_001261215.1, NP_612038.2, NP_728531.1
OG0000032	Lflavo2a010002P8, Lflavo2a010002P6, Lflavo2a010002P5, Lflavo2a010002P11, Lflavo2a010002P13, Lflavo2a010002P12, Lflavo2a010002P9, Lflavo2a010002P3, Lflavo2a010002P2, Lflavo2a010002P4, Lflavo2a010002P1	NP_001369019.1, NP_001369020.1, NP_001369018.1, NP_788683.1, NP_001014628.1, NP_001262624.1, NP_001014627.2, NP_524941.3, NP_001163628.1, NP_001247138.1, NP_001247137.1, NP_001014626.1, NP_001262625.1, NP_732124.3, NP_732125.2, NP_732123.1
OG0000033	Lflavo2a013055P1, Lflavo2a013044P1, Lflavo2a013041P1	NP_001261313.1, NP_001261310.1, NP_001261308.1, NP_001261312.1, NP_001261314.1, NP_001261311.1, NP_001261307.1, NP_001261309.1, NP_001261304.1, NP_001261305.1, NP_001261306.1, NP_001246551.1, NP_524676.2
OG0000034	Lflavo2a000556P1	NP_001259138.1, NP_726755.1, NP_001245467.1, NP_001245465.1, NP_001259137.1, NP_001259139.1, NP_001259140.1, NP_001245466.1, NP_569934.2, NP_001245464.1, NP_001259136.1
OG0000035	Lflavo2a004522P1	NP_610744.1, NP_001286145.1, NP_610206.1, NP_001285499.1, NP_001285500.1, NP_608403.1, NP_001286335.1, NP_610743.2
OG0000035	Lflavo2a009458P1, Lflavo2a005865P1, Lflavo2a005878P1	NP_611002.3, NP_001286433.1, NP_652018.1, NP_611000.2, NP_001350862.1, NP_650189.1
OG0000036	Lflavo2a000915P1, Lflavo2a000944P1, Lflavo2a000944P2, Lflavo2a000944P3	NP_001369051.1, NP_001261807.1, NP_001261808.1, NP_001189093.1, NP_001369050.1, NP_001189095.1, NP_001189094.1, NP_001189099.1, NP_001189098.1, NP_524059.4, NP_001189091.1, NP_001189100.1, NP_729923.1, NP_001189090.1, NP_001189096.1, NP_001189092.1, NP_001369049.1
OG0000037	Lflavo2a000631P1, Lflavo2a003783P1, Lflavo2a003801P1	NP_523359.2, NP_523666.3, NP_511107.1, NP_523689.1, NP_524540.4
OG0000038	Lflavo2a011957P11, Lflavo2a011957P4, Lflavo2a011957P1, Lflavo2a011957P9, Lflavo2a011957P10, Lflavo2a011957P5, Lflavo2a011957P3, Lflavo2a011957P7, Lflavo2a011957P13	NP_001245705.1, NP_001245704.1, NP_996475.2, NP_001259591.1, NP_001138200.1, NP_001259590.1, NP_001285311.1, NP_523358.5
OG0000039	Lflavo2a013627P1, Lflavo2a013627P2, Lflavo2a013627P3, Lflavo2a013627P8, Lflavo2a013627P4, Lflavo2a013627P13, Lflavo2a013627P14, Lflavo2a013627P18, Lflavo2a013627P20, Lflavo2a013627P21, Lflavo2a013627P5, Lflavo2a013627P12, Lflavo2a013627P26, Lflavo2a013627P28, Lflavo2a013627P25, Lflavo2a013627P11, Lflavo2a013627P9, Lflavo2a013627P19, Lflavo2a013627P6, Lflavo2a013627P7, Lflavo2a013627P22, Lflavo2a013627P10, Lflavo2a013627P23, Lflavo2a013627P16, Lflavo2a013627P27, Lflavo2a013627P24, Lflavo2a013627P15, Lflavo2a013627P17	NP_001263093.1, NP_651755.2, NP_569883.1, NP_659571.1
OG0000040	Lflavo2a012991P14, Lflavo2a012991P2, Lflavo2a012991P11, Lflavo2a012991P8, Lflavo2a012991P9, Lflavo2a012991P6, Lflavo2a012991P12, Lflavo2a012991P4, Lflavo2a012991P1, Lflavo2a012991P5, Lflavo2a012991P3, Lflavo2a012991P10, Lflavo2a012991P7	NP_001260177.1, NP_723263.2, NP_523501.1, NP_001260178.1, NP_001260181.1, NP_001260179.1, NP_001260182.1, NP_723264.1, NP_001260183.1, NP_001260180.1
OG0000042	Lflavo2a006215P1, Lflavo2a006217P1	NP_001245435.2, NP_001014702.1, NP_001014705.1, NP_001014703.1
OG0000043	Lflavo2a004456P12, Lflavo2a004456P2, Lflavo2a004456P1, Lflavo2a004456P8, Lflavo2a004456P10, Lflavo2a004456P11, Lflavo2a004456P20, Lflavo2a004456P21, Lflavo2a004456P5, Lflavo2a004456P7, Lflavo2a004456P14, Lflavo2a004456P16, Lflavo2a004456P6, Lflavo2a004456P4, Lflavo2a004456P9, Lflavo2a004456P3, Lflavo2a004456P19, Lflavo2a004456P15, Lflavo2a004456P17	NP_001287257.1, NP_649930.4, NP_001163574.1, NP_731389.2, NP_731390.1, NP_001163573.1, NP_001287258.1, NP_001189204.1, NP_731391.1, NP_731392.2, NP_001287259.1, NP_001287260.1, NP_001303500.1, NP_001163575.2
OG0000044	Lflavo2a007287P1	NP_001260155.1, NP_609067.2, NP_723208.1, NP_001260153.1, NP_001260154.1
OG0000045	Lflavo2a000779P1, Lflavo2a000780P1	NP_788668.1, NP_001163603.1, NP_788669.1, NP_001163604.1, NP_788670.1, NP_001014619.2, NP_788671.2, NP_788665.1, NP_788666.1, NP_788667.2
OG0000046	Lflavo2a014282P1	NP_726859.2, NP_726850.1, NP_726849.1, NP_726853.2, NP_726852.2, NP_001259201.1, NP_726857.1, NP_001259202.1, NP_726854.2, NP_726855.1, NP_001259203.1, NP_726851.3, NP_726846.1, NP_726847.2, NP_726856.1, NP_726858.2, NP_525061.2
OG0000047	Lflavo2a003367P1, Lflavo2a003367P2, Lflavo2a003367P14, Lflavo2a003367P35, Lflavo2a003367P20, Lflavo2a003367P23, Lflavo2a003367P48, Lflavo2a003367P17, Lflavo2a003367P28, Lflavo2a003367P46, Lflavo2a003367P37, Lflavo2a003367P42, Lflavo2a003367P26, Lflavo2a003367P40, Lflavo2a003367P16, Lflavo2a003367P29, Lflavo2a003367P45, Lflavo2a003367P5, Lflavo2a003367P10, Lflavo2a003367P50, Lflavo2a003367P18, Lflavo2a003367P4, Lflavo2a003367P3, Lflavo2a003367P49, Lflavo2a003367P12, Lflavo2a003367P8, Lflavo2a003367P19, Lflavo2a003367P38, Lflavo2a003367P36, Lflavo2a003367P24, Lflavo2a003367P32, Lflavo2a003367P11, Lflavo2a003367P39, Lflavo2a003367P44, Lflavo2a003367P31, Lflavo2a003367P43, Lflavo2a003367P27, Lflavo2a003367P21	NP_788952.2, NP_001285533.1, NP_001285532.1, NP_788951.2, NP_788953.2, NP_001285534.1
OG0000048	Lflavo2a002829P4, Lflavo2a002829P21, Lflavo2a002829P19, Lflavo2a002829P23, Lflavo2a002829P3, Lflavo2a002829P24, Lflavo2a002829P22, Lflavo2a002829P17, Lflavo2a002829P9, Lflavo2a002829P6, Lflavo2a002829P16, Lflavo2a002829P15, Lflavo2a002829P18, Lflavo2a002829P7, Lflavo2a002829P11, Lflavo2a002829P2, Lflavo2a002829P14, Lflavo2a002829P1, Lflavo2a002829P12, Lflavo2a002829P5, Lflavo2a002829P13, Lflavo2a002829P10	NP_725337.1, NP_523733.2, NP_001137660.1, NP_001137661.1, NP_001163149.1, NP_001246309.1, NP_001137658.1, NP_001137657.1, NP_001163148.1, NP_001246311.1, NP_001163150.1, NP_001246307.1, NP_001246313.1, NP_001246312.1, NP_001246308.1, NP_725339.1, NP_725338.1, NP_001163147.1, NP_001137659.1, NP_725335.1, NP_725336.1, NP_001246310.1
OG0000049	Lflavo2a008078P1	NP_001285567.1, NP_001356906.1, NP_995619.2, NP_523460.2, NP_001285568.1, NP_722838.1, NP_722839.1
OG0000049	Lflavo2a004370P1	NP_995593.2, NP_726557.3, NP_726560.5, NP_001245417.1, NP_726558.2
OG0000050	Lflavo2a009334P3, Lflavo2a009334P1, Lflavo2a009334P2	NP_001286646.1, NP_001286647.1, NP_477206.1, NP_001369113.1, NP_001246471.1, NP_001036566.4, NP_001246472.1, NP_611729.2, NP_726262.2
OG0000051	Lflavo2a005093P4, Lflavo2a005093P5, Lflavo2a005093P3, Lflavo2a005093P2, Lflavo2a005093P1	NP_001259322.1, NP_001162699.1, NP_727228.1, NP_996368.1, NP_996369.1, NP_996370.1, NP_001259323.1, NP_001259321.1, NP_511078.2
OG0000052	Lflavo2a004092P21, Lflavo2a004092P22, Lflavo2a004092P19, Lflavo2a004092P16, Lflavo2a004092P20, Lflavo2a004092P1, Lflavo2a004092P4, Lflavo2a004092P10, Lflavo2a004092P14, Lflavo2a004092P2, Lflavo2a004092P13, Lflavo2a004092P5, Lflavo2a004092P11, Lflavo2a004092P18, Lflavo2a004092P17, Lflavo2a004092P23, Lflavo2a004092P12, Lflavo2a004092P7, Lflavo2a004092P3, Lflavo2a004092P8, Lflavo2a004092P6, Lflavo2a004092P15, Lflavo2a004092P9	NP_001246787.1, NP_730101.2, NP_001246783.1, NP_001246786.1, NP_730099.2, NP_001246784.1, NP_001246785.1, NP_001097615.1, NP_001097614.1, NP_730100.2, NP_001261919.1, NP_001369057.1
OG0000053	Lflavo2a003352P1	NP_001260209.1, NP_609128.2, NP_001163067.1, NP_524957.2, NP_001286112.1, NP_524956.2
OG0000054	Lflavo2a013931P1	NP_523398.1, NP_728137.1, NP_728142.1, NP_001245733.1, NP_728138.1, NP_728139.1, NP_728140.1, NP_001245734.1, NP_001259668.1, NP_001259669.1, NP_001259670.1, NP_728141.1
OG0000055	Lflavo2a010076P3, Lflavo2a010076P1, Lflavo2a010076P2	NP_001246812.1, NP_001261979.1, NP_001097632.1, NP_730245.2
OG0000056	Lflavo2a010834P1	NP_001260850.1, NP_001260849.1, NP_001260852.1, NP_001137631.1, NP_788299.3, NP_001260851.1, NP_001137632.1, NP_001260848.1, NP_788300.3
OG0000057	Lflavo2a012106P3, Lflavo2a012106P1, Lflavo2a012106P5, Lflavo2a012106P4, Lflavo2a012106P2	NP_476714.1, NP_996336.1, NP_476715.1, NP_599105.1, NP_726822.1, NP_726823.1, NP_996337.1, NP_996338.1, NP_001036259.2, NP_996335.1, NP_001162649.1, NP_996334.1
OG0000058	Lflavo2a012777P1	NP_001138155.1, NP_001259222.1, NP_001284843.1
OG0000059	Lflavo2a005324P2, Lflavo2a005324P3, Lflavo2a005324P4, Lflavo2a005324P1	NP_727311.2, NP_788891.2, NP_001096918.1, NP_001245589.1, NP_001259371.1, NP_572527.2, NP_996394.2, NP_001245590.1, NP_788890.2
OG0000060	Lflavo2a005396P1	NP_726588.2, NP_524625.3, NP_726589.2, NP_726590.2, NP_726591.2, NP_001162824.1
OG0000061	Lflavo2a012889P1, Lflavo2a008112P1	NP_001027366.1, NP_001027371.1, NP_001027376.1
OG0000063	Lflavo2a006110P1, Lflavo2a000561P1, Lflavo2a000561P2, Lflavo2a006109P1, Lflavo2a006116P1	NP_001260823.1, NP_610482.3, NP_001245943.1, NP_609215.3, NP_001260548.1, NP_724148.2, NP_001097841.1, NP_001262746.1, NP_001262745.1, NP_650838.1, NP_001262747.1, NP_650086.2, NP_995741.2, NP_001286082.1, NP_609930.4, NP_651678.1, NP_733278.1
OG0000064	Lflavo2a003573P3, Lflavo2a003573P4, Lflavo2a003573P2, Lflavo2a003573P1	NP_524651.2, NP_730596.1, NP_730597.1
OG0000065	Lflavo2a005465P1, Lflavo2a005404P2, Lflavo2a005404P1	NP_001138144.1, NP_001259134.1, NP_726751.2, NP_726752.1, NP_726753.1, NP_001162638.2, NP_726750.1, NP_001188526.1, NP_001188527.1, NP_524759.2, NP_001245462.1, NP_726754.1, NP_001188525.1, NP_726749.2, NP_001368968.1
OG0000067	Lflavo2a011727P4, Lflavo2a011727P6, Lflavo2a011727P5, Lflavo2a011727P1, Lflavo2a011727P7, Lflavo2a011727P3, Lflavo2a011727P2	NP_001014669.1, NP_733155.2, NP_733156.1, NP_001247319.1, NP_001262988.1, NP_001262989.1, NP_001036761.3, NP_733154.1, NP_001014670.2, NP_524754.2, NP_001163745.1, NP_001247318.1, NP_001247321.1, NP_001262987.1, NP_001247320.1, NP_001163747.1, NP_001247322.1, NP_001163746.1
OG0000068	Lflavo2a004050P2, Lflavo2a004050P5, Lflavo2a004050P4, Lflavo2a004050P1, Lflavo2a004050P3	NP_001036261.3, NP_001284879.1, NP_001138158.2, NP_001138157.2, NP_001284878.1, NP_726978.2, NP_001138159.2
OG0000069	Lflavo2a002358P1	NP_536742.3, NP_001246895.1, NP_001246896.1, NP_001303394.1, NP_001097669.2, NP_001262234.1
OG0000069	Lflavo2a013124P1	NP_733002.1, NP_001285015.1, NP_525079.3
OG0000070	Lflavo2a010727P1	NP_001246808.1, NP_648930.1, NP_996110.1, NP_001261976.2, NP_730212.1, NP_996109.1, NP_001189122.1, NP_730213.1, NP_001303414.1, NP_996111.1
OG0000071	Lflavo2a004142P1	NP_729461.1, NP_001261617.1, NP_729462.2, NP_001261615.1, NP_001261616.1, NP_523991.2
OG0000072	Lflavo2a004517P10, Lflavo2a004517P5, Lflavo2a004517P4, Lflavo2a004517P6, Lflavo2a004517P7, Lflavo2a004517P1, Lflavo2a004517P3, Lflavo2a004517P8, Lflavo2a004517P9	NP_723202.2, NP_001137801.1, NP_609064.3, NP_001260147.1, NP_001097105.3
OG0000073	Lflavo2a011526P1	NP_001303353.1, NP_001261033.1, NP_725607.2, NP_725610.2, NP_001097346.1, NP_001246373.1, NP_001246374.1, NP_611155.3
OG0000074	Lflavo2a005449P3, Lflavo2a005449P2, Lflavo2a005449P5, Lflavo2a005449P8, Lflavo2a005449P1, Lflavo2a005449P6, Lflavo2a005449P9, Lflavo2a005449P7, Lflavo2a005449P4, Lflavo2a005566P1	NP_001260340.1, NP_001260341.1, NP_477189.1, NP_001356956.1
OG0000075	Lflavo2a001715P9, Lflavo2a001715P18, Lflavo2a001715P19	NP_001162750.1, NP_001162749.1, NP_511149.2, NP_001259535.1, NP_001285229.1, NP_001014740.1, NP_001014741.1, NP_727733.1, NP_001259534.1, NP_001162748.1, NP_001162751.1
OG0000076	Lflavo2a003116P1	NP_001162825.1, NP_001284716.1, NP_995598.1, NP_001259072.1, NP_001259071.1
OG0000077	Lflavo2a007413P1	NP_001036367.2, NP_001137833.2, NP_724048.1, NP_001162997.1, NP_001260527.1, NP_788072.4, NP_609835.2, NP_724047.2, NP_001137834.2, NP_001368962.1, NP_001162996.2, NP_001286013.1, NP_001036366.2, NP_001260528.1, NP_001260526.1
OG0000078	Lflavo2a005004P1	NP_609012.2, NP_001137797.1, NP_001260126.1, NP_001137798.1
OG0000079	Lflavo2a007557P2, Lflavo2a007557P1, Lflavo2a007557P3	NP_788347.1, NP_001097302.1, NP_788346.1, NP_788348.1, NP_788345.1
OG0000080	Lflavo2a008759P9, Lflavo2a008759P5, Lflavo2a008759P1, Lflavo2a008759P2, Lflavo2a008759P3, Lflavo2a008759P10, Lflavo2a008759P4, Lflavo2a008759P6, Lflavo2a008759P8, Lflavo2a008759P7	NP_001260862.1, NP_001188900.1, NP_001260863.1, NP_001260864.1, NP_001260861.1, NP_001246242.1, NP_001097258.2, NP_001097259.2, NP_001188901.1
OG0000081	Lflavo2a005539P7, Lflavo2a005539P13, Lflavo2a005539P15, Lflavo2a005539P5, Lflavo2a005539P11, Lflavo2a005539P9, Lflavo2a005539P16, Lflavo2a005539P14, Lflavo2a005539P3, Lflavo2a005539P6	NP_724560.1, NP_724561.2, NP_724563.2, NP_724564.2, NP_724566.3, NP_995772.1, NP_001260773.1, NP_001260775.1, NP_724565.3, NP_724562.2, NP_610285.5, NP_001260772.1
