Orthogroup	Liostenogaster_flavolineata	Polistes_dominula
OG0000009	Lflavo2a011938P1	lcl|NW_015149012.1_prot_XP_015179323.1_11476
OG0000009	Lflavo2a011966P1	lcl|NW_015149012.1_prot_XP_015179394.1_11472
OG0000009	Lflavo2a011971P1	lcl|NW_015149012.1_prot_XP_015179321.1_11474
OG0000009	Lflavo2a008983P1, Lflavo2a008990P1	lcl|NW_015149012.1_prot_XP_015179316.1_11468
OG0000009	Lflavo2a011949P1, Lflavo2a011989P1, Lflavo2a011978P1, Lflavo2a011990P1, Lflavo2a011952P1, Lflavo2a011976P1	lcl|NW_015149012.1_prot_XP_015179329.1_11481, lcl|NW_015149012.1_prot_XP_015179330.1_11482, lcl|NW_015149012.1_prot_XP_015179496.1_11484
OG0000011	Lflavo2a009428P1, Lflavo2a000728P1	lcl|NW_015148974.1_prot_XP_015190534.1_2723, lcl|NW_015149681.1_prot_XP_015189881.1_20773, lcl|NW_015148974.1_prot_XP_015190535.1_2724, lcl|NW_015149630.1_prot_XP_015189872.1_20766, lcl|NW_015150325.1_prot_XP_015189981.1_20850, lcl|NW_015149932.1_prot_XP_015189924.1_20806, lcl|NW_015149282.1_prot_XP_015189734.1_20655, lcl|NW_015149195.1_prot_XP_015189529.1_20480, lcl|NW_015148970.1_prot_XP_015191278.1_600, lcl|NW_015148980.1_prot_XP_015172151.1_4838, lcl|NW_015149124.1_prot_XP_015188448.1_19533, lcl|NW_015149213.1_prot_XP_015189583.1_20525, lcl|NW_015149271.1_prot_XP_015189713.1_20638, lcl|NW_015149136.1_prot_XP_015188713.1_19807, lcl|NW_015149295.1_prot_XP_015189746.1_20665, lcl|NW_015149329.1_prot_XP_015189767.1_20683, lcl|NW_015150142.1_prot_XP_015189955.1_20830, lcl|NW_015150142.1_prot_XP_015189956.1_20831, lcl|NW_015149191.1_prot_XP_015189501.1_20455
OG0000011	Lflavo2a000287P1	lcl|NW_015150051.1_prot_XP_015189943.1_20822, lcl|NW_015149456.1_prot_XP_015189812.1_20719
OG0000011	Lflavo2a001281P1	lcl|NW_015149179.1_prot_XP_015189415.1_20382, lcl|NW_015149286.1_prot_XP_015189739.1_20659, lcl|NW_015149179.1_prot_XP_015189416.1_20383, lcl|NW_015148974.1_prot_XP_015190538.1_2787, lcl|NW_015149136.1_prot_XP_015188714.1_19808
OG0000012	Lflavo2a008554P1	lcl|NW_015149050.1_prot_XP_015184251.1_15783
OG0000012	Lflavo2a004730P1	lcl|NW_015148997.1_prot_XP_015176242.1_8637
OG0000012	Lflavo2a009509P1, Lflavo2a013167P1, Lflavo2a013147P1, Lflavo2a013139P1, Lflavo2a013165P1	lcl|NW_015149017.1_prot_XP_015180690.1_12519, lcl|NW_015149017.1_prot_XP_015180691.1_12520, lcl|NW_015149017.1_prot_XP_015180566.1_12518, lcl|NW_015149017.1_prot_XP_015180564.1_12516
OG0000012	Lflavo2a009551P1	lcl|NW_015149017.1_prot_XP_015180565.1_12517, lcl|NW_015149017.1_prot_XP_015180561.1_12515
OG0000013	Lflavo2a012256P1	lcl|NW_015148992.1_prot_XP_015175341.1_7784, lcl|NW_015148992.1_prot_XP_015175333.1_7797, lcl|NW_015148992.1_prot_XP_015175334.1_7798, lcl|NW_015148992.1_prot_XP_015175335.1_7799, lcl|NW_015148992.1_prot_XP_015175336.1_7800, lcl|NW_015148992.1_prot_XP_015175328.1_7789, lcl|NW_015148992.1_prot_XP_015175330.1_7788, lcl|NW_015148992.1_prot_XP_015175338.1_7790, lcl|NW_015148992.1_prot_XP_015175329.1_7791, lcl|NW_015148992.1_prot_XP_015175337.1_7787, lcl|NW_015148992.1_prot_XP_015175339.1_7785, lcl|NW_015148992.1_prot_XP_015175332.1_7792, lcl|NW_015148992.1_prot_XP_015175323.1_7793, lcl|NW_015148992.1_prot_XP_015175324.1_7794, lcl|NW_015148992.1_prot_XP_015175325.1_7795, lcl|NW_015148992.1_prot_XP_015175326.1_7796, lcl|NW_015148992.1_prot_XP_015175327.1_7786, lcl|NW_015148992.1_prot_XP_015175340.1_7801
OG0000014	Lflavo2a005359P21, Lflavo2a005359P28, Lflavo2a005359P24, Lflavo2a005359P16, Lflavo2a005359P22, Lflavo2a005359P19, Lflavo2a005359P4, Lflavo2a005359P25, Lflavo2a005359P18, Lflavo2a005359P12, Lflavo2a005359P11, Lflavo2a005359P30, Lflavo2a005359P10, Lflavo2a005359P5, Lflavo2a005359P23, Lflavo2a005359P2, Lflavo2a005359P1, Lflavo2a005359P31, Lflavo2a005359P14, Lflavo2a005359P13, Lflavo2a005359P26, Lflavo2a005359P20, Lflavo2a005359P7, Lflavo2a005359P29, Lflavo2a005359P6, Lflavo2a005359P3, Lflavo2a005359P15, Lflavo2a005359P27, Lflavo2a005359P17, Lflavo2a005359P9, Lflavo2a005359P8	lcl|NW_015148997.1_prot_XP_015176306.1_8645, lcl|NW_015148997.1_prot_XP_015176305.1_8646, lcl|NW_015148997.1_prot_XP_015176296.1_8644, lcl|NW_015148997.1_prot_XP_015176297.1_8648, lcl|NW_015148997.1_prot_XP_015176292.1_8649, lcl|NW_015148997.1_prot_XP_015176293.1_8650, lcl|NW_015148997.1_prot_XP_015176294.1_8651, lcl|NW_015148997.1_prot_XP_015176295.1_8652, lcl|NW_015148997.1_prot_XP_015176304.1_8657, lcl|NW_015148997.1_prot_XP_015176300.1_8653, lcl|NW_015148997.1_prot_XP_015176302.1_8656, lcl|NW_015148997.1_prot_XP_015176298.1_8654, lcl|NW_015148997.1_prot_XP_015176303.1_8655, lcl|NW_015148997.1_prot_XP_015176299.1_8647
OG0000015	Lflavo2a007470P1, Lflavo2a007470P2, Lflavo2a007470P3, Lflavo2a007470P4	lcl|NW_015148988.1_prot_XP_015174196.1_6900, lcl|NW_015148988.1_prot_XP_015174199.1_6901, lcl|NW_015148988.1_prot_XP_015174200.1_6906, lcl|NW_015148988.1_prot_XP_015174201.1_6907, lcl|NW_015148988.1_prot_XP_015174202.1_6908, lcl|NW_015148988.1_prot_XP_015174203.1_6909, lcl|NW_015148988.1_prot_XP_015174204.1_6910, lcl|NW_015148988.1_prot_XP_015174205.1_6905, lcl|NW_015148988.1_prot_XP_015174197.1_6903, lcl|NW_015148988.1_prot_XP_015174198.1_6904, lcl|NW_015148988.1_prot_XP_015174195.1_6902
OG0000016	Lflavo2a002947P1	lcl|NW_015149010.1_prot_XP_015178889.1_10905, lcl|NW_015149010.1_prot_XP_015178891.1_10906, lcl|NW_015149010.1_prot_XP_015178888.1_10902, lcl|NW_015149010.1_prot_XP_015178887.1_10903, lcl|NW_015149010.1_prot_XP_015178892.1_10901, lcl|NW_015149010.1_prot_XP_015178894.1_10900, lcl|NW_015149010.1_prot_XP_015178895.1_10899, lcl|NW_015149010.1_prot_XP_015178893.1_10898, lcl|NW_015149010.1_prot_XP_015178899.1_10894, lcl|NW_015149010.1_prot_XP_015178900.1_10893, lcl|NW_015149010.1_prot_XP_015178897.1_10896, lcl|NW_015149010.1_prot_XP_015178896.1_10897, lcl|NW_015149010.1_prot_XP_015178898.1_10895, lcl|NW_015149010.1_prot_XP_015178886.1_10904
OG0000018	Lflavo2a007270P15, Lflavo2a007270P9, Lflavo2a007270P7, Lflavo2a007270P13, Lflavo2a007270P14, Lflavo2a007270P3, Lflavo2a007270P20, Lflavo2a007270P11, Lflavo2a007270P8, Lflavo2a007270P16, Lflavo2a007270P19, Lflavo2a007270P1, Lflavo2a007270P18, Lflavo2a007270P2, Lflavo2a007270P6, Lflavo2a007270P10, Lflavo2a007270P5, Lflavo2a007270P21, Lflavo2a007270P17, Lflavo2a007270P4, Lflavo2a007270P12	lcl|NW_015149015.1_prot_XP_015180004.1_12117, lcl|NW_015149015.1_prot_XP_015180007.1_12120, lcl|NW_015149015.1_prot_XP_015180005.1_12118, lcl|NW_015149015.1_prot_XP_015180006.1_12119, lcl|NW_015149015.1_prot_XP_015180001.1_12115, lcl|NW_015149015.1_prot_XP_015180003.1_12116
OG0000019	Lflavo2a003118P12, Lflavo2a003118P14, Lflavo2a003118P4, Lflavo2a003118P10, Lflavo2a003118P2, Lflavo2a003118P15, Lflavo2a003118P18, Lflavo2a003118P11, Lflavo2a003118P16, Lflavo2a003118P1, Lflavo2a003118P8, Lflavo2a003118P19, Lflavo2a003118P6, Lflavo2a003118P7, Lflavo2a003118P9, Lflavo2a003118P13, Lflavo2a003118P5, Lflavo2a003118P17, Lflavo2a003118P3	lcl|NW_015148973.1_prot_XP_015190233.1_2381, lcl|NW_015148973.1_prot_XP_015190226.1_2373, lcl|NW_015148973.1_prot_XP_015190224.1_2368, lcl|NW_015148973.1_prot_XP_015190219.1_2366, lcl|NW_015148973.1_prot_XP_015190218.1_2379, lcl|NW_015148973.1_prot_XP_015190232.1_2378, lcl|NW_015148973.1_prot_XP_015190223.1_2371, lcl|NW_015148973.1_prot_XP_015190225.1_2369, lcl|NW_015148973.1_prot_XP_015190215.1_2363, lcl|NW_015148973.1_prot_XP_015190216.1_2364, lcl|NW_015148973.1_prot_XP_015190228.1_2365, lcl|NW_015148973.1_prot_XP_015190221.1_2380, lcl|NW_015148973.1_prot_XP_015190234.1_2372, lcl|NW_015148973.1_prot_XP_015190227.1_2374, lcl|NW_015148973.1_prot_XP_015190217.1_2370, lcl|NW_015148973.1_prot_XP_015190222.1_2367, lcl|NW_015148973.1_prot_XP_015190229.1_2375, lcl|NW_015148973.1_prot_XP_015190230.1_2376, lcl|NW_015148973.1_prot_XP_015190235.1_2377
OG0000020	Lflavo2a010481P1, Lflavo2a013254P1, Lflavo2a010369P1	lcl|NW_015149116.1_prot_XP_015188211.1_19324, lcl|NW_015149093.1_prot_XP_015187259.1_18515, lcl|NW_015149012.1_prot_XP_015179306.1_11334, lcl|NW_015149012.1_prot_XP_015179359.1_11331, lcl|NW_015149012.1_prot_XP_015179356.1_11332, lcl|NW_015149012.1_prot_XP_015179357.1_11333, lcl|NW_015149012.1_prot_XP_015179368.1_11373, lcl|NW_015149015.1_prot_XP_015180014.1_12134, lcl|NW_015149015.1_prot_XP_015180017.1_12135, lcl|NW_015149015.1_prot_XP_015180015.1_12137, lcl|NW_015149015.1_prot_XP_015180016.1_12138, lcl|NW_015149015.1_prot_XP_015180018.1_12136, lcl|NW_015149015.1_prot_XP_015180019.1_12139, lcl|NW_015149012.1_prot_XP_015179367.1_11378, lcl|NW_015149012.1_prot_XP_015179353.1_11380, lcl|NW_015149012.1_prot_XP_015179354.1_11382, lcl|NW_015149012.1_prot_XP_015179352.1_11381, lcl|NW_015149012.1_prot_XP_015179355.1_11383, lcl|NW_015149012.1_prot_XP_015179383.1_11374, lcl|NW_015149093.1_prot_XP_015187338.1_18447, lcl|NW_015149093.1_prot_XP_015187291.1_18511, lcl|NW_015149093.1_prot_XP_015187289.1_18512, lcl|NW_015149093.1_prot_XP_015187290.1_18513, lcl|NW_015149012.1_prot_XP_015179309.1_11379, lcl|NW_015149004.1_prot_XP_015177512.1_9686, lcl|NW_015149004.1_prot_XP_015177511.1_9685, lcl|NW_015149004.1_prot_XP_015177513.1_9687, lcl|NW_015149279.1_prot_XP_015189731.1_20653, lcl|NW_015149132.1_prot_XP_015188692.1_19719, lcl|NW_015149470.1_prot_XP_015189818.1_20723, lcl|NW_015149132.1_prot_XP_015188691.1_19721, lcl|NW_015149125.1_prot_XP_015188462.1_19534
OG0000021	Lflavo2a006232P1	lcl|NW_015148983.1_prot_XP_015173103.1_5747, lcl|NW_015148983.1_prot_XP_015173108.1_5745, lcl|NW_015148983.1_prot_XP_015173105.1_5746, lcl|NW_015148983.1_prot_XP_015173110.1_5743, lcl|NW_015148983.1_prot_XP_015173111.1_5744, lcl|NW_015148983.1_prot_XP_015173104.1_5750, lcl|NW_015148983.1_prot_XP_015173106.1_5749, lcl|NW_015148983.1_prot_XP_015173112.1_5748, lcl|NW_015148983.1_prot_XP_015173095.1_5754, lcl|NW_015148983.1_prot_XP_015173100.1_5760, lcl|NW_015148983.1_prot_XP_015173109.1_5755, lcl|NW_015148983.1_prot_XP_015173099.1_5758, lcl|NW_015148983.1_prot_XP_015173096.1_5757, lcl|NW_015148983.1_prot_XP_015173101.1_5753, lcl|NW_015148983.1_prot_XP_015173094.1_5759, lcl|NW_015148983.1_prot_XP_015173097.1_5752, lcl|NW_015148983.1_prot_XP_015173098.1_5751, lcl|NW_015148983.1_prot_XP_015173102.1_5756
OG0000022	Lflavo2a003232P1	lcl|NW_015148973.1_prot_XP_015189971.1_2224, lcl|NW_015148973.1_prot_XP_015189977.1_2229, lcl|NW_015148973.1_prot_XP_015189897.1_2214, lcl|NW_015148973.1_prot_XP_015189939.1_2215, lcl|NW_015148973.1_prot_XP_015189926.1_2219, lcl|NW_015148973.1_prot_XP_015189946.1_2213, lcl|NW_015148973.1_prot_XP_015189954.1_2212, lcl|NW_015148973.1_prot_XP_015189932.1_2234, lcl|NW_015148973.1_prot_XP_015189912.1_2233, lcl|NW_015148973.1_prot_XP_015189871.1_2210, lcl|NW_015148973.1_prot_XP_015189967.1_2227, lcl|NW_015148973.1_prot_XP_015189916.1_2228, lcl|NW_015148973.1_prot_XP_015189989.1_2231, lcl|NW_015148973.1_prot_XP_015189906.1_2232, lcl|NW_015148973.1_prot_XP_015189983.1_2237, lcl|NW_015148973.1_prot_XP_015189961.1_2236, lcl|NW_015148973.1_prot_XP_015189988.1_2238, lcl|NW_015148973.1_prot_XP_015189957.1_2208, lcl|NW_015148973.1_prot_XP_015189903.1_2209
OG0000023	Lflavo2a012513P1, Lflavo2a012513P2	lcl|NW_015149094.1_prot_XP_015187362.1_18548, lcl|NW_015149094.1_prot_XP_015187368.1_18554, lcl|NW_015149094.1_prot_XP_015187359.1_18551, lcl|NW_015149094.1_prot_XP_015187361.1_18544, lcl|NW_015149094.1_prot_XP_015187365.1_18543, lcl|NW_015149094.1_prot_XP_015187363.1_18546, lcl|NW_015149094.1_prot_XP_015187367.1_18553, lcl|NW_015149094.1_prot_XP_015187366.1_18552, lcl|NW_015149094.1_prot_XP_015187354.1_18550, lcl|NW_015149094.1_prot_XP_015187356.1_18549, lcl|NW_015149094.1_prot_XP_015187357.1_18542, lcl|NW_015149094.1_prot_XP_015187355.1_18545, lcl|NW_015149094.1_prot_XP_015187360.1_18541, lcl|NW_015149094.1_prot_XP_015187358.1_18547
OG0000024	Lflavo2a011600P1	lcl|NW_015148988.1_prot_XP_015174299.1_6674, lcl|NW_015148988.1_prot_XP_015174297.1_6672, lcl|NW_015148988.1_prot_XP_015174302.1_6676, lcl|NW_015148988.1_prot_XP_015174292.1_6664, lcl|NW_015148988.1_prot_XP_015174294.1_6667, lcl|NW_015148988.1_prot_XP_015174293.1_6665, lcl|NW_015148988.1_prot_XP_015174291.1_6663, lcl|NW_015148988.1_prot_XP_015174295.1_6666, lcl|NW_015148988.1_prot_XP_015174298.1_6673, lcl|NW_015148988.1_prot_XP_015174301.1_6668, lcl|NW_015148988.1_prot_XP_015174304.1_6669, lcl|NW_015148988.1_prot_XP_015174305.1_6678, lcl|NW_015148988.1_prot_XP_015174306.1_6677, lcl|NW_015148988.1_prot_XP_015174303.1_6675, lcl|NW_015148988.1_prot_XP_015174300.1_6679
OG0000025	Lflavo2a006559P16, Lflavo2a006559P25, Lflavo2a006559P18, Lflavo2a006559P24, Lflavo2a006559P8, Lflavo2a006559P5, Lflavo2a006559P15, Lflavo2a006559P27, Lflavo2a006559P23, Lflavo2a006559P22, Lflavo2a006559P1, Lflavo2a006559P4, Lflavo2a006559P7, Lflavo2a006559P6, Lflavo2a006559P10, Lflavo2a006559P14, Lflavo2a006559P9, Lflavo2a006559P28, Lflavo2a006559P26, Lflavo2a006559P17, Lflavo2a006559P19, Lflavo2a006559P2, Lflavo2a006559P12, Lflavo2a006559P3, Lflavo2a006559P21, Lflavo2a006559P11, Lflavo2a006559P13, Lflavo2a006559P20	lcl|NW_015148982.1_prot_XP_015172891.1_5443, lcl|NW_015148982.1_prot_XP_015172890.1_5436, lcl|NW_015148982.1_prot_XP_015172888.1_5440, lcl|NW_015148982.1_prot_XP_015172884.1_5441, lcl|NW_015148982.1_prot_XP_015172885.1_5442, lcl|NW_015148982.1_prot_XP_015172889.1_5439, lcl|NW_015148982.1_prot_XP_015172887.1_5437, lcl|NW_015148982.1_prot_XP_015172886.1_5438
OG0000026	Lflavo2a006244P44	lcl|NW_015149037.1_prot_XP_015182980.1_14608, lcl|NW_015149037.1_prot_XP_015182974.1_14609, lcl|NW_015149037.1_prot_XP_015182971.1_14610, lcl|NW_015149037.1_prot_XP_015182975.1_14607, lcl|NW_015149037.1_prot_XP_015182977.1_14604, lcl|NW_015149037.1_prot_XP_015182978.1_14606, lcl|NW_015149037.1_prot_XP_015182979.1_14602, lcl|NW_015149037.1_prot_XP_015182973.1_14605, lcl|NW_015149037.1_prot_XP_015182972.1_14603
