Orthogroup	Liostenogaster_flavolineata	Vespula_vulgaris
OG0000026	Lflavo2a006244P7, Lflavo2a006244P17, Lflavo2a006244P34, Lflavo2a006244P16, Lflavo2a006244P10, Lflavo2a006244P8, Lflavo2a006244P40, Lflavo2a006244P31, Lflavo2a006244P43, Lflavo2a006244P6, Lflavo2a006244P11, Lflavo2a006244P5, Lflavo2a006244P3, Lflavo2a006244P48, Lflavo2a006244P4, Lflavo2a006244P47, Lflavo2a006244P41, Lflavo2a006244P42, Lflavo2a006244P21, Lflavo2a006244P15, Lflavo2a006244P36, Lflavo2a006244P37, Lflavo2a006244P46, Lflavo2a006244P35, Lflavo2a006244P27, Lflavo2a006244P32, Lflavo2a006244P19, Lflavo2a006244P20, Lflavo2a006244P22, Lflavo2a006244P1, Lflavo2a006244P33, Lflavo2a006244P39, Lflavo2a006244P30, Lflavo2a006244P12, Lflavo2a006244P24, Lflavo2a006244P14, Lflavo2a006244P45, Lflavo2a006244P18, Lflavo2a006244P13	KAF7390992.1
OG0000026	Lflavo2a006244P44	KAF7390997.1
OG0000027	Lflavo2a004115P5, Lflavo2a004115P3, Lflavo2a004115P7, Lflavo2a004115P2, Lflavo2a004115P6, Lflavo2a004115P1, Lflavo2a004115P4, Lflavo2a004115P12, Lflavo2a004115P15, Lflavo2a004115P8, Lflavo2a004115P18, Lflavo2a004115P11, Lflavo2a004115P14, Lflavo2a004115P13, Lflavo2a004115P9, Lflavo2a004115P17, Lflavo2a004115P10, Lflavo2a004115P16	KAF7392692.1
OG0000028	Lflavo2a001284P1, Lflavo2a001290P1	KAF7405542.1
OG0000030	Lflavo2a011367P1, Lflavo2a011455P1	KAF7390980.1
OG0000030	Lflavo2a010641P1	KAF7402495.1, KAF7402494.1
OG0000031	Lflavo2a013919P8, Lflavo2a013919P9, Lflavo2a013919P5, Lflavo2a013919P6, Lflavo2a013919P2, Lflavo2a013919P3, Lflavo2a013919P4, Lflavo2a013919P7	KAF7383489.1
OG0000032	Lflavo2a010002P8, Lflavo2a010002P6, Lflavo2a010002P5, Lflavo2a010002P11, Lflavo2a010002P13, Lflavo2a010002P12, Lflavo2a010002P9, Lflavo2a010002P3, Lflavo2a010002P2, Lflavo2a010002P4, Lflavo2a010002P1	KAF7399008.1
OG0000033	Lflavo2a013044P1, Lflavo2a013041P1	KAF7385695.1
OG0000034	Lflavo2a000556P1	KAF7385203.1, KAF7385205.1
OG0000035	Lflavo2a004522P1	KAF7380961.1
OG0000035	Lflavo2a009458P1	KAF7400438.1
OG0000035	Lflavo2a005865P1, Lflavo2a005878P1	KAF7400442.1, KAF7400443.1, KAF7400444.1, KAF7400446.1, KAF7400447.1, KAF7400448.1, KAF7400441.1, KAF7400449.1
OG0000036	Lflavo2a000915P1	KAF7386630.1
OG0000036	Lflavo2a000944P1, Lflavo2a000944P2, Lflavo2a000944P3	KAF7386573.1
OG0000037	Lflavo2a000631P1, Lflavo2a003783P1, Lflavo2a003801P1	KAF7405480.1, KAF7405486.1, KAF7405485.1, KAF7405482.1, KAF7405484.1, KAF7405491.1, KAF7405490.1, KAF7405489.1, KAF7405487.1, KAF7405488.1, KAF7405498.1, KAF7405492.1, KAF7405496.1, KAF7405494.1, KAF7405497.1, KAF7405493.1, KAF7405495.1
OG0000039	Lflavo2a013627P1, Lflavo2a013627P2, Lflavo2a013627P3, Lflavo2a013627P8, Lflavo2a013627P4, Lflavo2a013627P13, Lflavo2a013627P14, Lflavo2a013627P18, Lflavo2a013627P20, Lflavo2a013627P21, Lflavo2a013627P5, Lflavo2a013627P12, Lflavo2a013627P26, Lflavo2a013627P28, Lflavo2a013627P25, Lflavo2a013627P11, Lflavo2a013627P9, Lflavo2a013627P19, Lflavo2a013627P6, Lflavo2a013627P7, Lflavo2a013627P22, Lflavo2a013627P10, Lflavo2a013627P23, Lflavo2a013627P16, Lflavo2a013627P27, Lflavo2a013627P24, Lflavo2a013627P15, Lflavo2a013627P17	KAF7382684.1
OG0000042	Lflavo2a006215P1, Lflavo2a006217P1	KAF7405256.1
OG0000043	Lflavo2a004456P12, Lflavo2a004456P2, Lflavo2a004456P1, Lflavo2a004456P8, Lflavo2a004456P10, Lflavo2a004456P11, Lflavo2a004456P20, Lflavo2a004456P21, Lflavo2a004456P5, Lflavo2a004456P7, Lflavo2a004456P14, Lflavo2a004456P16, Lflavo2a004456P6, Lflavo2a004456P4, Lflavo2a004456P9, Lflavo2a004456P3, Lflavo2a004456P19, Lflavo2a004456P15, Lflavo2a004456P17	KAF7383394.1
OG0000044	Lflavo2a007287P1	KAF7411760.1
OG0000045	Lflavo2a000779P1, Lflavo2a000780P1	KAF7404850.1
OG0000046	Lflavo2a014282P1	KAF7396263.1, KAF7396257.1
OG0000048	Lflavo2a002829P4, Lflavo2a002829P21, Lflavo2a002829P19, Lflavo2a002829P23, Lflavo2a002829P3, Lflavo2a002829P24, Lflavo2a002829P22, Lflavo2a002829P17, Lflavo2a002829P9, Lflavo2a002829P6, Lflavo2a002829P16, Lflavo2a002829P15, Lflavo2a002829P18, Lflavo2a002829P7, Lflavo2a002829P11, Lflavo2a002829P2, Lflavo2a002829P14, Lflavo2a002829P1, Lflavo2a002829P12, Lflavo2a002829P5, Lflavo2a002829P13, Lflavo2a002829P10	KAF7382084.1, KAF7382083.1
OG0000049	Lflavo2a004370P1	KAF7398428.1
OG0000050	Lflavo2a009334P3, Lflavo2a009334P1, Lflavo2a009334P2	KAF7405413.1
OG0000051	Lflavo2a005093P4, Lflavo2a005093P5, Lflavo2a005093P3, Lflavo2a005093P2, Lflavo2a005093P1	KAF7392869.1
OG0000052	Lflavo2a004092P21, Lflavo2a004092P22, Lflavo2a004092P19, Lflavo2a004092P16, Lflavo2a004092P20, Lflavo2a004092P1, Lflavo2a004092P4, Lflavo2a004092P10, Lflavo2a004092P14, Lflavo2a004092P2, Lflavo2a004092P13, Lflavo2a004092P5, Lflavo2a004092P11, Lflavo2a004092P18, Lflavo2a004092P17, Lflavo2a004092P23, Lflavo2a004092P12, Lflavo2a004092P7, Lflavo2a004092P3, Lflavo2a004092P8, Lflavo2a004092P6, Lflavo2a004092P15, Lflavo2a004092P9	KAF7385717.1
OG0000053	Lflavo2a003352P1	KAF7408839.1
OG0000055	Lflavo2a010076P3, Lflavo2a010076P1, Lflavo2a010076P2	KAF7411956.1
OG0000056	Lflavo2a010834P1	KAF7404592.1
OG0000057	Lflavo2a012106P3, Lflavo2a012106P1, Lflavo2a012106P5, Lflavo2a012106P4, Lflavo2a012106P2	KAF7379608.1
OG0000059	Lflavo2a005324P2, Lflavo2a005324P3, Lflavo2a005324P4, Lflavo2a005324P1	KAF7411274.1
OG0000060	Lflavo2a005396P1	KAF7390742.1
OG0000061	Lflavo2a012889P1, Lflavo2a008112P1	KAF7389083.1
OG0000061	Lflavo2a001224P1	KAF7398744.1
OG0000061	Lflavo2a004039P1	KAF7411785.1
OG0000063	Lflavo2a000561P1, Lflavo2a000561P2	KAF7396118.1
OG0000063	Lflavo2a006109P1, Lflavo2a006116P1	KAF7384310.1
OG0000064	Lflavo2a003573P3, Lflavo2a003573P4, Lflavo2a003573P2, Lflavo2a003573P1	KAF7390819.1
OG0000065	Lflavo2a005465P1	KAF7396315.1
OG0000065	Lflavo2a005404P2	KAF7396319.1
OG0000066	Lflavo2a004950P1, Lflavo2a005259P1	KAF7383547.1
OG0000066	Lflavo2a006753P1, Lflavo2a002200P1	KAF7387753.1
OG0000066	Lflavo2a001314P1	KAF7408567.1
OG0000066	Lflavo2a007434P1, Lflavo2a006366P1, Lflavo2a013838P1, Lflavo2a001212P1	KAF7399062.1
OG0000066	Lflavo2a005861P1	KAF7379337.1
OG0000066	Lflavo2a004225P1	KAF7389353.1
OG0000066	Lflavo2a002704P1	KAF7381575.1
OG0000067	Lflavo2a011727P4, Lflavo2a011727P6, Lflavo2a011727P5, Lflavo2a011727P1, Lflavo2a011727P7, Lflavo2a011727P3, Lflavo2a011727P2	KAF7408238.1
OG0000068	Lflavo2a004050P2, Lflavo2a004050P5, Lflavo2a004050P4, Lflavo2a004050P1, Lflavo2a004050P3	KAF7407421.1
OG0000069	Lflavo2a002358P1	KAF7394584.1
OG0000069	Lflavo2a013124P1	KAF7402402.1, KAF7402401.1
OG0000070	Lflavo2a010727P1	KAF7393206.1
OG0000071	Lflavo2a004142P1	KAF7384118.1
OG0000072	Lflavo2a004517P10, Lflavo2a004517P5, Lflavo2a004517P4, Lflavo2a004517P6, Lflavo2a004517P7, Lflavo2a004517P1, Lflavo2a004517P3, Lflavo2a004517P8, Lflavo2a004517P9	KAF7386786.1
OG0000073	Lflavo2a011526P1	KAF7403031.1
OG0000074	Lflavo2a005449P3, Lflavo2a005449P2, Lflavo2a005449P5, Lflavo2a005449P8, Lflavo2a005449P1, Lflavo2a005449P6, Lflavo2a005449P9, Lflavo2a005449P7, Lflavo2a005449P4	KAF7390779.1, KAF7390776.1
OG0000074	Lflavo2a005566P1	KAF7390765.1
OG0000077	Lflavo2a007413P1	KAF7388023.1
OG0000078	Lflavo2a005004P1	KAF7412375.1
OG0000079	Lflavo2a007557P2, Lflavo2a007557P1, Lflavo2a007557P3	KAF7411708.1
OG0000080	Lflavo2a008759P9, Lflavo2a008759P5, Lflavo2a008759P1, Lflavo2a008759P2, Lflavo2a008759P3, Lflavo2a008759P10, Lflavo2a008759P4, Lflavo2a008759P6, Lflavo2a008759P8, Lflavo2a008759P7	KAF7391043.1
OG0000081	Lflavo2a005539P7, Lflavo2a005539P13, Lflavo2a005539P15, Lflavo2a005539P5, Lflavo2a005539P11, Lflavo2a005539P9, Lflavo2a005539P16, Lflavo2a005539P14, Lflavo2a005539P3, Lflavo2a005539P6	KAF7394830.1
OG0000082	Lflavo2a010778P2, Lflavo2a010778P1, Lflavo2a010778P4, Lflavo2a010778P3, Lflavo2a010778P5, Lflavo2a010778P6, Lflavo2a010778P12, Lflavo2a010778P13	KAF7411818.1
OG0000083	Lflavo2a006253P1, Lflavo2a006253P5, Lflavo2a006253P2, Lflavo2a006253P3	KAF7396290.1
OG0000084	Lflavo2a007302P1, Lflavo2a007302P2	KAF7391388.1
OG0000085	Lflavo2a007544P6, Lflavo2a007544P7, Lflavo2a007544P5, Lflavo2a007544P3, Lflavo2a007544P1, Lflavo2a007544P2, Lflavo2a007544P4, Lflavo2a006771P1	KAF7412102.1
OG0000086	Lflavo2a005397P6, Lflavo2a005397P5, Lflavo2a005397P3, Lflavo2a005397P4, Lflavo2a005397P8, Lflavo2a005397P11, Lflavo2a005397P12, Lflavo2a005397P9, Lflavo2a005397P10, Lflavo2a005397P7, Lflavo2a005397P2	KAF7393316.1
OG0000087	Lflavo2a000799P6, Lflavo2a000799P5, Lflavo2a000799P3, Lflavo2a000799P4, Lflavo2a000799P1, Lflavo2a000799P2	KAF7392893.1
OG0000088	Lflavo2a003020P1	KAF7383570.1
OG0000089	Lflavo2a005712P1	KAF7398341.1, KAF7398344.1, KAF7398506.1
OG0000090	Lflavo2a000524P1	KAF7378689.1
OG0000090	Lflavo2a000003P1	KAF7400860.1
OG0000090	Lflavo2a000482P1, Lflavo2a000580P1, Lflavo2a000559P1, Lflavo2a000596P1, Lflavo2a000514P1, Lflavo2a000516P1, Lflavo2a000591P1, Lflavo2a000507P1, Lflavo2a000503P1, Lflavo2a000575P1	KAF7382250.1, KAF7382252.1, KAF7378694.1, KAF7378670.1, KAF7378692.1, KAF7378718.1, KAF7378671.1, KAF7378669.1, KAF7378695.1, KAF7378700.1, KAF7378684.1, KAF7378672.1, KAF7378674.1, KAF7378673.1, KAF7378683.1, KAF7378679.1, KAF7378678.1, KAF7378682.1, KAF7378680.1, KAF7378721.1, KAF7381994.1
OG0000090	Lflavo2a000486P1, Lflavo2a000523P1	KAF7378690.1
OG0000091	Lflavo2a006173P1, Lflavo2a006173P4, Lflavo2a006173P3, Lflavo2a006173P2	KAF7382891.1
OG0000092	Lflavo2a006725P1, Lflavo2a006725P2, Lflavo2a006725P5, Lflavo2a006725P10, Lflavo2a006725P4, Lflavo2a006725P7, Lflavo2a006725P6, Lflavo2a006725P9, Lflavo2a006725P3, Lflavo2a006725P8	KAF7402564.1, KAF7402565.1
OG0000093	Lflavo2a010471P3, Lflavo2a010471P1, Lflavo2a010471P2	KAF7388890.1
OG0000095	Lflavo2a002769P1, Lflavo2a005462P1	KAF7412289.1
OG0000095	Lflavo2a000774P1	KAF7404722.1
OG0000096	Lflavo2a013346P1	KAF7381669.1
OG0000097	Lflavo2a012213P1	KAF7404840.1
OG0000098	Lflavo2a006291P1	KAF7408370.1
OG0000099	Lflavo2a014333P1	KAF7394824.1, KAF7394825.1
OG0000101	Lflavo2a008868P24, Lflavo2a008868P23, Lflavo2a008868P14, Lflavo2a008868P15, Lflavo2a008868P11, Lflavo2a008868P6, Lflavo2a008868P16, Lflavo2a008868P7, Lflavo2a008868P10, Lflavo2a008868P21, Lflavo2a008868P20, Lflavo2a008868P18, Lflavo2a008868P19, Lflavo2a008868P8, Lflavo2a008868P12, Lflavo2a008868P17, Lflavo2a008868P5, Lflavo2a008868P1, Lflavo2a008868P2, Lflavo2a008868P4, Lflavo2a008868P9, Lflavo2a008868P13	KAF7393141.1
OG0000102	Lflavo2a007960P1	KAF7412613.1
OG0000103	Lflavo2a003236P1	KAF7411340.1
OG0000104	Lflavo2a004657P1	KAF7389096.1
OG0000105	Lflavo2a014141P4, Lflavo2a014141P2, Lflavo2a014141P1, Lflavo2a014141P3	KAF7400614.1
OG0000107	Lflavo2a009699P1	KAF7386952.1
OG0000107	Lflavo2a010585P1	KAF7402733.1
OG0000107	Lflavo2a010592P1	KAF7400658.1, KAF7404704.1, KAF7404701.1, KAF7404758.1, KAF7404702.1, KAF7404757.1, KAF7404747.1, KAF7404759.1, KAF7404748.1, KAF7404744.1, KAF7404751.1, KAF7404756.1
OG0000107	Lflavo2a004887P1	KAF7404755.1, KAF7404753.1, KAF7404752.1
OG0000108	Lflavo2a001719P1	KAF7402580.1
OG0000109	Lflavo2a005097P1	KAF7392883.1
OG0000110	Lflavo2a000106P1, Lflavo2a000106P2, Lflavo2a000106P3	KAF7412426.1
OG0000112	Lflavo2a002843P1	KAF7379561.1
OG0000113	Lflavo2a000165P1	KAF7401017.1, KAF7401016.1
OG0000115	Lflavo2a008749P1, Lflavo2a008749P2	KAF7391052.1, KAF7391050.1, KAF7391051.1, KAF7391049.1, KAF7391048.1
OG0000115	Lflavo2a009655P1	KAF7407886.1, KAF7407887.1
OG0000116	Lflavo2a013808P2, Lflavo2a013808P4, Lflavo2a013808P3, Lflavo2a013808P1	KAF7408302.1
OG0000119	Lflavo2a009068P1	KAF7411209.1
OG0000119	Lflavo2a009101P1	KAF7411207.1
OG0000122	Lflavo2a005759P1	KAF7392852.1, KAF7393341.1
OG0000123	Lflavo2a012924P1, Lflavo2a012924P2	KAF7399015.1
OG0000124	Lflavo2a005345P1	KAF7392526.1
OG0000126	Lflavo2a011940P1	KAF7385168.1
OG0000127	Lflavo2a006051P1	KAF7382235.1, KAF7382216.1, KAF7382270.1, KAF7382215.1, KAF7382228.1, KAF7382224.1, KAF7382227.1, KAF7382217.1, KAF7382221.1, KAF7382222.1, KAF7382229.1, KAF7382223.1, KAF7382218.1, KAF7382220.1, KAF7382226.1, KAF7382214.1, KAF7382213.1, KAF7382230.1, KAF7382231.1, KAF7382234.1, KAF7382232.1, KAF7382219.1, KAF7382225.1, KAF7382271.1, KAF7398501.1, KAF7398500.1, KAF7398499.1
OG0000128	Lflavo2a008718P1, Lflavo2a008718P2	KAF7378643.1
OG0000129	Lflavo2a013612P1	KAF7408620.1
OG0000130	Lflavo2a001056P1	KAF7378601.1, KAF7378600.1
OG0000131	Lflavo2a014320P1	KAF7405171.1
OG0000132	Lflavo2a008072P6, Lflavo2a008072P5, Lflavo2a008072P1, Lflavo2a008072P4, Lflavo2a008072P2, Lflavo2a008072P3	KAF7378654.1
OG0000134	Lflavo2a008440P1	KAF7400664.1, KAF7400661.1, KAF7400666.1
OG0000135	Lflavo2a001833P2, Lflavo2a001833P1, Lflavo2a001833P3, Lflavo2a001833P4	KAF7384213.1
OG0000136	Lflavo2a010756P1	KAF7379034.1
OG0000137	Lflavo2a009340P3, Lflavo2a009340P2, Lflavo2a009340P1, Lflavo2a009340P4, Lflavo2a009340P5, Lflavo2a009340P7, Lflavo2a009340P6	KAF7407326.1
OG0000138	Lflavo2a000962P1	KAF7386684.1, KAF7386677.1
OG0000139	Lflavo2a003264P1	KAF7381623.1
OG0000139	Lflavo2a002502P1, Lflavo2a002502P2	KAF7378936.1
OG0000140	Lflavo2a008421P1	KAF7407842.1
OG0000142	Lflavo2a001707P3, Lflavo2a001707P4, Lflavo2a001707P5, Lflavo2a001707P2, Lflavo2a001707P1	KAF7411875.1
OG0000143	Lflavo2a010951P1	KAF7411398.1
OG0000144	Lflavo2a005515P1	KAF7403026.1
OG0000145	Lflavo2a008243P3, Lflavo2a008243P2, Lflavo2a008243P10, Lflavo2a008243P7, Lflavo2a008243P6, Lflavo2a008243P1, Lflavo2a008243P8, Lflavo2a008243P4, Lflavo2a008243P5, Lflavo2a008243P9	KAF7404640.1, KAF7404642.1
OG0000146	Lflavo2a004851P4	KAF7402443.1
OG0000147	Lflavo2a004012P1	KAF7398677.1, KAF7399027.1, KAF7411252.1, KAF7408621.1, KAF7411255.1
OG0000147	Lflavo2a001222P1	KAF7382939.1
OG0000148	Lflavo2a006499P1	KAF7412645.1
OG0000149	Lflavo2a013775P1	KAF7396669.1
OG0000150	Lflavo2a012483P1	KAF7384322.1
OG0000151	Lflavo2a001510P1	KAF7400805.1
OG0000152	Lflavo2a005089P1, Lflavo2a005089P6, Lflavo2a005089P7, Lflavo2a005089P2	KAF7379381.1
OG0000153	Lflavo2a006466P1	KAF7396341.1
OG0000153	Lflavo2a006531P1	KAF7396340.1
OG0000154	Lflavo2a004169P5, Lflavo2a004169P4, Lflavo2a004169P2, Lflavo2a004169P6, Lflavo2a004169P1, Lflavo2a004169P3	KAF7392839.1
OG0000155	Lflavo2a008180P8, Lflavo2a008180P1, Lflavo2a008180P7, Lflavo2a008180P10, Lflavo2a008180P4, Lflavo2a008180P5, Lflavo2a008180P3, Lflavo2a008180P11, Lflavo2a008180P14, Lflavo2a008180P2, Lflavo2a008180P13, Lflavo2a008180P6, Lflavo2a008180P9, Lflavo2a008180P12	KAF7384127.1
OG0000157	Lflavo2a008919P5, Lflavo2a008919P1, Lflavo2a008919P6, Lflavo2a008919P2, Lflavo2a008919P9, Lflavo2a008919P7, Lflavo2a008919P8, Lflavo2a008919P4, Lflavo2a008919P3	KAF7380077.1
OG0000158	Lflavo2a004116P1	KAF7400257.1
OG0000158	Lflavo2a001893P1	KAF7392523.1, KAF7391347.1
OG0000159	Lflavo2a004440P1	KAF7382874.1
OG0000160	Lflavo2a000147P1	KAF7378807.1, KAF7378808.1
OG0000162	Lflavo2a013334P1	KAF7381657.1
OG0000164	Lflavo2a009878P1	KAF7381458.1
OG0000164	Lflavo2a003080P1	KAF7381456.1, KAF7381457.1
OG0000166	Lflavo2a001229P1	KAF7384423.1, KAF7380285.1, KAF7380293.1, KAF7378698.1, KAF7380294.1, KAF7380297.1, KAF7380311.1, KAF7382237.1
OG0000166	Lflavo2a005935P1	KAF7400744.1
OG0000167	Lflavo2a012776P1	KAF7385810.1
OG0000168	Lflavo2a012358P1	KAF7408084.1
OG0000169	Lflavo2a001684P1	KAF7380118.1
OG0000170	Lflavo2a006516P1, Lflavo2a006493P1, Lflavo2a006493P3, Lflavo2a009653P1, Lflavo2a001915P1, Lflavo2a006493P4, Lflavo2a006493P2, Lflavo2a006493P5	KAF7384855.1
OG0000171	Lflavo2a013568P1	KAF7388222.1
OG0000172	Lflavo2a011204P1	KAF7384193.1
OG0000173	Lflavo2a002470P1	KAF7378913.1
OG0000174	Lflavo2a006589P1	KAF7402633.1
OG0000175	Lflavo2a001033P1, Lflavo2a001033P2, Lflavo2a001033P3, Lflavo2a001033P4	KAF7382707.1
OG0000175	Lflavo2a001054P1	KAF7382709.1
OG0000176	Lflavo2a005188P4, Lflavo2a005188P6, Lflavo2a005188P3, Lflavo2a005188P2, Lflavo2a005188P1, Lflavo2a005188P5, Lflavo2a005188P7	KAF7400386.1
OG0000177	Lflavo2a005266P3, Lflavo2a005266P1, Lflavo2a005266P2	KAF7402296.1
OG0000178	Lflavo2a012229P1	KAF7396619.1
OG0000179	Lflavo2a004122P8, Lflavo2a004122P3, Lflavo2a004122P2, Lflavo2a004122P4, Lflavo2a004122P5, Lflavo2a004122P6, Lflavo2a004122P1	KAF7385733.1
OG0000180	Lflavo2a013463P1, Lflavo2a013463P2	KAF7400335.1
OG0000181	Lflavo2a014006P1	KAF7383430.1
OG0000182	Lflavo2a012452P2, Lflavo2a012452P1, Lflavo2a012452P3	KAF7408826.1
OG0000183	Lflavo2a000901P1, Lflavo2a000901P5, Lflavo2a000901P7, Lflavo2a000901P3, Lflavo2a000901P4, Lflavo2a000901P2, Lflavo2a000901P6	KAF7381545.1
OG0000184	Lflavo2a006336P1	KAF7412718.1
OG0000185	Lflavo2a010301P1	KAF7396517.1
OG0000185	Lflavo2a011190P1	KAF7384339.1
OG0000186	Lflavo2a009949P2, Lflavo2a009949P3, Lflavo2a009949P1, Lflavo2a009949P4	KAF7403104.1
OG0000187	Lflavo2a006240P1	KAF7412732.1
OG0000188	Lflavo2a008742P3, Lflavo2a008742P4, Lflavo2a008742P1, Lflavo2a008742P5, Lflavo2a008742P6, Lflavo2a008742P2	KAF7391053.1
OG0000189	Lflavo2a012744P1	KAF7389279.1
OG0000190	Lflavo2a008970P1, Lflavo2a008970P2, Lflavo2a008970P3, Lflavo2a008970P4, Lflavo2a008970P6	KAF7405277.1
OG0000191	Lflavo2a002390P2, Lflavo2a002390P1, Lflavo2a002390P3	KAF7407604.1
OG0000192	Lflavo2a009372P1	KAF7405417.1, KAF7405414.1
OG0000193	Lflavo2a007006P1, Lflavo2a007006P2	KAF7402326.1
OG0000194	Lflavo2a007110P1, Lflavo2a007110P2	KAF7400637.1
OG0000195	Lflavo2a010022P5, Lflavo2a010022P6, Lflavo2a010022P2, Lflavo2a010022P7, Lflavo2a010022P4, Lflavo2a010022P8, Lflavo2a010022P3, Lflavo2a010022P1	KAF7398870.1
OG0000196	Lflavo2a007832P1	KAF7402627.1
OG0000197	Lflavo2a000086P1, Lflavo2a000086P2, Lflavo2a000086P3, Lflavo2a000086P4	KAF7412429.1
OG0000198	Lflavo2a009569P1, Lflavo2a009569P2	KAF7407946.1
