Orthogroup	Liostenogaster_flavolineata	Nasonia_vitripennis
OG0000011	Lflavo2a009428P1, Lflavo2a000728P1	XP_031789007.1, XP_031781616.1, XP_008206110.1, XP_031777412.1, XP_031781161.1, XP_032457929.1, XP_031781116.1, XP_031783222.1
OG0000011	Lflavo2a000287P1, Lflavo2a001281P1	XP_031781320.1, XP_031789130.1, XP_031779811.1, XP_008204703.2, XP_008214148.2, XP_016842991.2, XP_031779848.1, XP_008214147.2, XP_031784232.1, XP_031783906.1, XP_031781368.1, XP_031777962.1, XP_031783025.1, XP_031784690.1, XP_031780061.1, XP_031786049.1, XP_031783907.1, XP_031777109.1, XP_031784231.1, XP_031783006.1, XP_031778443.1, XP_008218039.1, XP_031777964.1, XP_031789120.1, XP_031788733.1, XP_031777472.1, XP_031784229.1, XP_031777963.1, XP_032457383.1, XP_008213165.2, XP_008213166.2, XP_031784230.1, XP_031777957.1, XP_008213161.2, XP_031789087.1, XP_008213162.2, XP_031785918.1, XP_016845091.1
OG0000012	Lflavo2a004730P1	NP_001164459.1, XP_031786732.1, XP_031786733.1, NP_001177534.1, XP_031786757.1, NP_001177531.1, XP_031786755.1, NP_001177530.1, NP_001177532.1, XP_016841006.1, NP_001177536.1, NP_001177533.1, XP_031786756.1, NP_001177535.1, XP_031786758.1
OG0000012	Lflavo2a009509P1, Lflavo2a013167P1, Lflavo2a013147P1, Lflavo2a013139P1, Lflavo2a013165P1	NP_001164395.1, NP_001164394.1, XP_032453628.1
OG0000012	Lflavo2a009551P1	NP_001164396.1, NP_001177516.1, XP_031784324.1, NP_001177517.1, NP_001177699.1, XP_031784308.1, XP_031785566.2, XP_032454874.1, NP_001177512.1, NP_001177515.1, XP_031784322.1, XP_031784323.1, NP_001177514.1, NP_001177513.1, NP_001164398.1, XP_031785042.1, XP_031785567.2, NP_001164399.1, XP_031784319.1
OG0000013	Lflavo2a012256P1	XP_031780519.1, XP_031780520.1, XP_031780521.1, XP_031780522.1, XP_031780523.1, XP_032452652.1, XP_032452653.1, XP_032452654.1, XP_032452655.1, XP_032452656.1, XP_032452661.1, XP_032452662.1, XP_032452660.1, XP_032452663.1, XP_031780531.1, XP_032452659.1, XP_032452664.1, XP_032452665.1, XP_031780525.1, XP_032452658.1, XP_031780529.1, XP_031780517.1, XP_031780516.1, XP_031780526.1, XP_031780527.1, XP_031780528.1, XP_031780513.1, XP_031780514.1, XP_031780515.1, XP_031780536.1, XP_031780537.1, XP_031780518.1, XP_031780532.1, XP_031780530.1
OG0000014	Lflavo2a005359P21, Lflavo2a005359P28, Lflavo2a005359P24, Lflavo2a005359P16, Lflavo2a005359P22, Lflavo2a005359P19, Lflavo2a005359P4, Lflavo2a005359P25, Lflavo2a005359P18, Lflavo2a005359P12, Lflavo2a005359P11, Lflavo2a005359P30, Lflavo2a005359P10, Lflavo2a005359P5, Lflavo2a005359P23, Lflavo2a005359P2, Lflavo2a005359P1, Lflavo2a005359P31, Lflavo2a005359P14, Lflavo2a005359P13, Lflavo2a005359P26, Lflavo2a005359P20, Lflavo2a005359P7, Lflavo2a005359P29, Lflavo2a005359P6, Lflavo2a005359P3, Lflavo2a005359P15, Lflavo2a005359P27, Lflavo2a005359P17, Lflavo2a005359P9, Lflavo2a005359P8	XP_032456190.1, XP_031788599.1, XP_016841736.2, XP_031788600.1, XP_031788594.1, XP_031788593.1, XP_032456183.1, XP_032456184.1, XP_032456188.1, XP_031788597.1, XP_031788598.1, XP_032456189.1, XP_032456193.1, XP_032456192.1, XP_032456185.1, XP_032456186.1, XP_032456187.1, XP_031788591.1, XP_031788592.1, XP_031788596.1, XP_032456182.1, XP_031788590.1, XP_031788595.1, XP_031788601.1, XP_032456191.1
OG0000015	Lflavo2a007470P1, Lflavo2a007470P2, Lflavo2a007470P3, Lflavo2a007470P4	XP_032454348.1, XP_032454349.1, XP_032454351.1, XP_031783565.2, XP_032454354.1, XP_031783564.2, XP_031783561.2, XP_032454358.1, XP_032454355.1, XP_032454356.1, XP_032454364.1, XP_032454365.1, XP_032454360.1, XP_032454359.1, XP_032454361.1, XP_031783575.2, XP_032454357.1, XP_031783562.2, XP_032454345.1, XP_031783563.2, XP_031783560.2, XP_032454347.1, XP_031783567.1, XP_031783568.1, XP_031783569.1, XP_031783570.1, XP_031783571.1, XP_031783572.1, XP_032454350.1, XP_031783566.1, XP_031783574.2, XP_031783573.2, XP_032454352.1, XP_032454353.1, XP_032454362.1
OG0000016	Lflavo2a002947P1	XP_032455932.1, XP_032455930.1, XP_032455926.1, XP_032455928.1, XP_031787451.1, XP_031787452.1, XP_032455935.1, XP_032455936.1, XP_031787459.1, XP_032455938.1, XP_032455931.1, XP_032455934.1, XP_031787455.1, XP_032455929.1, XP_032455933.1, XP_032455937.1, XP_031787458.1, NP_001159940.1, XP_031787441.1, XP_031787443.1, XP_032455915.1, XP_031787444.1, XP_032455913.1, XP_032455914.1, XP_031787445.1, XP_032455918.1, XP_032455920.1, XP_032455917.1, XP_032455919.1, XP_031787449.1, XP_032455922.1, XP_032455942.1, XP_031787463.1, XP_031787462.1, XP_032455941.1, NP_001159939.1, XP_031787453.1, XP_031787454.1, XP_032455940.1, XP_032455939.1, NP_001159942.1, XP_031787460.1, XP_031787461.1, XP_031787446.1, XP_031787448.1, XP_031787447.1, NP_001159941.1
OG0000017	Lflavo2a009956P9, Lflavo2a009956P20, Lflavo2a009956P19, Lflavo2a009956P21, Lflavo2a009956P27, Lflavo2a009956P4, Lflavo2a009956P24, Lflavo2a009956P2, Lflavo2a009956P23, Lflavo2a009956P22, Lflavo2a009956P25, Lflavo2a009956P10, Lflavo2a009956P12, Lflavo2a009956P18, Lflavo2a009956P26, Lflavo2a009956P28, Lflavo2a009956P14, Lflavo2a009956P15, Lflavo2a009956P1, Lflavo2a009956P16, Lflavo2a009956P8, Lflavo2a009956P13, Lflavo2a009956P5, Lflavo2a009956P3, Lflavo2a009956P17, Lflavo2a009956P11, Lflavo2a009956P7, Lflavo2a009956P6	XP_016839151.1, XP_031782707.1, XP_031782701.1, XP_031782715.1, XP_031782712.1, XP_032454461.1, XP_032454463.1, XP_031782711.1, XP_031782718.1, XP_032454462.1, XP_031782714.1, XP_031782702.1, XP_031782708.1, XP_032454458.1, XP_031782703.1, XP_031782700.1, XP_031782698.1, XP_031782699.1, XP_032454452.1
OG0000018	Lflavo2a007270P15, Lflavo2a007270P9, Lflavo2a007270P7, Lflavo2a007270P13, Lflavo2a007270P14, Lflavo2a007270P3, Lflavo2a007270P20, Lflavo2a007270P11, Lflavo2a007270P8, Lflavo2a007270P16, Lflavo2a007270P19, Lflavo2a007270P1, Lflavo2a007270P18, Lflavo2a007270P2, Lflavo2a007270P6, Lflavo2a007270P10, Lflavo2a007270P5, Lflavo2a007270P21, Lflavo2a007270P17, Lflavo2a007270P4, Lflavo2a007270P12	XP_031778854.1, XP_031778848.1, XP_031778846.1, XP_032452922.1, XP_031778855.1, XP_032452924.1, XP_031778850.1, XP_031778851.1, XP_031778853.1, XP_032452925.1, XP_032452926.1, XP_032452931.1, XP_032452928.1, XP_031778857.1, XP_032452934.1, XP_031778863.1, XP_032452936.1, XP_032452935.1, XP_032452933.1, XP_032452929.1, XP_031778845.1, XP_031778847.1, XP_031778849.1, XP_032452939.1, XP_032452940.1, XP_032452938.1, XP_031778864.1, XP_031778862.1, XP_032452937.1, XP_031778858.1, XP_031778859.1, XP_032452932.1, XP_032452930.1, XP_032452927.1, XP_031778856.1, XP_031778852.1
OG0000019	Lflavo2a003118P12, Lflavo2a003118P14, Lflavo2a003118P4, Lflavo2a003118P10, Lflavo2a003118P2, Lflavo2a003118P15, Lflavo2a003118P18, Lflavo2a003118P11, Lflavo2a003118P16, Lflavo2a003118P1, Lflavo2a003118P8, Lflavo2a003118P19, Lflavo2a003118P6, Lflavo2a003118P7, Lflavo2a003118P9, Lflavo2a003118P13, Lflavo2a003118P5, Lflavo2a003118P17, Lflavo2a003118P3	XP_016841374.1, XP_008206948.1, XP_016841371.1, XP_016841364.1, XP_016841366.1, XP_016841367.1, XP_031786902.1, XP_008206936.1, XP_032456752.1, XP_032456751.1, XP_016841379.1, XP_016841377.1, XP_032456749.1, XP_016841368.1, XP_032456750.1, XP_016841372.1, XP_016841369.1, XP_016841376.1, XP_008206954.1
OG0000020	Lflavo2a010481P1, Lflavo2a013254P1, Lflavo2a010369P1	NP_001352146.1, NP_001165987.1, XP_016841077.1, XP_016841105.1, XP_031777513.1, XP_032456418.1, NP_001165985.1, XP_016840411.1, NP_001165934.1, NP_001165938.1, XP_031781916.1, XP_031781917.1, XP_001599734.2, XP_031788807.1, NP_001165935.1, XP_001601822.2, NP_001165932.1, XP_008213359.1, NP_001165981.1, NP_001165982.1, NP_001164374.1, XP_008202891.1, XP_008202892.1, XP_008202893.1, XP_032458147.1, XP_032458148.1, NP_001165978.1, XP_031783038.1, XP_032453606.1, XP_032453608.1, XP_032453609.1
OG0000021	Lflavo2a006232P1	XP_032458164.1, XP_032458165.1, XP_032458167.1, XP_031777672.1, XP_032458162.1, XP_032458160.1, XP_032458168.1, XP_031777661.1, XP_031777675.1, XP_031777677.1, XP_031777674.1, XP_031777676.1, XP_032458166.1, XP_032458163.1, XP_032458159.1, XP_032458161.1, XP_032458153.1, XP_032458154.1, XP_032458155.1, XP_032458156.1, XP_032458157.1, XP_032458158.1
OG0000022	Lflavo2a003232P1	XP_032455950.1, XP_031787467.1, NP_001135433.1, XP_031787468.1, XP_031787474.1, XP_031787470.1, XP_031787476.1, XP_031787471.1, XP_031787469.1, XP_031787473.1, XP_031787472.1, XP_032455953.1, XP_032455951.1, XP_032455952.1
OG0000023	Lflavo2a012513P1, Lflavo2a012513P2	XP_032455071.1, XP_032455072.1, XP_032455073.1, XP_031784942.1, XP_031784945.1, XP_031784944.1, XP_031784946.1, XP_031784948.1, XP_032455070.1, XP_031784940.1, XP_031784943.1, XP_032455068.1, XP_032455069.1, XP_031784947.1, XP_031784939.1, XP_032455067.1, XP_031784936.1, XP_031784937.1, XP_031784954.1, XP_031784950.1, XP_031784951.1, XP_031784952.1, XP_031784953.1, XP_031784956.1, XP_031784938.1, XP_031784949.1
OG0000024	Lflavo2a011600P1	XP_031776969.1, XP_031776968.1, XP_031776967.1, XP_031776965.1, XP_031776964.1, XP_008212870.1, XP_032451629.1, XP_032451630.1, XP_008212871.1, XP_008212873.1, XP_031776971.1, XP_032451631.1, XP_031776966.1, XP_031776972.1, XP_008212879.1, XP_016844384.1, XP_016844383.1, XP_016844382.1
OG0000025	Lflavo2a006559P16, Lflavo2a006559P25, Lflavo2a006559P18, Lflavo2a006559P24, Lflavo2a006559P8, Lflavo2a006559P5, Lflavo2a006559P15, Lflavo2a006559P27, Lflavo2a006559P23, Lflavo2a006559P22, Lflavo2a006559P1, Lflavo2a006559P4, Lflavo2a006559P7, Lflavo2a006559P6, Lflavo2a006559P10, Lflavo2a006559P14, Lflavo2a006559P9, Lflavo2a006559P28, Lflavo2a006559P26, Lflavo2a006559P17, Lflavo2a006559P19, Lflavo2a006559P2, Lflavo2a006559P12, Lflavo2a006559P3, Lflavo2a006559P21, Lflavo2a006559P11, Lflavo2a006559P13, Lflavo2a006559P20	XP_032454047.1, XP_008204000.1, XP_031782672.1, XP_031782673.1, XP_032454048.1, XP_008203991.1, XP_008203992.1, XP_008203993.1, XP_008203995.1, XP_008203996.1, XP_008203997.1, XP_008203999.1, XP_008204001.1, XP_031782674.1, XP_031782675.1, XP_032454049.1, XP_032454050.1, XP_032454051.1
OG0000027	Lflavo2a004115P5, Lflavo2a004115P3, Lflavo2a004115P7, Lflavo2a004115P2, Lflavo2a004115P6, Lflavo2a004115P1, Lflavo2a004115P4, Lflavo2a004115P12, Lflavo2a004115P15, Lflavo2a004115P8, Lflavo2a004115P18, Lflavo2a004115P11, Lflavo2a004115P14, Lflavo2a004115P13, Lflavo2a004115P9, Lflavo2a004115P17, Lflavo2a004115P10, Lflavo2a004115P16	XP_031777699.1, XP_031777698.1, XP_016836696.1, XP_016836694.1, XP_032452710.1, XP_031777696.1, XP_032452718.1, XP_032452716.1, XP_016836697.1, XP_031777697.1, XP_008203047.1, XP_016836698.1, XP_008203046.1, XP_016836693.1, XP_016836695.1, XP_032452717.1
OG0000028	Lflavo2a001284P1, Lflavo2a001290P1	XP_031778285.1, XP_031778286.1, XP_031778287.1, XP_032457346.1, XP_032457347.1, XP_031778282.1, XP_031778284.1, XP_031778283.1, XP_031778281.1, XP_031778280.1, XP_031778279.1
OG0000029	Lflavo2a001236P1	XP_003424487.2
OG0000030	Lflavo2a011367P1, Lflavo2a011455P1	XP_001602620.2, XP_016838593.1, XP_016838594.1, XP_032454075.1, XP_032454076.1, XP_032454077.1, XP_032454072.1, XP_032454073.1, XP_032454074.1, XP_031783241.2, XP_032454071.1, XP_008216585.2, XP_031783791.1, XP_031777606.1, XP_016840785.1, XP_031777603.1, XP_031777604.1, XP_008213182.2, XP_016840775.1
OG0000030	Lflavo2a006907P1	XP_016841509.1, XP_003424417.1, XP_031783474.1
OG0000030	Lflavo2a010641P1	XP_008211135.2, XP_031776844.1, XP_008206500.1, XP_031783511.1, XP_016839047.1, XP_031783500.1
OG0000031	Lflavo2a013919P8, Lflavo2a013919P9, Lflavo2a013919P5, Lflavo2a013919P6, Lflavo2a013919P2, Lflavo2a013919P3, Lflavo2a013919P4, Lflavo2a013919P7	XP_032454590.1, XP_031782296.1, XP_031782287.1, XP_031782285.1, XP_031782286.1, XP_032454585.1, XP_031782292.1, XP_008214288.1, XP_008214291.1, XP_032454589.1, XP_032454588.1, XP_031782290.1, XP_031782284.1, XP_016839328.1, XP_016839331.1, XP_032454586.1, XP_031782288.1, XP_031782289.1, XP_008214292.1, XP_031782291.1, XP_031782293.1, XP_031782294.1, XP_031782295.1, XP_008214293.1, XP_008214294.1, XP_032454583.1, XP_032454584.1, XP_032454587.1
OG0000032	Lflavo2a010002P8, Lflavo2a010002P6, Lflavo2a010002P5, Lflavo2a010002P11, Lflavo2a010002P13, Lflavo2a010002P12, Lflavo2a010002P9, Lflavo2a010002P3, Lflavo2a010002P2, Lflavo2a010002P4, Lflavo2a010002P1	XP_031788313.1, XP_031788310.1, XP_032456224.1, XP_031788305.1, XP_031788308.1, XP_031788302.1, XP_031788304.1, XP_016842322.1, XP_031788303.1, XP_016842319.1, XP_031788311.1, XP_016842305.1, XP_032456220.1, XP_032456221.1, XP_031788307.1, XP_031788309.1, XP_031788306.1, XP_032456223.1
OG0000033	Lflavo2a013055P1	XP_031789493.1, XP_031789492.1, XP_031789491.1, XP_031789490.1, XP_031789483.1, XP_031789486.1, XP_031789484.1, XP_031789485.1, XP_031789487.1, XP_031789489.1, XP_031789488.1
OG0000033	Lflavo2a013044P1, Lflavo2a013041P1	XP_031789475.1, XP_031789472.1, XP_031789476.1, XP_008212279.1, XP_008212280.1, XP_031789471.1, XP_032454823.1
OG0000034	Lflavo2a000556P1	XP_031776875.1, XP_032457232.1, XP_031776889.1, XP_031776919.1, XP_031776914.1, XP_031776927.1, XP_031776907.1, XP_031776885.1, XP_031776879.1, XP_031776873.1, XP_031776904.1, XP_031776881.1, XP_031776925.1, XP_031776915.1, XP_031776896.1, XP_031776883.1, XP_031776867.1, XP_031776842.1, XP_031776838.1, XP_031776853.1, XP_032457230.1, XP_031776857.1, XP_032457229.1, XP_032457231.1, XP_031776856.1, XP_031776850.1, XP_031776859.1, XP_031776846.1
OG0000035	Lflavo2a004522P1	NP_001165998.1, NP_001165997.1, XP_001599361.4, NP_001165995.1, NP_001165996.1
OG0000035	Lflavo2a009458P1	NP_001165945.1, NP_001166016.1, XP_031788638.1, NP_001166017.1, XP_031788634.1, XP_031788635.1, XP_031788637.1, XP_032456865.1
OG0000035	Lflavo2a005865P1, Lflavo2a005878P1	XP_001608022.1, NP_001166013.1, NP_001165942.1, XP_003423799.1, XP_003423800.1, XP_001603857.1, XP_001608016.1, XP_001608020.1, XP_032456883.1, NP_001166012.1, NP_001166011.1, NP_001166009.1, NP_001166010.1
OG0000036	Lflavo2a000915P1, Lflavo2a000944P1, Lflavo2a000944P2, Lflavo2a000944P3	XP_008216345.2, XP_032452056.1, XP_032452057.1, XP_008216340.1, XP_032452054.1, XP_032452055.1, XP_008216346.1, XP_032452052.1, XP_032452059.1, XP_032452060.1, XP_032452058.1
OG0000037	Lflavo2a000631P1, Lflavo2a003783P1, Lflavo2a003801P1	NP_001177480.1, NP_001177481.1, XP_016841000.2, XP_016841001.2, NP_001177479.1, NP_001177483.1, NP_001177485.1, XP_032455990.1, NP_001177484.1, XP_016841002.1, NP_001177473.1, NP_001177468.1, NP_001177472.1, NP_001177470.1, XP_032455989.1, NP_001177469.1, XP_032455987.1, XP_032456565.1, XP_032456566.1, NP_001177471.1, NP_001177474.1, NP_001177475.1, NP_001177476.1, NP_001177478.1, NP_001177482.1, NP_001177477.1, XP_031786746.1
OG0000038	Lflavo2a011957P11, Lflavo2a011957P4, Lflavo2a011957P1, Lflavo2a011957P9, Lflavo2a011957P10, Lflavo2a011957P5, Lflavo2a011957P3, Lflavo2a011957P7, Lflavo2a011957P13	XP_031781128.1, XP_031781127.1, XP_031781124.1, XP_032457462.1, XP_032457463.1, XP_031781121.1, XP_032457461.1, XP_031781119.1, XP_031781125.1, XP_031781126.1, XP_031781122.1, XP_031781117.1, XP_031781118.1, XP_031781120.1, XP_032457460.1
OG0000039	Lflavo2a013627P1, Lflavo2a013627P2, Lflavo2a013627P3, Lflavo2a013627P8, Lflavo2a013627P4, Lflavo2a013627P13, Lflavo2a013627P14, Lflavo2a013627P18, Lflavo2a013627P20, Lflavo2a013627P21, Lflavo2a013627P5, Lflavo2a013627P12, Lflavo2a013627P26, Lflavo2a013627P28, Lflavo2a013627P25, Lflavo2a013627P11, Lflavo2a013627P9, Lflavo2a013627P19, Lflavo2a013627P6, Lflavo2a013627P7, Lflavo2a013627P22, Lflavo2a013627P10, Lflavo2a013627P23, Lflavo2a013627P16, Lflavo2a013627P27, Lflavo2a013627P24, Lflavo2a013627P15, Lflavo2a013627P17	XP_032453461.1, XP_032453457.1, XP_032453443.1, XP_032453444.1, XP_032453445.1, XP_032453455.1, XP_032453451.1, XP_032453449.1, XP_032453462.1, XP_032453460.1, XP_032453454.1, XP_032453452.1, XP_032453447.1, XP_032453458.1, XP_032453448.1, XP_001601630.2, XP_032453446.1, XP_032453450.1, XP_032453456.1, XP_032453459.1
OG0000040	Lflavo2a012991P14, Lflavo2a012991P2, Lflavo2a012991P11, Lflavo2a012991P8, Lflavo2a012991P9, Lflavo2a012991P6, Lflavo2a012991P12, Lflavo2a012991P4, Lflavo2a012991P1, Lflavo2a012991P5, Lflavo2a012991P3, Lflavo2a012991P10, Lflavo2a012991P7	XP_016842681.1, XP_016842683.1, XP_031788834.1, XP_016842678.1, XP_016842676.1, XP_016842680.1, XP_031788833.1, XP_016842677.1, XP_016842682.1, XP_032456576.1, XP_032456577.1, XP_016842679.1, XP_031788835.1, XP_016842684.1
OG0000041	Lflavo2a002885P10, Lflavo2a002885P9, Lflavo2a002885P8, Lflavo2a002885P4, Lflavo2a002885P3, Lflavo2a002885P7, Lflavo2a002885P2, Lflavo2a002885P1, Lflavo2a002885P6, Lflavo2a002885P5, Lflavo2a002885P11	XP_031780090.1, XP_032453427.1, XP_032453428.1, XP_031780084.1, XP_031780075.1, XP_031780076.1, XP_031780077.1, XP_031780078.1, XP_031780079.1, XP_031780086.1, XP_032453424.1, XP_032453425.1, XP_032453426.1, XP_031780083.1, XP_032453423.1, XP_031780081.1, XP_031780092.1, XP_031780089.1, XP_031780094.1, XP_031780095.1, XP_031780093.1, XP_031780088.1, XP_031780087.1, XP_032453429.1, XP_031780091.1, XP_031780082.1, XP_031780080.1
