Orthogroup	Liostenogaster_flavolineata	Apis_mellifera
OG0000009	Lflavo2a011938P1	NP_001229900.1
OG0000009	Lflavo2a011959P1	NP_001229895.1, XP_003250726.1
OG0000009	Lflavo2a011971P1	NP_001229899.1, XP_006565887.1, XP_026302133.1, XP_006565890.1, NP_001229896.1, XP_016773454.2, XP_003250765.1, XP_016773538.1, XP_006565947.2, XP_001121659.1, XP_006565948.1
OG0000009	Lflavo2a011983P1, Lflavo2a011944P1	XP_026302143.1, NP_001229905.1, XP_026302144.1, NP_001229906.1, NP_001229907.1, XP_006565966.1, XP_026294763.1
OG0000012	Lflavo2a008554P1	XP_003250826.2
OG0000012	Lflavo2a009509P1, Lflavo2a013167P1, Lflavo2a013147P1, Lflavo2a013139P1, Lflavo2a013165P1	XP_016771361.2, XP_026300643.1, XP_026300644.1, XP_016771366.1, XP_026300578.1, XP_026300642.1
OG0000012	Lflavo2a009551P1	XP_016771362.2
OG0000013	Lflavo2a012256P1	XP_026294919.1, XP_026294921.1, XP_026294923.1, XP_026294926.1, XP_026294929.1, XP_026294933.1, XP_026294889.1, XP_026294975.1, XP_026294978.1, XP_026294885.1, XP_026294897.1, XP_026294899.1, XP_026294900.1, XP_026294904.1, XP_026294944.1, XP_026294948.1, XP_026294947.1, XP_026294958.1, XP_026294913.1, XP_026294962.1, XP_026294967.1, XP_026294940.1, XP_026294955.1, XP_026294910.1, XP_026294914.1, XP_026294906.1, XP_026294911.1
OG0000014	Lflavo2a005359P21, Lflavo2a005359P28, Lflavo2a005359P24, Lflavo2a005359P16, Lflavo2a005359P22, Lflavo2a005359P19, Lflavo2a005359P4, Lflavo2a005359P25, Lflavo2a005359P18, Lflavo2a005359P12, Lflavo2a005359P11, Lflavo2a005359P30, Lflavo2a005359P10, Lflavo2a005359P5, Lflavo2a005359P23, Lflavo2a005359P2, Lflavo2a005359P1, Lflavo2a005359P31, Lflavo2a005359P14, Lflavo2a005359P13, Lflavo2a005359P26, Lflavo2a005359P20, Lflavo2a005359P7, Lflavo2a005359P29, Lflavo2a005359P6, Lflavo2a005359P3, Lflavo2a005359P15, Lflavo2a005359P27, Lflavo2a005359P17, Lflavo2a005359P9, Lflavo2a005359P8	XP_006560435.2, XP_006560432.2, XP_006560425.2, XP_016771268.2, XP_006560433.2, XP_006560434.2, XP_006560431.2, XP_006560427.2, XP_006560428.2, XP_016771269.2, XP_006560429.2, XP_016771270.2, XP_016771271.2, XP_006560423.2, XP_391976.5, XP_006560424.2
OG0000015	Lflavo2a007470P1, Lflavo2a007470P2, Lflavo2a007470P3, Lflavo2a007470P4	XP_016767175.1, XP_016767174.1, XP_016767177.1, XP_016767170.1, XP_016767176.1, XP_016767171.1, XP_016767172.1, XP_016767173.1, XP_016767166.1, XP_016767167.1, XP_016767169.1, XP_016767168.1, XP_016767165.1, XP_006569416.1, XP_016767164.1, XP_026295967.1, XP_026295968.1, XP_026295969.1, XP_026295970.1
OG0000016	Lflavo2a002947P1	XP_006570109.1, XP_006570110.1, XP_006570111.1, XP_006570112.1, XP_006570113.1, XP_016773306.1, XP_006570125.1, XP_006570126.1, XP_006570127.1, XP_006570117.1, XP_006570118.1, XP_016773307.1, XP_016773308.1, XP_026297364.1, XP_006570124.1, XP_006570122.1, XP_006570116.1, XP_006570123.1, XP_006570121.1, XP_006570129.1, XP_006570130.1, XP_006570128.1, XP_623392.3, XP_006570114.1, XP_006570115.1, XP_623116.3
OG0000017	Lflavo2a009956P9, Lflavo2a009956P20, Lflavo2a009956P19, Lflavo2a009956P21, Lflavo2a009956P27, Lflavo2a009956P4, Lflavo2a009956P24, Lflavo2a009956P2, Lflavo2a009956P23, Lflavo2a009956P22, Lflavo2a009956P25, Lflavo2a009956P10, Lflavo2a009956P12, Lflavo2a009956P18, Lflavo2a009956P26, Lflavo2a009956P28, Lflavo2a009956P14, Lflavo2a009956P15, Lflavo2a009956P1, Lflavo2a009956P16, Lflavo2a009956P8, Lflavo2a009956P13, Lflavo2a009956P5, Lflavo2a009956P3, Lflavo2a009956P17, Lflavo2a009956P11, Lflavo2a009956P7, Lflavo2a009956P6	XP_006570659.1, XP_016768423.1, XP_026296783.1
OG0000018	Lflavo2a007270P15, Lflavo2a007270P9, Lflavo2a007270P7, Lflavo2a007270P13, Lflavo2a007270P14, Lflavo2a007270P3, Lflavo2a007270P20, Lflavo2a007270P11, Lflavo2a007270P8, Lflavo2a007270P16, Lflavo2a007270P19, Lflavo2a007270P1, Lflavo2a007270P18, Lflavo2a007270P2, Lflavo2a007270P6, Lflavo2a007270P10, Lflavo2a007270P5, Lflavo2a007270P21, Lflavo2a007270P17, Lflavo2a007270P4, Lflavo2a007270P12	XP_026295529.1, XP_016766768.1, XP_016766769.1, XP_006564007.1, XP_006564012.1, XP_006564008.1, XP_006564011.1, XP_006564014.1, XP_006564015.1, XP_006564017.1, XP_006564016.1, XP_006564013.1, XP_006564010.1, XP_006564006.1
OG0000019	Lflavo2a003118P12, Lflavo2a003118P14, Lflavo2a003118P4, Lflavo2a003118P10, Lflavo2a003118P2, Lflavo2a003118P15, Lflavo2a003118P18, Lflavo2a003118P11, Lflavo2a003118P16, Lflavo2a003118P1, Lflavo2a003118P8, Lflavo2a003118P19, Lflavo2a003118P6, Lflavo2a003118P7, Lflavo2a003118P9, Lflavo2a003118P13, Lflavo2a003118P5, Lflavo2a003118P17, Lflavo2a003118P3	XP_026301479.1
OG0000020	Lflavo2a010481P1, Lflavo2a013254P1	XP_006564430.1
OG0000021	Lflavo2a006232P1	XP_006569159.2, XP_006569160.3, XP_026295046.1, XP_026295044.1, XP_026295040.1, XP_026295033.1, XP_026295038.1, XP_026295043.1, XP_026295036.1, XP_026295037.1, XP_026295042.1, XP_026295045.1, XP_026295031.1, XP_026295034.1, XP_026295032.1, XP_026295041.1, XP_006569173.3, XP_006569176.3, XP_006569178.3, XP_006569167.3, XP_006569170.3, XP_006569174.3, XP_026295035.1, XP_026295039.1, XP_016766239.2, XP_016766240.2, XP_016766242.2, XP_016766233.2, XP_016766235.2, XP_016766236.2, XP_016766237.2, XP_016766246.2, XP_016766250.2, XP_016766231.2, XP_016766234.2, XP_026295030.1, XP_016766238.2, XP_016766244.2
OG0000022	Lflavo2a003232P1	XP_026298685.1, XP_026298669.1, XP_026298683.1, XP_026298703.1, XP_026298678.1, XP_026298696.1, XP_026298682.1, XP_026298695.1, XP_026298676.1, XP_026298684.1, XP_026298694.1, XP_026298675.1, XP_026298700.1, XP_026298701.1, XP_026298699.1, XP_026298677.1, XP_026298704.1, XP_026298690.1, XP_026298667.1, XP_026298674.1, XP_026298680.1, XP_026298681.1, XP_026298688.1, XP_026298692.1
OG0000023	Lflavo2a012513P1, Lflavo2a012513P2	XP_026300329.1, XP_026300328.1, XP_026300319.1, XP_026300323.1, XP_026300326.1, NP_001098419.1, XP_016771164.1, XP_026300322.1, XP_026300342.1, XP_026300325.1, XP_026300317.1, XP_026300318.1, XP_026300339.1, XP_026300316.1, XP_026300314.1, XP_026300315.1, XP_026300340.1, XP_026300321.1, XP_006560352.1, XP_026300331.1, XP_026300332.1, XP_026300333.1, XP_026300334.1, XP_026300335.1, XP_026300336.1, XP_026300337.1, XP_026300338.1, XP_026300324.1, XP_026300327.1
OG0000024	Lflavo2a011600P1	XP_026297989.1, XP_026297990.1, XP_026297980.1, XP_026297981.1, XP_026297984.1, XP_026297983.1, XP_026297985.1, XP_026297986.1, XP_026297987.1, XP_026297991.1, XP_026297992.1, XP_026297988.1, XP_026297976.1, XP_026297977.1, XP_026297978.1, XP_026297979.1
OG0000025	Lflavo2a006559P16, Lflavo2a006559P25, Lflavo2a006559P18, Lflavo2a006559P24, Lflavo2a006559P8, Lflavo2a006559P5, Lflavo2a006559P15, Lflavo2a006559P27, Lflavo2a006559P23, Lflavo2a006559P22, Lflavo2a006559P1, Lflavo2a006559P4, Lflavo2a006559P7, Lflavo2a006559P6, Lflavo2a006559P10, Lflavo2a006559P14, Lflavo2a006559P9, Lflavo2a006559P28, Lflavo2a006559P26, Lflavo2a006559P17, Lflavo2a006559P19, Lflavo2a006559P2, Lflavo2a006559P12, Lflavo2a006559P3, Lflavo2a006559P21, Lflavo2a006559P11, Lflavo2a006559P13, Lflavo2a006559P20	XP_006562456.1, XP_006562457.1, XP_006562458.1, XP_026299889.1, XP_006562455.1, XP_006562454.1, XP_016770653.1, XP_016770654.1, XP_006562449.1, XP_006562450.1, XP_006562453.1
OG0000026	Lflavo2a006244P44	XP_026297109.1, XP_016768118.1, XP_026297111.1, XP_026297107.1, XP_026297104.1, XP_006564192.1, XP_006564190.1, XP_026297110.1, XP_006564195.1, XP_006564194.1, XP_006564191.1, XP_392425.4, XP_026297105.1, XP_026297108.1
OG0000027	Lflavo2a004115P5, Lflavo2a004115P3, Lflavo2a004115P7, Lflavo2a004115P2, Lflavo2a004115P6, Lflavo2a004115P1, Lflavo2a004115P4, Lflavo2a004115P12, Lflavo2a004115P15, Lflavo2a004115P8, Lflavo2a004115P18, Lflavo2a004115P11, Lflavo2a004115P14, Lflavo2a004115P13, Lflavo2a004115P9, Lflavo2a004115P17, Lflavo2a004115P10, Lflavo2a004115P16	XP_016766791.1, XP_016766778.1, XP_006570800.1, XP_006570801.1, XP_006570803.1, XP_006570804.1, XP_006570805.1, XP_006570807.1, XP_016766772.1, XP_006570797.1, XP_006570795.1, XP_006570798.1, XP_016766788.1, XP_006570794.1, XP_006570814.1, XP_006570796.1, XP_006570811.1, XP_006570812.1, XP_026296586.1, XP_026296595.1
OG0000028	Lflavo2a001284P1, Lflavo2a001290P1	XP_026298199.1, XP_026298200.1, XP_026298202.1, XP_026298201.1, XP_026298203.1, XP_026298177.1, XP_026298178.1, XP_026298182.1, XP_026298183.1, XP_026298173.1, XP_026298175.1, XP_026298174.1, XP_026298172.1, XP_026298195.1, XP_026298204.1, XP_026298198.1, XP_026298196.1, XP_026298194.1, XP_026298179.1, XP_026298188.1, XP_026298197.1, XP_026298192.1, XP_026298176.1, XP_026298184.1, XP_026298185.1, XP_026298187.1, XP_026298180.1, XP_026298189.1, XP_026298186.1, XP_026298193.1, XP_026298190.1, XP_026298191.1, XP_026298181.1
OG0000030	Lflavo2a006907P1	XP_394827.4
OG0000030	Lflavo2a010641P1	XP_006564437.1, XP_026299702.1, XP_026299703.1
OG0000031	Lflavo2a013919P8, Lflavo2a013919P9, Lflavo2a013919P5, Lflavo2a013919P6, Lflavo2a013919P2, Lflavo2a013919P3, Lflavo2a013919P4, Lflavo2a013919P7	XP_006568957.2, XP_006568956.2, XP_006568958.2, XP_006568953.2, XP_006568954.2, XP_006568944.2, XP_006568945.2, XP_006568950.2, XP_006568948.2, XP_392202.5, XP_026295071.1, XP_006568947.2, XP_006568952.2, XP_016773586.2, XP_026295072.1, XP_006568961.2, XP_006568949.2
OG0000032	Lflavo2a010002P8, Lflavo2a010002P6, Lflavo2a010002P5, Lflavo2a010002P11, Lflavo2a010002P13, Lflavo2a010002P12, Lflavo2a010002P9, Lflavo2a010002P3, Lflavo2a010002P2, Lflavo2a010002P4, Lflavo2a010002P1	XP_026295078.1, XP_026295077.1, XP_026295075.1, XP_026295076.1, XP_006569073.1, XP_006569074.1, XP_006569067.1, XP_016766362.2, XP_016766364.2, XP_006569066.1
OG0000033	Lflavo2a013055P1	XP_026297617.1, XP_026297612.1, XP_026297620.1, XP_026297598.1, XP_026297597.1, XP_026297600.1, XP_026297593.1, XP_026297595.1, XP_026297601.1, XP_026297607.1, XP_026297613.1, XP_026297602.1, XP_026297594.1, XP_026297592.1, XP_026297599.1, XP_026297596.1, XP_026297610.1, XP_026297603.1, XP_026297604.1, XP_026297605.1, XP_026297606.1, XP_026297608.1, XP_026297609.1, XP_026297614.1, XP_026297615.1, XP_026297616.1, XP_026297618.1
OG0000033	Lflavo2a013044P1, Lflavo2a013041P1	XP_026297619.1
OG0000034	Lflavo2a000556P1	XP_006564711.2, XP_006564715.2, XP_006564712.2, XP_006564714.2, XP_026297877.1, XP_006564710.2, XP_006564692.2, XP_006564689.2, XP_006564693.2, XP_026297874.1, XP_006564690.2, XP_006564699.2, XP_006564704.2, XP_006564705.2, XP_006564706.2, XP_006564688.2, XP_006564707.2, XP_006564695.2, XP_006564701.2, XP_006564703.2, XP_006564691.2, XP_006564696.2, XP_006564697.2, XP_006564694.2, XP_006564685.2, XP_006564686.2, XP_006564687.2, XP_006564698.2
OG0000035	Lflavo2a004522P1	NP_001191991.1, XP_016770827.2, XP_006566904.2, XP_006566905.2
OG0000035	Lflavo2a009458P1	XP_006562365.2
OG0000035	Lflavo2a005865P1, Lflavo2a005878P1	XP_006562364.1, XP_006562363.1, XP_392000.1
OG0000036	Lflavo2a000915P1, Lflavo2a000944P1, Lflavo2a000944P2, Lflavo2a000944P3	XP_006557675.1, XP_016770950.1, XP_016770951.1, XP_016770952.1, XP_006557676.1, XP_006557677.1, XP_016770948.1, XP_006557674.1, XP_006557663.1, XP_006557670.1, XP_026300251.1, XP_016770944.1, XP_026300250.1, XP_006557659.1, XP_016770943.1, XP_016770945.1, XP_016770953.1, XP_006557669.1, XP_006557668.1, XP_006557662.1, XP_006557660.1
OG0000037	Lflavo2a000631P1	XP_016768966.2, XP_026300639.1
OG0000037	Lflavo2a003783P1, Lflavo2a003801P1	NP_001229918.1
OG0000038	Lflavo2a011957P11, Lflavo2a011957P4, Lflavo2a011957P1, Lflavo2a011957P9, Lflavo2a011957P10, Lflavo2a011957P5, Lflavo2a011957P3, Lflavo2a011957P7, Lflavo2a011957P13	XP_006564719.2, XP_016769105.2, XP_006564720.2, XP_006564722.2, XP_016769099.2, XP_016769102.2, XP_016769101.2, XP_016769100.2, XP_016769104.2, XP_016769098.2, XP_016769095.2, XP_016769096.2, XP_006564729.1, XP_016769106.1, XP_006564731.1, XP_016769103.2, XP_026298303.1, XP_006564728.2, XP_016769097.2, XP_016769093.2, XP_016769094.2, XP_026298302.1
OG0000039	Lflavo2a013627P1, Lflavo2a013627P2, Lflavo2a013627P3, Lflavo2a013627P8, Lflavo2a013627P4, Lflavo2a013627P13, Lflavo2a013627P14, Lflavo2a013627P18, Lflavo2a013627P20, Lflavo2a013627P21, Lflavo2a013627P5, Lflavo2a013627P12, Lflavo2a013627P26, Lflavo2a013627P28, Lflavo2a013627P25, Lflavo2a013627P11, Lflavo2a013627P9, Lflavo2a013627P19, Lflavo2a013627P6, Lflavo2a013627P7, Lflavo2a013627P22, Lflavo2a013627P10, Lflavo2a013627P23, Lflavo2a013627P16, Lflavo2a013627P27, Lflavo2a013627P24, Lflavo2a013627P15, Lflavo2a013627P17	XP_006569732.1, XP_006569729.1, XP_006569730.1, XP_006569731.1, XP_006569727.1, XP_026298950.1, XP_026298948.1, XP_026298949.1, XP_397567.2
OG0000040	Lflavo2a012991P14, Lflavo2a012991P2, Lflavo2a012991P11, Lflavo2a012991P8, Lflavo2a012991P9, Lflavo2a012991P6, Lflavo2a012991P12, Lflavo2a012991P4, Lflavo2a012991P1, Lflavo2a012991P5, Lflavo2a012991P3, Lflavo2a012991P10, Lflavo2a012991P7	XP_006571199.2, XP_006571214.2, XP_006571201.2, XP_016773499.2, XP_016773502.2, XP_016773508.2, XP_026301998.1, XP_026301980.1, XP_026301991.1, XP_026302002.1, XP_026301994.1, XP_026301973.1, XP_026301925.1, XP_026301959.1, XP_026301968.1, XP_026301978.1, XP_026301989.1, XP_026302003.1, XP_026301932.1, XP_026301972.1, XP_026301983.1
OG0000041	Lflavo2a002885P10, Lflavo2a002885P9, Lflavo2a002885P8, Lflavo2a002885P4, Lflavo2a002885P3, Lflavo2a002885P7, Lflavo2a002885P2, Lflavo2a002885P1, Lflavo2a002885P6, Lflavo2a002885P5, Lflavo2a002885P11	XP_006571721.1, XP_026298018.1, XP_006571713.1, XP_006571711.1, XP_006571712.1, XP_006571710.1, XP_006571722.1, XP_006571724.1, XP_006571716.1, XP_006571715.1, XP_016771469.1, XP_006571714.1, XP_006571718.1, XP_016771465.1, XP_026298055.1, XP_016771475.1, XP_026298058.1, XP_006571719.1, XP_006571720.1
OG0000042	Lflavo2a006215P1, Lflavo2a006217P1	XP_026301400.1, XP_026301401.1, XP_026301402.1, XP_026301399.1, XP_026301380.1, XP_026301390.1, XP_026301384.1, XP_026301388.1, XP_026301386.1, XP_026301394.1, XP_026301395.1, XP_026301397.1, XP_026301396.1, XP_026301398.1, XP_026301389.1, XP_026301393.1, XP_026301387.1, XP_026301381.1, XP_026301382.1, XP_026301383.1, XP_026301374.1, XP_026301378.1, XP_026301379.1, XP_026301373.1, XP_026301375.1, XP_026301376.1, XP_026301377.1, XP_026301391.1, XP_026301392.1, XP_026301385.1
OG0000043	Lflavo2a004456P12, Lflavo2a004456P2, Lflavo2a004456P1, Lflavo2a004456P8, Lflavo2a004456P10, Lflavo2a004456P11, Lflavo2a004456P20, Lflavo2a004456P21, Lflavo2a004456P5, Lflavo2a004456P7, Lflavo2a004456P14, Lflavo2a004456P16, Lflavo2a004456P6, Lflavo2a004456P4, Lflavo2a004456P9, Lflavo2a004456P3, Lflavo2a004456P19, Lflavo2a004456P15, Lflavo2a004456P17	XP_006571352.1, XP_016769793.1, XP_001122092.2, XP_016769806.1, XP_006571357.1, XP_006571356.1, XP_006571354.1, XP_026301222.1, XP_006571353.1, XP_006571358.1, XP_016769804.1, XP_006571351.1, XP_026301200.1
OG0000044	Lflavo2a007287P1	XP_026301008.1, XP_026301000.1, XP_026301001.1, XP_026301003.1, XP_026301006.1, XP_026301004.1, XP_026301005.1, XP_026300998.1, XP_026300999.1, XP_026300997.1, XP_026301010.1, XP_026301007.1, XP_026301009.1
OG0000045	Lflavo2a000779P1	XP_006566495.1, XP_006566509.1, XP_016770267.1
OG0000045	Lflavo2a000780P1	XP_006566499.1
OG0000046	Lflavo2a014282P1	XP_394762.4, XP_006568588.1, XP_006568590.1, XP_006568587.1, XP_006568589.1, XP_006568595.1, XP_016768879.1, XP_026298124.1, XP_006568597.2, XP_016768877.2, XP_006568605.1, XP_026298123.1
OG0000047	Lflavo2a003367P1, Lflavo2a003367P2, Lflavo2a003367P14, Lflavo2a003367P35, Lflavo2a003367P20, Lflavo2a003367P23, Lflavo2a003367P48, Lflavo2a003367P17, Lflavo2a003367P28, Lflavo2a003367P46, Lflavo2a003367P37, Lflavo2a003367P42, Lflavo2a003367P26, Lflavo2a003367P40, Lflavo2a003367P16, Lflavo2a003367P29, Lflavo2a003367P45, Lflavo2a003367P5, Lflavo2a003367P10, Lflavo2a003367P50, Lflavo2a003367P18, Lflavo2a003367P4, Lflavo2a003367P3, Lflavo2a003367P49, Lflavo2a003367P12, Lflavo2a003367P8, Lflavo2a003367P19, Lflavo2a003367P38, Lflavo2a003367P36, Lflavo2a003367P24, Lflavo2a003367P32, Lflavo2a003367P11, Lflavo2a003367P39, Lflavo2a003367P44, Lflavo2a003367P31, Lflavo2a003367P43, Lflavo2a003367P27, Lflavo2a003367P21	XP_026300731.1, XP_026300730.1, XP_026300729.1, XP_026300728.1, XP_026300727.1
OG0000049	Lflavo2a008078P1	NP_001139207.1, XP_026295237.1, XP_026295268.1, XP_026295297.1, XP_026295308.1
OG0000049	Lflavo2a004370P1	XP_026300303.1, XP_026300305.1, XP_026300307.1, XP_026300311.1, XP_026300313.1, XP_026300330.1, XP_026300320.1, XP_026300341.1, XP_026300300.1, XP_026300301.1, XP_026300302.1
OG0000050	Lflavo2a009334P3, Lflavo2a009334P1, Lflavo2a009334P2	XP_006571142.1, XP_006571132.1, XP_006571138.1, XP_006571139.1, XP_006571134.1, XP_001120893.2, XP_006571141.1, XP_016771015.1, XP_006571136.1, XP_006571137.1, XP_006571145.1, XP_006571144.1, XP_006571133.1, XP_006571135.1
OG0000051	Lflavo2a005093P4, Lflavo2a005093P5, Lflavo2a005093P3, Lflavo2a005093P2, Lflavo2a005093P1	XP_006568059.2, XP_006568055.2, XP_006568056.2, XP_016766672.2, XP_016766673.2, XP_006568058.2, XP_016766674.2
OG0000052	Lflavo2a004092P21, Lflavo2a004092P22, Lflavo2a004092P19, Lflavo2a004092P16, Lflavo2a004092P20, Lflavo2a004092P1, Lflavo2a004092P4, Lflavo2a004092P10, Lflavo2a004092P14, Lflavo2a004092P2, Lflavo2a004092P13, Lflavo2a004092P5, Lflavo2a004092P11, Lflavo2a004092P18, Lflavo2a004092P17, Lflavo2a004092P23, Lflavo2a004092P12, Lflavo2a004092P7, Lflavo2a004092P3, Lflavo2a004092P8, Lflavo2a004092P6, Lflavo2a004092P15, Lflavo2a004092P9	XP_026295213.1, XP_026295232.1, XP_026295222.1, XP_026295221.1, XP_026295224.1, XP_026295235.1, XP_026295215.1, XP_026295203.1, XP_026295218.1, XP_026295230.1, XP_026295216.1
OG0000053	Lflavo2a003352P1	XP_026299596.1, XP_026299604.1, XP_026299602.1, XP_026299603.1, XP_026299599.1, XP_026299597.1, XP_026299600.1, XP_026299598.1, XP_026299601.1
OG0000054	Lflavo2a013931P1	XP_006568746.1
